scientific_name,synonyms,common_name,family,genus,growth_habit,duration,native_status,category,height_mature_ft,leaf_retention,flower_color,bloom_period,drought_tolerance,shade_tolerance,lifespan,usda_symbol
Abelia ×grandiflora,,glossy abelia,Caprifoliaceae,Abelia,Shrub,Perennial,L48(I),Dicot,4.0,Yes,Purple,Late Summer,Low,Tolerant,Long,ABGR4
Abelmoschus esculentus,Hibiscus esculentus,okra,Malvaceae,Abelmoschus,"Subshrub, Forb/herb","Annual, Perennial",L48(I)PR(I)VI(I),Dicot,,,,,,,,ABES
Abelmoschus moschatus,Hibiscus abelmoschus,musk okra,Malvaceae,Abelmoschus,"Subshrub, Shrub",Perennial,L48(I)HI(I)PR(I),Dicot,,,,,,,,ABMO
Abies alba,,silver fir,Pinaceae,Abies,Tree,Perennial,L48(I),Gymnosperm,,,,,,,,ABAL3
Abies amabilis,,Pacific silver fir,Pinaceae,Abies,Tree,Perennial,L48(N)AK(N)CAN(N),Gymnosperm,165,Yes,Yellow,Late Spring,Low,Tolerant,Long,ABAM
Abies balsamea,,balsam fir,Pinaceae,Abies,Tree,Perennial,L48(N)CAN(N)SPM(N),Gymnosperm,60,Yes,Yellow,Mid Summer,Low,Tolerant,Short,ABBA
Abies balsamea var. balsamea,Pinus balsamea,balsam fir,Pinaceae,Abies,Tree,Perennial,L48(N)CAN(N)SPM(N),Gymnosperm,,,,,,,,ABBAB
Abies ×phanerolepis,Abies balsamea var. phanerolepis,balsam fir,Pinaceae,Abies,Tree,Perennial,L48(N)CAN(N),Gymnosperm,,,,,,,,ABBAP
Abies venusta,Abies bracteata,bristlecone fir,Pinaceae,Abies,Tree,Perennial,L48(N),Gymnosperm,,,,,,,,ABBR
Abies concolor,Abies concolor var. concolor,white fir,Pinaceae,Abies,Tree,Perennial,L48(N),Gymnosperm,120,Yes,Red,Late Spring,Medium,Intermediate,Long,ABCO
Abies firma,,Momi fir,Pinaceae,Abies,Tree,Perennial,L48(I),Gymnosperm,,,,,,,,ABFI
Abies fraseri,Pinus fraseri,Fraser fir,Pinaceae,Abies,Tree,Perennial,L48(N),Gymnosperm,55,Yes,Purple,Mid Spring,Low,Tolerant,Moderate,ABFR
Abies grandis,Abies grandis var. grandis; Abies grandis f. johnsonii; Abies grandis var. idahoensis; Abies grandis ssp. idahoensis,grand fir,Pinaceae,Abies,Tree,Perennial,L48(N)CAN(N),Gymnosperm,150,Yes,,Late Spring,Medium,Tolerant,Long,ABGR
Abies guatemalensis,,Guatemalan fir,Pinaceae,Abies,Tree,Perennial,,Gymnosperm,,,,,,,,ABGU
Abies homolepis,,Nikko fir,Pinaceae,Abies,Tree,Perennial,L48(I),Gymnosperm,,,,,,,,ABHO
Abies lasiocarpa,,subalpine fir,Pinaceae,Abies,Tree,Perennial,L48(N)AK(N)CAN(N),Gymnosperm,90,Yes,,Late Spring,Low,Tolerant,Long,ABLA
Abies arizonica,Abies lasiocarpa var. arizonica,corkbark fir,Pinaceae,Abies,Tree,Perennial,L48(N),Gymnosperm,,,,,,,,ABLAA
Abies bifolia,Abies subalpina; Abies balsamea var. fallax; Abies lasiocarpa ssp. bifolia; Abies lasiocarpa var. bifolia; Abies balsamea ssp. lasiocarpa; Abies lasiocarpa var. lasiocarpa,subalpine fir,Pinaceae,Abies,Tree,Perennial,L48(N)AK(N)CAN(N),Gymnosperm,,,,,,,,ABLAL
Abies lowiana,Abies concolor var. lowiana,Sierra white fir,Pinaceae,Abies,Tree,Perennial,L48(N),Gymnosperm,,,,,,,,ABLO
Abies magnifica,,California red fir,Pinaceae,Abies,Tree,Perennial,L48(N),Gymnosperm,150,Yes,Brown,Late Spring,Low,Tolerant,Long,ABMA
Abies magnifica var. magnifica,,California red fir,Pinaceae,Abies,Tree,Perennial,L48(N),Gymnosperm,,,,,,,,ABMAM
Abies ×shastensis,Abies magnifica var. shastensis; Abies magnifica ssp. shastensis; Abies magnifica var. critchfieldii,Shasta red fir,Pinaceae,Abies,Tree,Perennial,L48(N),Gymnosperm,180,Yes,Brown,Mid Spring,Low,Intermediate,Long,ABMAS
Abies procera,Abies nobilis,noble fir,Pinaceae,Abies,Tree,Perennial,L48(N),Gymnosperm,230,Yes,,Late Spring,Low,Intermediate,Long,ABPR
Abroma augusta,Abroma augustum; Ambroma augusta; Ambroma augustum,devil's-cotton,Sterculiaceae,Abroma,Shrub,Perennial,L48(N),,,,,,,,,ABAU3
Abutilon lignosum,Abutilon jacquinii; Abutilon americanum; Abutilon abutiloides,shrubby Indian mallow,Malvaceae,Abutilon,"Subshrub, Forb/herb",Perennial,L48(N)PR(N)VI(I),Dicot,,,,,,,,ABAB
Abutilon auritum,,Asian Indian mallow,Malvaceae,Abutilon,"Subshrub, Shrub",Perennial,HI(I),Dicot,,,,,,,,ABAU
Abutilon berlandieri,Abutilon californicum,Berlandier's Indian mallow,Malvaceae,Abutilon,Shrub,Perennial,L48(N),Dicot,,,,,,,,ABBE
Abutilon eremitopetalum,,hiddenpetal Indian mallow,Malvaceae,Abutilon,Shrub,Perennial,HI(N),Dicot,,,,,,,,ABER
Abutilon texense,Abutilon fruticosum,Texas Indian mallow,Malvaceae,Abutilon,Subshrub,Perennial,L48(N),Dicot,,,,,,,,ABFR3
Abutilon grandifolium,,hairy Indian mallow,Malvaceae,Abutilon,Shrub,Perennial,L48(I)HI(I),Dicot,,,,,,,,ABGR3
Abutilon hirtum,,Florida Keys Indian mallow,Malvaceae,Abutilon,"Subshrub, Forb/herb",Perennial,L48(I)PR(I)VI(I),Dicot,,,,,,,,ABHI
Abutilon hulseanum,Abutilon commutatum; Abutilon pauciflorum,mauve,Malvaceae,Abutilon,"Subshrub, Forb/herb",Perennial,L48(N)PR(N),Dicot,,,,,,,,ABHU
Abutilon hypoleucum,,whiteleaf Indian mallow,Malvaceae,Abutilon,"Shrub, Subshrub",Perennial,L48(N),Dicot,,,,,,,,ABHY
Abutilon incanum,Abutilon pringlei; Abutilon incanum ssp. incanum; Abutilon incanum ssp. pringlei,pelotazo,Malvaceae,Abutilon,"Subshrub, Forb/herb",Perennial,L48(N)HI(N),Dicot,,,,,,,,ABIN
Abutilon indicum,,monkeybush,Malvaceae,Abutilon,"Subshrub, Shrub",Perennial,L48(I)HI(I)PR(N)VI(N),Dicot,,,,,,,,ABIN3
Abutilon indicum ssp. albescens,Abutilon asiaticum var. albescens,,Malvaceae,Abutilon,Subshrub,Perennial,L48(N),Dicot,,,,,,,,ABINA
Abutilon malacum,,yellow Indian mallow,Malvaceae,Abutilon,"Subshrub, Forb/herb",Perennial,L48(N),Dicot,,,,,,,,ABMA3
Abutilon menziesii,,ko'oloa 'ula,Malvaceae,Abutilon,Shrub,Perennial,HI(N),Dicot,,,,,,,,ABME2
Abutilon sonorae,Abutilon mollicomum,Sonoran Indian mallow,Malvaceae,Abutilon,"Shrub, Forb/herb, Subshrub",Perennial,L48(N),Dicot,,,,,,,,ABMO2
Abutilon palmeri,,Palmer's Indian mallow,Malvaceae,Abutilon,"Shrub, Subshrub",Perennial,L48(N),Dicot,,,,,,,,ABPA
Abutilon parishii,,Parish's Indian mallow,Malvaceae,Abutilon,"Shrub, Forb/herb, Subshrub",Perennial,L48(N),Dicot,,,,,,,,ABPA2
Abutilon parvulum,,dwarf Indian mallow,Malvaceae,Abutilon,"Subshrub, Forb/herb",Perennial,L48(N),Dicot,,,,,,,,ABPA3
Abutilon permolle,,coastal Indian mallow,Malvaceae,Abutilon,"Subshrub, Forb/herb",Perennial,L48(N)PR(N),Dicot,,,,,,,,ABPE
Abutilon reventum,,yellowflower Indian mallow,Malvaceae,Abutilon,"Subshrub, Forb/herb",Perennial,L48(N),Dicot,,,,,,,,ABRE
Abutilon sandwicense,Abutilon sandwicense var. welchii; Abortopetalum sandwicense,greenflower Indian mallow,Malvaceae,Abutilon,Shrub,Perennial,HI(N),Dicot,,,,,,,,ABSA2
Abutilon thurberi,,Thurber's Indian mallow,Malvaceae,Abutilon,"Subshrub, Forb/herb",Perennial,L48(N),Dicot,,,,,,,,ABTH2
Abutilon triquetrum,Abutilon trisulcatum,anglestem Indian mallow,Malvaceae,Abutilon,"Shrub, Subshrub",Perennial,L48(N),Dicot,,,,,,,,ABTR
Abutilon wrightii,,Wright's Indian mallow,Malvaceae,Abutilon,"Subshrub, Forb/herb",Perennial,L48(N),Dicot,,,,,,,,ABWR
Acacia ×emoryana,Senegalia ×emoryana berlandieri × greggii,Emory's acacia,Fabaceae,Acacia,"Shrub, Tree",Perennial,L48(N),Dicot,,,,,,,,"ACEM,SEEM3"
Acacia anegadensis,Vachellia anegadensis,blackbrush wattle,Fabaceae,Acacia,Tree,Perennial,,Dicot,,,,,,,,"ACAN4,VAAN6"
Acacia aneura,,mulga,Fabaceae,Acacia,"Tree, Shrub",Perennial,HI(I),Dicot,,,,,,,,ACAN10
Acacia angustissima,Acaciella angustissima,prairie acacia,Fabaceae,Acacia,"Subshrub, Forb/herb",Perennial,L48(N),Dicot,,,,,,,,"ACAN,ACAN11"
Acacia angustissima var. chisosiana,Acaciella angustissima var. chisosiana,Chisos prairie acacia,Fabaceae,Acacia,"Subshrub, Forb/herb",Perennial,L48(N),Dicot,,,,,,,,"ACANC,ACANC3"
Acacia hirta,Acacia texensis; Acacia cuspidata; Acacia angustissima var. hirta; Acacia angustissima var. texensis; Acacia angustissima var. cuspidata; Acaciella hirta; Acaciella angustissima var. hirta; Acaciella angustissima var. texensis,prairie acacia,Fabaceae,Acacia,"Subshrub, Forb/herb",Perennial,L48(N),Dicot,,,,,,,,"ACANH,ACANH2"
Acacia angustissima var. leucothrix,Acaciella leucothrix,whitehair acacia,Fabaceae,Acacia,"Forb/herb, Subshrub",Perennial,L48(N),Dicot,,,,,,,,"ACANL,ACLE10"
Acacia lemmonii,Acacia hirta ssp. lemmonii; Acacia angustissima var. shrevei; Acaciella shrevei,Shreve's prairie acacia,Fabaceae,Acacia,"Subshrub, Forb/herb",Perennial,L48(N),Dicot,,,,,,,,"ACANS,ACSH2"
Acacia angustissima var. suffrutescens,Acaciella suffrutescens,prairie acacia,Fabaceae,Acacia,"Subshrub, Forb/herb",Perennial,L48(N),Dicot,,,,,,,,"ACANS2,ACSU12"
Acacia auriculiformis,,earleaf acacia,Fabaceae,Acacia,"Tree, Shrub",Perennial,L48(I),Dicot,,,,,,,,ACAU
Acacia baileyana,,cootamundra wattle,Fabaceae,Acacia,"Tree, Shrub",Perennial,L48(I),Dicot,,,,,,,,ACBA
Acacia berlandieri,Senegalia berlandieri,guajillo,Fabaceae,Acacia,"Tree, Shrub",Perennial,L48(N),Dicot,,,,,,,,"ACBE,SEBE2"
Acacia choriophylla,Vachellia choriophylla,cinnecord,Fabaceae,Acacia,"Tree, Shrub",Perennial,L48(N),Dicot,,,,,,,,"ACCH,VACH3"
Acacia confusa,,small Philippine acacia,Fabaceae,Acacia,Tree,Perennial,L48(I)HI(I),Dicot,,,,,,,,ACCO
Acacia constricta,Acacia constricta var. constricta; Acacia constricta var. paucispina; Vachellia constricta,whitethorn acacia,Fabaceae,Acacia,"Tree, Shrub",Perennial,L48(N),Dicot,9.0,No,Yellow,Late Spring,High,Intolerant,Moderate,"ACCO2,VACO9,ACCOC,ACCOP9"
Acacia cornigera,Vachellia cornigera,bullhorn wattle,Fabaceae,Acacia,"Tree, Shrub",Perennial,L48(I),Dicot,,,,,,,,"ACCO5,VACO10"
Acacia cyclops,,coastal wattle,Fabaceae,Acacia,Shrub,Perennial,L48(I),Dicot,12,Yes,Yellow,Mid Spring,High,Intolerant,Short,ACCY2
Acacia dealbata,Acacia decurrens var. dealbata,silver wattle,Fabaceae,Acacia,"Tree, Shrub",Perennial,L48(I),Dicot,,,,,,,,ACDE3
Acacia decurrens,Mimosa decurrens,green wattle,Fabaceae,Acacia,Tree,Perennial,L48(I),Dicot,,,,,,,,ACDE
Acacia elata,,cedar wattle,Fabaceae,Acacia,Tree,Perennial,L48(I),Dicot,,,,,,,,ACEL
Acacia minuta,Acacia smallii; Acacia farnesiana; Acacia minuta ssp. densiflora; Acacia farnesiana var. farnesiana; Mimosa farnesiana; Vachellia farnesiana; Vachellia densiflora; Pithecellobium minutum,sweet acacia,Fabaceae,Acacia,"Tree, Shrub",Perennial,L48(N)HI(I)PR(N)VI(N),Dicot,,,,,,,,"ACFA,VAFA"
Acacia greggii,Acacia greggii var. greggii; Acacia greggii var. arizonica; Senegalia greggii,catclaw acacia,Fabaceae,Acacia,"Tree, Shrub",Perennial,L48(N),Dicot,20,No,Yellow,Mid Spring,High,Intolerant,Long,"ACGR,SEGR4,ACGRG3"
Acacia wrightii,Acacia greggii var. wrightii; Senegalia wrightii,catclaw acacia,Fabaceae,Acacia,"Tree, Shrub",Perennial,L48(N),Dicot,,,,,,,,"ACGRW,SEWR4"
Acacia koa,Acacia kauaiensis; Acacia koa var. waimeae; Acacia koa var. lanaiensis; Acacia koa var. hawaiiensis,koa,Fabaceae,Acacia,Tree,Perennial,HI(N),Dicot,110,Yes,Yellow,Spring,Medium,Intolerant,Long,ACKO
Acacia koaia,,koaoha,Fabaceae,Acacia,Tree,Perennial,HI(N),Dicot,40,Yes,Yellow,Early Spring,Low,Intolerant,Long,ACKO2
Acacia latifolia,Acacia longifolia,Sydney golden wattle,Fabaceae,Acacia,"Tree, Shrub",Perennial,L48(I),Dicot,20,Yes,Yellow,Summer,High,Intolerant,Short,ACLO
Acacia macracantha,Vachellia macracantha,porknut,Fabaceae,Acacia,Tree,Perennial,L48(N)PR(N)VI(N),Dicot,,,,,,,,"ACMA,VAMA4"
Acacia mearnsii,Acacia decurrens var. mollis,black wattle,Fabaceae,Acacia,"Tree, Shrub",Perennial,L48(I)HI(I),Dicot,,,,,,,,ACME80
Acacia melanoxylon,,blackwood,Fabaceae,Acacia,Tree,Perennial,L48(I)HI(I),Dicot,40,Yes,White,Early Spring,High,Intolerant,Short,ACME
Acacia millefolia,Mariosousa millefolia,milfoil wattle,Fabaceae,Acacia,"Tree, Shrub",Perennial,L48(N),Dicot,,,,,,,,"ACMI,MAMI9"
Acacia muricata,Mimosa muricata; Senegalia muricata,spineless wattle,Fabaceae,Acacia,Tree,Perennial,PR(N)VI(N),Dicot,,,,,,,,"ACMU,SEMU4"
Acacia vernicosa,Acacia neovernicosa; Acacia constricta var. vernicosa; Vachellia vernicosa; Acaciopsis vernicosa,viscid acacia,Fabaceae,Acacia,Shrub,Perennial,L48(N),Dicot,,,,,,,,"ACNE4,VAVE"
Acacia arabica,Acacia nilotica; Mimosa nilotica; Vachellia nilotica,gum arabic tree,Fabaceae,Acacia,"Tree, Shrub",Perennial,PR(I)VI(I),Dicot,,,,,,,,"ACNI2,VANI4"
Acacia armata,Acacia paradoxa,paradox acacia,Fabaceae,Acacia,Shrub,Perennial,L48(I),Dicot,,,,,,,,ACPA8
Acacia parramattensis,,South Wales wattle,Fabaceae,Acacia,Tree,Perennial,HI(I),Dicot,,,,,,,,ACPA81
Acacia pinetorum,Vachellia insularis; Vachellia peninsularis; Vachellia farnesiana var. pinetorum,pineland wattle,Fabaceae,Acacia,"Tree, Shrub",Perennial,L48(N),Dicot,,,,,,,,"ACPI,VAFAP"
Acacia podalyriifolia,,pearl wattle,Fabaceae,Acacia,Tree,Perennial,L48(I),Dicot,,,,,,,,ACPO2
Acacia suma,Acacia polyacantha; Senegalia polyacantha,catechu tree,Fabaceae,Acacia,"Tree, Shrub",Perennial,PR(I)VI(I),Dicot,,,,,,,,"ACPO3,SEPO3"
Acacia pycnantha,,golden wattle,Fabaceae,Acacia,"Tree, Shrub",Perennial,L48(I),Dicot,,,,,,,,ACPY3
Acacia redolens,,bank catclaw,Fabaceae,Acacia,Shrub,Perennial,L48(I),Dicot,,,,,,,,ACRE9
Acacia retinodes,,water wattle,Fabaceae,Acacia,"Tree, Shrub",Perennial,L48(I),Dicot,,,,,,,,ACRE2
Acacia retusa,Acacia riparia; Acacia westiana; Senegalia westiana,catch and keep,Fabaceae,Acacia,"Tree, Shrub, Vine",Perennial,PR(N)VI(N),Dicot,,,,,,,,"ACRE4,SEWE4"
Acacia rigidula,Acacia amentacea; Vachellia rigidula,blackbrush acacia,Fabaceae,Acacia,"Tree, Shrub",Perennial,L48(N),Dicot,,,,,,,,"ACRI,VARI"
Acacia roemeriana,Acacia malacophylla; Senegalia roemeriana,roundflower catclaw,Fabaceae,Acacia,"Tree, Shrub",Perennial,L48(N),Dicot,,,,,,,,"ACRO,SERO"
Acacia saligna,Acacia cyanophylla,orange wattle,Fabaceae,Acacia,"Tree, Shrub",Perennial,L48(I),Dicot,,,,,,,,ACSA
Acacia schaffneri,Acacia schaffneri var. schaffneri; Vachellia schaffneri,Schaffner's wattle,Fabaceae,Acacia,Shrub,Perennial,,Dicot,,,,,,,,"ACSC2,VASC4,ACSCS2"
Acacia schaffneri var. bravoensis,Vachellia bravoensis,Schaffner's wattle,Fabaceae,Acacia,Shrub,Perennial,L48(N),Dicot,,,,,,,,"ACSCB,VABR4"
Acacia schottii,Vachellia schottii,Schott's wattle,Fabaceae,Acacia,Shrub,Perennial,L48(N),Dicot,,,,,,,,"ACSC,VASC5"
Acacia sphaerocephala,Vachellia sphaerocephala,bee wattle,Fabaceae,Acacia,Tree,Perennial,L48(I),Dicot,,,,,,,,"ACSP4,VASP2"
Acacia tortuosa,Mimosa tortuosa; Poponax tortuosa; Vachellia tortuosa,poponax,Fabaceae,Acacia,"Tree, Shrub",Perennial,L48(N)PR(N)VI(N),Dicot,,,,,,,,"ACTO,VATO2"
Acacia verticillata,,prickly Moses,Fabaceae,Acacia,"Tree, Shrub",Perennial,L48(I),Dicot,,,,,,,,ACVE2
Acacia vogeliana,Lysiloma ambiguum; Senegalia vogeliana,macata bourse bastard,Fabaceae,Acacia,"Shrub, Tree, Vine",Perennial,PR(N)VI(N),Dicot,,,,,,,,"ACVO,SEVO2"
Acalypha amentacea,,catch me if you can,Euphorbiaceae,Acalypha,Shrub,Perennial,L48(I),Dicot,,,,,,,,ACAM2
Acalypha wilkesiana,Acalypha amentacea ssp. wilkesiana,Wilkes' acalypha,Euphorbiaceae,Acalypha,Shrub,Perennial,L48(I)PR(I),Dicot,,,,,,,,"ACAMW,ACWI"
Acalypha amentacea var. heterotricha,,,Euphorbiaceae,Acalypha,Shrub,Perennial,L48(N),,,,,,,,,ACAMH
Acalypha amentacea var. palauensis,,,Euphorbiaceae,Acalypha,Shrub,Perennial,L48(N),,,,,,,,,ACAMP2
Acalypha berteriana,,Guayama Copperleaf,Euphorbiaceae,Acalypha,Shrub,Perennial,PR(N),Dicot,,,,,,,,ACBE2
Acalypha bisetosa,,streambank copperleaf,Euphorbiaceae,Acalypha,Shrub,Perennial,PR(N),Dicot,,,,,,,,ACBI3
Acalypha pringlei,Acalypha californica,California copperleaf,Euphorbiaceae,Acalypha,"Shrub, Subshrub",Perennial,L48(N),Dicot,,,,,,,,ACCA3
Acalypha chamaedryfolia,,bastard copperleaf,Euphorbiaceae,Acalypha,"Subshrub, Forb/herb",Perennial,L48(N)PR(N)VI(N),Dicot,,,,,,,,ACCH2
Acalypha hispida,,red-hot cat's tail,Euphorbiaceae,Acalypha,Shrub,Perennial,L48(I)PR(I),Dicot,,,,,,,,ACHI2
Acalypha hederacea,Acalypha monostachya,round copperleaf,Euphorbiaceae,Acalypha,"Subshrub, Forb/herb",Perennial,L48(N),Dicot,,,,,,,,ACMO
Acalypha phleoides,Acalypha lindheimeri; Acalypha lindheimeri var. major,shrubby copperleaf,Euphorbiaceae,Acalypha,"Forb/herb, Subshrub",Perennial,L48(N),Dicot,,,,,,,,ACPH3
Acalypha portoricensis,,Puerto Rico copperleaf,Euphorbiaceae,Acalypha,Shrub,Perennial,PR(N)VI(N),Dicot,,,,,,,,ACPO4
Acamptopappus shockleyi,,Shockley's goldenhead,Asteraceae,Acamptopappus,Subshrub,Perennial,L48(N),Dicot,,,,,,,,ACSH
Acamptopappus sphaerocephalus,,rayless goldenhead,Asteraceae,Acamptopappus,"Subshrub, Shrub",Perennial,L48(N),Dicot,,,,,,,,ACSP
Acamptopappus sphaerocephalus var. hirtellus,,rayless goldenhead,Asteraceae,Acamptopappus,"Subshrub, Shrub",Perennial,L48(N),Dicot,,,,,,,,ACSPH
Acamptopappus sphaerocephalus var. sphaerocephalus,Aplopappus sphaerocephalus,rayless goldenhead,Asteraceae,Acamptopappus,"Subshrub, Shrub",Perennial,L48(N),Dicot,,,,,,,,ACSPS2
Acanthocereus tetragonus,Acanthocereus floridanus; Acanthocereus pentagonus; Cactus tetragonus; Cereus pentagonus,triangle cactus,Cactaceae,Acanthocereus,"Shrub, Vine",Perennial,L48(N)HI(I)VI(N),Dicot,,,,,,,,ACTE4
Acanthus ebracteatus,Acanthus ilicifolius var. ebracteatus,acanthus,Acanthaceae,Acanthus,"Shrub, Forb/herb",Perennial,L48(N),Dicot,,,,,,,,ACEB3
Acer ×freemanii,,Freeman maple,Aceraceae,Acer,Tree,Perennial,L48(N)CAN(N),Dicot,,,,,,,,ACFR
Acer campestre,,hedge maple,Aceraceae,Acer,"Tree, Shrub",Perennial,L48(I)CAN(I),Dicot,,,,,,,,ACCA5
Acer circinatum,,vine maple,Aceraceae,Acer,"Tree, Shrub, Vine",Perennial,L48(N)AK(N?)CAN(N),Dicot,20,No,Green,Spring,Low,Tolerant,Long,ACCI
Acer rubrum,Acer barbatum; Acer floridanum; Acer barbatum var. longii; Acer barbatum var. villipes; Acer floridanum var. longii; Acer nigrum var. floridanum; Acer floridanum var. villipes; Acer saccharum ssp. floridanum; Acer saccharum var. floridanum; Acer saccharinum var. floridanum; Saccharodendron barbatum; Saccharodendron floridanum,southern sugar maple,Aceraceae,Acer,Tree,Perennial,L48(N),Dicot,50,No,Yellow,Mid Spring,Low,Tolerant,Moderate,"ACFL,ACRU"
Acer ginnala,Acer tataricum ssp. ginnala,Amur maple,Aceraceae,Acer,"Tree, Shrub",Perennial,L48(I)CAN(I),Dicot,20,No,White,Mid Spring,Low,Intermediate,Moderate,ACGI
Acer glabrum,,Rocky Mountain maple,Aceraceae,Acer,"Shrub, Tree",Perennial,L48(N)AK(I?)CAN(N),Dicot,30,No,Green,Late Spring,Medium,Intermediate,Moderate,ACGL
Acer diffusum,Acer glabrum var. diffusum; Acer glabrum ssp. diffusum,Rocky Mountain maple,Aceraceae,Acer,"Tree, Shrub",Perennial,L48(N),Dicot,,,,,,,,ACGLD3
Acer douglasii,Acer glabrum var. douglasii; Acer glabrum ssp. douglasii,Douglas maple,Aceraceae,Acer,"Shrub, Tree",Perennial,L48(N)AK(I?)CAN(N),Dicot,30,No,Green,Late Spring,Low,Tolerant,Moderate,ACGLD4
Acer tripartitum,Acer glabrum var. glabrum; Acer glabrum var. typicum; Acer glabrum var. tripartitum,Rocky Mountain maple,Aceraceae,Acer,"Shrub, Tree",Perennial,L48(N),Dicot,,,,,,,,ACGLG2
Acer glabrum var. greenei,,Greene's maple,Aceraceae,Acer,"Tree, Shrub",Perennial,L48(N),Dicot,,,,,,,,ACGLG
Acer neomexicanum,Acer glabrum var. parviflorum; Acer glabrum var. neomexicanum; Acer glabrum ssp. neomexicanum,New Mexico maple,Aceraceae,Acer,"Tree, Shrub",Perennial,L48(N),Dicot,,,,,,,,ACGLN2
Acer torreyi,Acer glabrum var. torreyi; Acer glabrum ssp. torreyi,Torrey maple,Aceraceae,Acer,"Shrub, Tree",Perennial,L48(N),Dicot,,,,,,,,ACGLT2
Acer grandidentatum,,bigtooth maple,Aceraceae,Acer,"Tree, Shrub",Perennial,L48(N),Dicot,38,No,Yellow,Spring,Low,Intermediate,Short,ACGR3
Acer saccharum ssp. grandidentatum,Acer saccharum var. grandidentatum; Acer grandidentatum var. grandidentatum; Saccharodendron grandidentatum,bigtooth maple,Aceraceae,Acer,"Shrub, Tree",Perennial,L48(N),Dicot,,,,,,,,ACGRG
Acer sinuosum,Acer brachypterum; Acer saccharum var. sinuosum; Acer saccharum ssp. brachypterum; Acer grandidentatum var. sinuosum; Acer grandidentatum var. brachypterum,canyon maple,Aceraceae,Acer,"Tree, Shrub",Perennial,L48(N),Dicot,,,,,,,,ACGRS
Acer japonicum,,Amur maple,Aceraceae,Acer,Tree,Perennial,CAN(I)NA(I),Dicot,,,,,,,,ACJA2
Acer leucoderme,Acer nigrum var. leucoderme; Acer saccharum ssp. leucoderme; Acer saccharum var. leucoderme; Saccharodendron leucoderme,chalk maple,Aceraceae,Acer,"Tree, Shrub",Perennial,L48(N),Dicot,,,,,,,,ACLE
Acer ×senecaense,Acer leucoderme × saccharum,hybrid sugar maple,Aceraceae,Acer,Tree,Perennial,,Dicot,,,,,,,,ACLE2
Acer macrophyllum,,bigleaf maple,Aceraceae,Acer,Tree,Perennial,L48(N)CAN(N),Dicot,60,No,Yellow,Mid Spring,Low,Intermediate,Moderate,ACMA3
Acer negundo,,boxelder,Aceraceae,Acer,Tree,Perennial,L48(N)CAN(N),Dicot,60,No,White,Early Spring,High,Tolerant,Short,ACNE2
Acer negundo var. arizonicum,,Arizona boxelder,Aceraceae,Acer,Tree,Perennial,L48(N),Dicot,,,,,,,,ACNEA
Acer negundo var. californicum,Acer negundo ssp. californicum; Negundo californicum,California boxelder,Aceraceae,Acer,Tree,Perennial,L48(N),Dicot,,,,,,,,ACNEC2
Acer interius,Acer negundo var. interius; Acer negundo ssp. interius; Negundo interius; Negundo aceroides ssp. interius,boxelder,Aceraceae,Acer,Tree,Perennial,L48(N),Dicot,,,,,,,,ACNEI2
Acer negundo var. negundo,Acer negundo var. variegatum; Negundo negundo; Negundo aceroides,boxelder,Aceraceae,Acer,Tree,Perennial,L48(N)CAN(N),Dicot,,,,,,,,ACNEN
Acer negundo var. texanum,Acer negundo ssp. latifolium,boxelder,Aceraceae,Acer,Tree,Perennial,L48(N),Dicot,,,,,,,,ACNET
Acer negundo var. violaceum,Negundo aceroides ssp. violaceum,boxelder,Aceraceae,Acer,Tree,Perennial,L48(N),Dicot,,,,,,,,ACNEV
Acer nigrum,Acer nigrum var. palmeri; Acer saccharum ssp. nigrum; Acer saccharum var. nigrum; Acer saccharum var. viride; Saccharodendron nigrum,black maple,Aceraceae,Acer,Tree,Perennial,L48(N)CAN(N),Dicot,100,No,Yellow,Late Spring,Medium,Tolerant,Moderate,ACNI5
Acer palmatum,,Japanese maple,Aceraceae,Acer,"Tree, Shrub",Perennial,L48(I)CAN(I),Dicot,,,,,,,,ACPA2
Acer pensylvanicum,,striped maple,Aceraceae,Acer,"Tree, Shrub",Perennial,L48(N)CAN(N),Dicot,35,No,Yellow,Late Spring,Low,Tolerant,Short,ACPE
Acer platanoides,Acer platanoides var. schwedleri,Norway maple,Aceraceae,Acer,Tree,Perennial,L48(I)CAN(I),Dicot,50,No,Green,Mid Spring,Low,Intermediate,Moderate,ACPL
Acer pseudoplatanus,,sycamore maple,Aceraceae,Acer,Tree,Perennial,L48(I)CAN(I),Dicot,70,No,Green,Late Spring,Medium,Intolerant,Moderate,ACPS
Acer drummondii,Acer rubrum var. drummondii; Acer rubrum ssp. drummondii; Rufacer drummondii,Drummond's maple,Aceraceae,Acer,Tree,Perennial,L48(N),Dicot,,,,,,,,ACRUD
Acer stenocarpum,Acer rubrum var. rubrum; Acer rubrum var. tomentosum; Rufacer rubrum,red maple,Aceraceae,Acer,Tree,Perennial,L48(N)CAN(N),Dicot,,,,,,,,ACRUR
Acer carolinianum,Acer rubrum var. tridens; Acer rubrum var. trilobum; Rufacer carolinianum,red maple,Aceraceae,Acer,Tree,Perennial,L48(N)CAN(N),Dicot,,,,,,,,ACRUT
