scientific_name,synonyms,common_name,family,genus,growth_habit,duration,native_status,category,height_mature_ft,leaf_retention,flower_color,bloom_period,drought_tolerance,shade_tolerance,lifespan,usda_symbol
Citharexylum caudatum,,juniper berry,Verbenaceae,Citharexylum,"Tree, Shrub",Perennial,HI(I)PR(N),Dicot,,,,,,,,CICA8
Citharexylum spinosum,Citharexylum fruticosum; Citharexylum pentandrum; Citharexylum fruticosum var. smallii; Citharexylum fruticosum var. villosum; Citharexylum fruticosum var. fruticosum; Citharexylum fruticosum var. subvillosum,spiny fiddlewood,Verbenaceae,Citharexylum,"Shrub, Tree",Perennial,L48(N)HI(I)PR(N)VI(N),Dicot,25,Yes,White,Summer,Medium,Intermediate,Short,CISP3
Citharexylum tristachyum,,threespike fiddlewood,Verbenaceae,Citharexylum,Shrub,Perennial,VI(N),Dicot,,,,,,,,CITR7
Citrus mitis,Citrus madurensis; ×Citrofortunella mitis; ×Citrofortunella microcarpa,calamondin,Rutaceae,Citrofortunella,Tree,Perennial,L48(I),Dicot,,,,,,,,CIMI4
×Citroncirus webberi,,citrange,Rutaceae,Citroncirus,Tree,Perennial,,Dicot,,,,,,,,CIWE
Citrus aurantifolia,Citrus aurantiifolia; Citrus ×aurantiifolia; Limonia aurantifolia; Limonia aurantiifolia,key lime,Rutaceae,Citrus,"Shrub, Tree",Perennial,L48(I)PR(I)VI(I),Dicot,,,,,,,,CIAU7
Citrus ×aurantium,,sour orange,Rutaceae,Citrus,"Tree, Shrub",Perennial,L48(I)PR(I)VI(I),Dicot,,,,,,,,CIAU8
Citrus limon,Citrus ×limon,lemon,Rutaceae,Citrus,"Shrub, Tree",Perennial,L48(I)PR(I),Dicot,,,,,,,,CILI5
Citrus limonum,Citrus taitensis; Citrus ×limonia,Mandarin lime,Rutaceae,Citrus,Tree,Perennial,L48(I)PR(I),Dicot,,,,,,,,CILI3
Citrus ×paradisi,,grapefruit,Rutaceae,Citrus,"Tree, Shrub",Perennial,L48(I)PR(I),Dicot,20,Yes,White,Spring,Medium,Intermediate,Moderate,CIPA3
Citrus sinensis,Citrus ×sinensis; Citrus aurantium var. sinensis,sweet orange,Rutaceae,Citrus,"Shrub, Tree",Perennial,L48(I)PR(I)VI(I),Dicot,30,Yes,Green,Spring,Medium,Intermediate,Moderate,CISI3
Citrus hystrix,,,Rutaceae,Citrus,Tree,Perennial,,Dicot,,,,,,,,CIHY2
Citrus limetta,,bitter orange,Rutaceae,Citrus,Tree,Perennial,PR(I),Dicot,,,,,,,,CILI2
Citrus macroptera,,,Rutaceae,Citrus,Tree,Perennial,L48(I),Dicot,,,,,,,,CIMA10
Citrus maxima,Citrus grandis; Citrus decumana,shaddock,Rutaceae,Citrus,"Tree, Shrub",Perennial,L48(I)PR(I),Dicot,,,,,,,,CIMA5
Citrus medica,,citron,Rutaceae,Citrus,"Tree, Shrub",Perennial,L48(I)PR(I),Dicot,,,,,,,,CIME3
Citrus nobilis,Citrus reticulata,tangor,Rutaceae,Citrus,"Tree, Shrub",Perennial,L48(I)PR(I),Dicot,,,,,,,,"CINO3,CIRE3"
Cladrastis lutea,Cladrastis kentukea; Sophora kentukea,Kentucky yellowwood,Fabaceae,Cladrastis,Tree,Perennial,L48(N)CAN(I),Dicot,40,No,White,Early Summer,Medium,Intermediate,Long,CLKE
Claoxylon fallax,,claoxylon,Euphorbiaceae,Claoxylon,"Tree, Shrub",Perennial,L48(N),,,,,,,,,CLFA6
Claoxylon longiracemosum,,claoxylon,Euphorbiaceae,Claoxylon,"Tree, Shrub",Perennial,L48(N),,,,,,,,,CLLO5
Claoxylon helleri,Claoxylon sandwicense; Claoxylon sandwicense var. degeneri; Claoxylon sandwicense var. tomentosum; Claoxylon sandwicense var. glabrescens; Claoxylon sandwicense var. magnifolium; Claoxylon sandwicense var. hillebrandii,po'ola,Euphorbiaceae,Claoxylon,"Tree, Shrub",Perennial,HI(N),Dicot,,,,,,,,CLSA
Clappia suaedifolia,,fleshy clapdaisy,Asteraceae,Clappia,Subshrub,Perennial,L48(N),Dicot,,,,,,,,CLSU
Cleidion sessile,,Palau cleidion,Euphorbiaceae,Cleidion,"Tree, Shrub",Perennial,L48(N),,,,,,,,,CLSE5
Cleistanthus carolinianus,,Caroline cleistanthus,Euphorbiaceae,Cleistanthus,"Tree, Shrub",Perennial,L48(N),,,,,,,,,CLCA18
Cleistanthus insularis,,Palau cleistanthus,Euphorbiaceae,Cleistanthus,"Tree, Shrub",Perennial,L48(N),,,,,,,,,CLIN8
Clematis ×jackmanii,,leather flower,Ranunculaceae,Clematis,"Subshrub, Forb/herb",Perennial,L48(I),Dicot,,,,,,,,CLJA2
Clematis albicoma,Coriflora albicoma,whitehair leather flower,Ranunculaceae,Clematis,"Subshrub, Forb/herb",Perennial,L48(N),Dicot,,,,,,,,CLAL
Clematis baldwinii,,pine hyacinth,Ranunculaceae,Clematis,"Subshrub, Forb/herb",Perennial,L48(N),Dicot,,,,,,,,CLBA
Clematis baldwinii var. baldwinii,Viorna baldwinii; Coriflora baldwinii,pine hyacinth,Ranunculaceae,Clematis,"Subshrub, Forb/herb",Perennial,L48(N),Dicot,,,,,,,,CLBAB
Clematis baldwinii var. latiuscula,,pine hyacinth,Ranunculaceae,Clematis,"Forb/herb, Subshrub",Perennial,L48(N),Dicot,,,,,,,,CLBAL
Clematis coactilis,Clematis albicoma var. coactilis,Virginia whitehair leather flower,Ranunculaceae,Clematis,"Subshrub, Forb/herb",Perennial,L48(N),Dicot,,,,,,,,CLCO4
Clematis fremontii,Clematis fremontii var. riehlii; Viorna fremontii; Coriflora fremontii,Fremont's leather flower,Ranunculaceae,Clematis,"Subshrub, Forb/herb",Perennial,L48(N),Dicot,,,,,,,,CLFR
