,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ornamental Winners,Agricultural Winners,Nitrogen-fixer?,family,Generic Epithet,Specific Hybrid Symbol,Specific Epithet,Section,Botanic,Infraspecific rank,Infraspecific Epithet,Cultivar Epithet,comm_ful,Conservation Status,Native range,"Habit (tree, shrub, vine)",# stems,Growth rate,Lifespan,Max Height (ft),Max Spread (ft),Leaf persistence,HABITAT,Wetland indicator,Light exposure,Soil preferences,Propagation,Root type/depth,Container Type,Transplant Time,Time to prune,Insect Pests,Disease,pH min,pH max,USDA Hardiness Zone,Salt Tolerance,Drought tolerance,Heat tolerance,"Flood Tolerance intolerant, tolerant, medium (10-30% season)",Leaf color,Fall color,flower color,Bloom time,Fruit color,Bark features,Thorns?,Fruit type,CTLA Species rating,Edible?,Wildlife value,"wildlife habitat uses            DB = high value deer browse
WB = wildlife browse
WM = wildlife mast (fruit, nut, seed)
WC = wildlife cover
",wildlife specific uses,Uses,Umass treecount
,,,,,,,,Thuja occidentalis,,,,,,,T,,S,M,50,15,,,FACW,shade,,,,,,,,,6.0-8.0,,3b,N,L,,,,,,mSp,,,,,,,,,,"easy maintenance, Thuja occidentalis, seed cold stratification req.",
,,,,,,,,Carya ovata,,,,,,,T,,S,L,80,39,,,FACU-,sun/partial,,,,,,,,,4.0-6.7,,2b,N,M,,I,,,,lSp,,,,,,,,,,"edible nuts, intolerant of soil or root damage **Difficult to grow (TNC) and may be dropped.",
,,,,,,,,Castanea dentata,,,,,,,T,,R,L,70,,,,None,sun,,,,,,,,,5.5-6.5,,3,N,M,,,,,,eSu,,,,,,,,,,edible nuts; chestnut blight resistant varieties and hybrids will soon be available. Only plant these resistant plants.,
,,,,,,,,Salix nigra,,,,,,,T,,R,S,100,80,,,FACW+,sun,,,,,,,,,4.8-8.0,,3b,N,L,,T,,,,eSp,,,,,,,,,,"entisols, high inundation and soil saturation tolerance, pioneer species, only native tree willow in Vermont",
,,,,,,,,Larix laricina,,,,,,,T,,R,M,65,25,,,FACW,sun,,,,,,,,,5.5-6.5,,2b,N,L,,M,,,,mSp,,,,,,,,,,"evergreen conifer that loses its needles in winter, tolerates flooding, seed cold strat. req. Susceptible to sawfly, esp in dense stands. Plant sparingly.",
,,,,,,,,Crataegus Oxyacantha,,,,,,,"S,T",,R,L,20,20,,,None,partial/sun,,,,,,,,,6.0-7.2,,5,L,H,,,,,,lSp-eSu,,,,,,,,,,"fast growth, 5 yr - 13' x 4', *mod.diff. transpl. BR, do not transpl. > 2 inch caliper BR While this species is not, there are numerous species of hawthorn native to Vermont",
,,,,,,,,Picea abies,,,,,,,T,,S,S,150,,,,None,sun/partial,,,,,,,,,5.0-7.0,,3a,N,M,,,,,,mSp,,,,,,,,,,"fastest growing softwood in North East,",
,,,,alnus,,incana,,Alnus incana (syn Alnus rugosa),,,,,,,S,,M,L,16,,D,,FACW+,partial/shade,,,,,,,,,5.0-7.0,,3,N,L,,T,,,,eSp,,,,,,,MOD,"WB,WC,WM","Buds, catkins and seeds eaten by grouse, Seeds eaten by goldfinch, redpoll, siskin, Bark, buds, and wood eaten by beaver and hare, Browsed by deer (poor) and moose. Excellent cover for woodcock, others","fixes nitrogen, all soil textures, seed cold strat. Req. Best wildlief habitat value is cover.",
,,,,,,,,alnus serrulata,,,,,,,shrub,,R,M,30,,deciduous,,OBL,sun,,,,,,,,,5,,4,N,L,,T,,,,Sp,,,,,,,moderate,"WB,WC,WM","Buds, catkins and seeds eaten by grouse, Seeds eaten by goldfinch, redpoll, siskin, Bark, buds, and wood eaten by beaver and hare, Browsed by deer (poor) and moose. Excellent cover for woodcock, others","fixes nitrogen, all soil textures, seed cold strat. Req. Best wildlife habitat value is cover",
,,,,,,,,juniperus virginiana,,,,,,,T,,S,M,80,10,,,FACU,sun,,,,,,,,,4.7-8.0,,2b,M,H,,I,,,,lSp,,,,,,,,,,"for multi-row windbreak use on outer row/for single-row makes dense, med. Ht. barrier, invasive?",
,,,,,,,,Cornus amomum,,,,,,,S,,R,M,10,,,,FACW,sun/partial,,,,,,,,,5.0-7.0,,3,N,L,,T,,,,eSp,,,,,,,,,,"forms thickets, wildlife borders, streambank protection, transplant in early spring only, seed cold strat. Req.",
,,,,,,,,Syringa vulgaris,,,,,,,S,,R,L,20,20,,,None,sun/partial,,,,,,,,,5.8-7.8,,5b,M,M,,,,,,lSp,,,,,,,,,,"fragrant, fast growth when young, 5 yr - 6' x 6', tolerates dry soils, seed cold strat. Req.",
,,,,,,,,Sorbus americana,,,,,,,T,,M,M,40,,,,FACU,sun/partial,,,,,,,,,5.3-6.8,,3a,N,L,,,,,,eSu,,,,,,,,,,"Generally found in colder environments of Vermont such as lowland spruce-fir forests, krummholz, montane spruce-fir, hardwood/yellow birch-red spruce forests, boreal talus.",
,,,,,,,,Viburnum lentago,,,,,,,S,,R,M,13,13,,,FAC,partial/sun,,,,,,,,,5.0-7.0,,2,N,L,,,,,,lSp,,,,,,,,,,"good screening shrub for dry and sandy soils, low spreading hazard, seed cold strat. Req.",
