,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ornamental Winners,Agricultural Winners,Nitrogen-fixer?,family,Generic Epithet,Specific Hybrid Symbol,Specific Epithet,Section,Botanic,Infraspecific rank,Infraspecific Epithet,Cultivar Epithet,comm_ful,Conservation Status,Native range,"Habit (tree, shrub, vine)",# stems,Growth rate,Lifespan,Max Height (ft),Max Spread (ft),Leaf persistence,HABITAT,Wetland indicator,Light exposure,Soil preferences,Propagation,Root type/depth,Container Type,Transplant Time,Time to prune,Insect Pests,Disease,pH min,pH max,USDA Hardiness Zone,Salt Tolerance,Drought tolerance,Heat tolerance,"Flood Tolerance intolerant, tolerant, medium (10-30% season)",Leaf color,Fall color,flower color,Bloom time,Fruit color,Bark features,Thorns?,Fruit type,CTLA Species rating,Edible?,Wildlife value,"wildlife habitat uses            DB = high value deer browse
WB = wildlife browse
WM = wildlife mast (fruit, nut, seed)
WC = wildlife cover
",wildlife specific uses,Uses,Umass treecount
,,,,,,,,Buxus microphylla x sempervirens,,,,Green Velvet',,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
,,,,,,,,Carya ovata,,,,Shagbark Hickory,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
,,,,,,,,Catalpa bungei,,,,Umbrella Catalpa,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
,,,,,,,,Catalpa ovata,,,,Chinese Catalpa,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
,,,,,,,,Catalpa speciosa,,,,Northern Catalpa,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
,,,,,,,,Catalpa x erubescens,,,,Purple Catalpa - 'Purpurea',,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
,,,,,,,,Cercis canadensis,,,,Redbud - MN Strain,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
,,,,,,,,Chamaecyparis pisifera,,,,"Threadleaf Falsecypress - 'Golden Mops','Kings Gold'",,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
,,,,,,,,Chamaecyparis thyoides,,,,Atlantic White Cedar - 'Heartburn',,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
,,,,,,,,Chamaecyparis thyoides,,,,Atlantic White Cedar,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
,,,,,,,,Chionanthus virginicus,,,,White Fringetree,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
,,,,,,,,Cladrastis kentuckea,,,,Yellowwood,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
,,,,,,,,Clethra alnifolia,,,,"Summersweet - 'Hummingbird', 'Ruby Spice', 'September Beauty', 'Sixteen Candles', 'Caleb' Vanilla Spice®",,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
,,,,,,,,Clethra alnifolia,,,,Surartina™ aka 'Crystalina',,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
,,,,,,,,Clethra alnifolia,,,,Einstein™ - aka 'Novacleein',,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
,,,,,,,,Cornus hessei,,,,Garden Glow™,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
,,,,,,,,Cornus mas,,,,Corneliancherry - 'Golden Glory',,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
,,,,,,,,Cornus mas,,,,Cornelian cherry,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
,,,,,,,,Cornus obliqua,,,,Red Rover® Silky Dogwood,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
,,,,,,,,Cornus pumila,,,,Dwarf Red Tipped Dogwood,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
,,,,,,,,Cornus racemosa,,,,Huron® 'Hurzam',,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
,,,,,,,,Cornus racemosa,,,,Muskingum® aka 'Muzam',,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
,,,,,,,,Cornus sanguinea,,,,Dogwood - Arctic Sun™ aka 'Cato',,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
,,,,,,,,Cornus sanguinea,,,,Dogwood - 'Winter Flame',,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
,,,,,,,,Cornus sericea,,,,Kelseyi' Dwarf Dogwood,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
,,,,,,,,Cornus sericea (stolonifera),,,,Hedgerow's Gold Dogwood,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
,,,,,,,,Corylus americana,,,,American Hazelnut,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
,,,,,,,,Corylus colurna,,,,Turkish Filbert,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
,,,,,,,,Cotinus coggygria,,,,"Smokebush - 'Nordine', 'Velvet Cloak'",,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
,,,,,,,,Cotinus coggygria,,,,Grace Smokebush,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
,,,,,,,,Cotinus coggygria,,,,Golden Spirit aka 'Ancot' Smokebush,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
,,,,,,,,Cotinus coggygria,,,,Smokebush - Winecraft Black®,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
,,,,,,,,Cotoneaster adpressus,,,,Tom Thumb Creeping Cotoneaster,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
,,,,,,,,Cotoneaster apiculatus,,,,Cranberry Cotoneaster,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
,,,,,,,,Crataegus ambigua,,,,Russian Hawthorn,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
,,,,,,,,Crataegus crus-galli,,,,Hawthorn - Crusader® aka 'Cruzam',,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
,,,,,,,,Crataegus crus-galli var. inermis,,,,Hawthorn - Thornless Cockspur,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
,,,,,,,,Crataegus laevigata,,,,Hawthorn - Crimson Cloud - 'Superba',,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
,,,,,,,,Crataegus virdidis,,,,Hawthorn - 'Winter King',,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
,,,,,,,,Daphne x burkwoodii,,,,"Daphne - 'Carol Mackie', 'Brigggs Moonlight', 'Somerset'",,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
,,,,,,,,Diervilla sessilifolia,,,,Bush Honeysuckle - 'Cool Splash' aka 'LPDC Podaras',,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
,,,,,,,,Diervilla sessilifolia,,,,Butterfly',,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
,,,,,,,,Diervilla splendens,,,,Firefly Nightglow™ aka 'El adrigal',,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
,,,,,,,,Euonymus alatus,,,,"Burning Bush - 'Compactus', 'Grove Compactus'
Specially Regulated Plant in Minnesota (3-year phase-out period) and will become a Restricted Noxious Weed in 2023.",,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
,,,,,,,,Euonymus alatus,,,,"Little Moses™ aka 'Odom' PP13,168
Specially Regulated Plant in Minnesota (3-year phase-out period) and will become a Restricted Noxious Weed in 2023.",,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
,,,,,,,,Euonymus alatus,,,,"Fireball™ aka 'Select'
Specially Regulated Plant in Minnesota (3-year phase-out period) and will become a Restricted Noxious Weed in 2023.",,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
,,,,,,,,Euonymus fortunei,,,,Canadale Gold',,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
,,,,,,,,Euonymus fortunei,,,,Moonshadow',,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
,,,,,,,,Exochorda serratifolia,,,,‘Northern Pearls’ U of M release,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
,,,,,,,,Fagus grandifolia,,,,American Beech,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
,,,,,,,,Fagus sylvatica,,,,Beech - 'Riversii',,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
,,,,,,,,Forsythia,,,,"Forsythia - 'Fiesta', 'Courtaneur' Gold Cluster™, 'Gold Tide', 'Northern Sun'",,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
,,,,,,,,Forsythia,,,,Showoff™ aka 'Mindor',,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
,,,,,,,,Forsythia,,,,Showoff',,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
,,,,,,,,Forsythia,,,,Sunrise',,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
,,,,,,,,Forsythia suspense var. sieboldii,,,,Weeping Forsythia,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
,,,,,,,,Forsythia x intermedia,,,,"Forsythia - 'Lynwood Gold', 'Spring Glory'",,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
,,,,,,,,Fothergilla gardenii,,,,Dwarf Fothergilla,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
,,,,,,,,Fothergillia x intermedia,,,,"Mt. Airy', 'Blue Shadow'",,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
,,,,,,,,Fraxinus americana,,,,White Ash - Autumn Purple® Ash aka 'Junginger',,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
,,,,,,,,Fraxinus quadralangulata,,,,Blue Ash,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
,,,,,,,,Genista tinctoria,,,,Royal Gold Woadwaxen,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
,,,,,,,,Gingko biloba,,,,Autumn Gold',,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
,,,,,,,,Gingko biloba,,,,Jade Butterfly',,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
,,,,,,,,Gingko biloba,,,,Princeton Sentry',,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
,,,,,,,,Gingko biloba,,,,Magyar',,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
,,,,,,,,Gingko biloba,,,,"Goldspire™ Ginkgo, aka 'Blagon'",,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
,,,,,,,,Gleditsia triacanthos var. inermis,,,,Honeylocust - Imperial® aka 'Impcole',,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
,,,,,,,,Gleditsia triacanthos var. inermis,,,,Honeylocust - Shademaster®,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
,,,,,,,,Gleditsia triacanthos var. inermis,,,,Honeylocust - Skyline® aka 'Skycole',,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
,,,,,,,,Gleditsia triacanthos var. inermis,,,,Honeylocust - 'Draves' aka Street Keeper™,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
,,,,,,,,Gleditsia triacanthos var. inermis,,,,Honeylocust - Sunburst® aka 'Suncole' Honeylocust,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
,,,,,,,,Gymnocladus dioicus,,,,Kentucky Coffeetree,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
,,,,,,,,Gymnocladus dioicus,,,,"Decaf® 'aka 'McBranched', Espresso™ aka 'Espresso JFS', 'Stately Manor™', True North™ aka 'UMNSynergy’",,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
,,,,,,,,Hydrangea macrophylla,,,,"Endless Summer® aka'Bailmer', 'Bloomstruk' aka PIIHM-II', 'Twist and Shout' aka PIIHM-I, Summer Crush™ aka 'Bailmacfive'",,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
,,,,,,,,Hydrangea macrophylla,,,,"Cherry Explosion' , 'McKay' PP28,757",,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
,,,,,,,,Hydrangea paniculata,,,,Baby Lace®,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
,,,,,,,,Hydrangea paniculata,,,,"Tree Form Hydrangea: 'LeVasterival', Great Star™, 'Grandiflora', 'PeeGee', 'Pink Diamond', 'DVPpink', Pinky Winky™, 'Bulk', Quick Fire™, 'Tardiva', 'Berry White', Vanillia Strawberry™",,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
,,,,,,,,Hypericum calycinum,,,,St. Johnswort,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
,,,,,,,,Hypericum kalmianum,,,,"St. John's Wort - 'Ames' Ames Kalm, 'Cfflpc-41' Blue Velvet™",,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
,,,,,,,,Ilex,,,,Sparkleberry Winterberry,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
,,,,,,,,Ilex glabra,,,,Shamrock' Inkberry,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
,,,,,,,,Ilex verticillata,,,,"Winterberry - 'Afterglow', 'Jim Dandy', 'Red Sprite', 'Southern Gentleman', 'Bailfire' First Editions® Wildfire™, 'Winter Red'",,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
,,,,,,,,Itea virginica,,,,Scarlet Beauty™ aka 'Morton' Sweetspire,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
,,,,,,,,Juglans nigra,,,,Black Walnut,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
,,,,,,,,Juniperus chinensis,,,,"Blue Point', 'Fruitlandi', 'Old Gold', 'Sea Green', 'Spartan'",,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
,,,,,,,,Juniperus chinensis sargentii,,,,"Glauca', 'Blue Sargent', 'Viridis', 'Green Sargent'",,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
,,,,,,,,Juniperus communis,,,,Pencil Point',,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
,,,,,,,,Juniperus horizontalis,,,,Bar Harbor Juniper,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
,,,,,,,,Juniperus procumbens,,,,Dwarf Japgarden aka 'Nana' Juniper,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
,,,,,,,,Juniperus sabina,,,,Blue Forest Juniper,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
,,,,,,,,Juniperus squamata,,,,Blue Star Juniper,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
,,,,,,,,Juniperus x media,,,,Daub's Frosted Juniper - 'Daub's Frosted',,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
,,,,,,,,Juniperus x pfitzeriana,,,,Kayllay's Compact Juniper,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
,,,,,,,,Kolkwitzia amabilis,,,,Dream Catcher™ aka 'Maradco' Beautybush,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
,,,,,,,,Larix kaempferi,,,,Japanese Larch,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
,,,,,,,,Larix occidentalis,,,,Western Larch,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
,,,,,,,,Ligustrum vulgare,,,,First Editions® Straight Talk™ Privet 'Swift',,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
,,,,,,,,Ligustrum vulgare,,,,"Privet - 'Cheyenne', 'Lodense'",,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
,,,,,,,,Lonicera,,,,"Honeysuckle - 'Freedom', 'Honeyrose'",,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
,,,,,,,,Lonicera caerulea,,,,"Honeyberry - 'Aurora', 'Berry Blue',",,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
,,,,,,,,Lonicera x italica,,,,Sherlite' Harlequin,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
,,,,,,,,Lonicera xylosteum,,,,Honeysuckle - 'Emerald Mound',,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
,,,,,,,,Magnolia acuminata,,,,Cucumbertree magnolia,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
,,,,,,,,Magnolia kobus var. loebneri,,,,Magnolia - 'Leonard Messel',,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
,,,,,,,,Magnolia kobus var. loebneri,,,,Magnolia - 'Merrill',,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
,,,,,,,,Magnolia kobus var. stellata,,,,Royal Star Magnolia,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
,,,,,,,,Magnolia virginiana,,,,Sweetbay Magnolia - 'Northern Belle',,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
,,,,,,,,Magnolia x,,,,Ann',,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
,,,,,,,,Magnolia x,,,,Jane',,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
,,,,,,,,Magnolia x,,,,Ricki',,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
,,,,,,,,Magnolia x,,,,Susan' Magnolia,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
,,,,,,,,Magnolia x brooklynensis,,,,Woodsman',,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
,,,,,,,,Malus,,,,"Crabapple - 'Adams', 'Adirondack', 'Branzam' Brandywine®, 'Camzam' Camelot®, 'Donald Wyman', 'Guinzam' Guinevere™, 'Harvest Gold', 'Golden Raindrops','Indian Magic', 'Indian Summer', 'Lollizam' Lollipop®, 'Louisa', 'Prairiefire', 'Profusion', 'Perfect Purple', 'Purple Prince', 'Red Barron', 'Red Jade', 'Jewelcole' Red Jewel®, 'Rejzam' Rejoice™, 'Robinson', 'JFS-KW5' Royal Raindrops®, 'Bailears' First Editions® Ruby Tears™, 'Spring Snow', 'Swesutyzam' Sugar Tyme®, 'Tina'",,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
,,,,,,,,Malus  x,,,,Velvet Pillar',,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
,,,,,,,,Malus  x,,,,Cranberry Lace',,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
,,,,,,,,Malus sargentii,,,,"Sargent', 'Candymint', 'Select A' Firebird®",,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
,,,,,,,,Morus alba,,,,White Mulberry - 'Chaparral',,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
,,,,,,,,Myrica pensylvanica,,,,Northern Bayberry,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
,,,,,,,,Philadelphus,,,,"Mockorange - 'Buckley's Quill', 'Miniature Snowflake', 'Snowbelle', 'Snowwhite Fantasy' First Editions® Snow White™",,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
,,,,,,,,Philadelphus coronaius,,,,Golden aka 'Aureus' Mockorange,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
,,,,,,,,Philadelphus x virginalis,,,,Minnesota Snowflake Mockorange,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
,,,,,,,,Physocarpus opulifolius,,,,AlouetteTM - aka ‘Couriphy01’,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
,,,,,,,,Picea abies,,,,Norway Spruce - 'Little Gem',,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
,,,,,,,,Picea glauca,,,,Dwarf Alberta Spruce (& Conical Form) Very sensitive to winter wind.,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
,,,,,,,,Picea meyeri,,,,Meyer's Spruce,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
,,,,,,,,Picea omorika,,,,Serbian Spruce,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
,,,,,,,,Picea omorika,,,,Pendula',,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
,,,,,,,,Pinus contorta,,,,Lodgepole Pine,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
,,,,,,,,Pinus contorta,,,,Lodgepole pine - 'Taylors Sunburst',,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
,,,,,,,,Pinus densiflora,,,,Japanese Red Pine,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
,,,,,,,,Pinus flexilis,,,,Limber Pine - Vanderwolf's,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
,,,,,,,,Pinus korensis,,,,Korean Pine,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
,,,,,,,,Pinus nigra,,,,Austrian Pine - Brepo® aka 'Prerrick Bregeon',,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
,,,,,,,,Pinus parviflora,,,,Japanese White Pine 'Kinpo',,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
,,,,,,,,Pinus x schwerinii,,,,Wiethosrt',,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
,,,,,,,,Platanus x acerifolia,,,,"Exclamation!™ aka 'Morton Circle’, 'Bloodgood'",,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
,,,,,,,,Populus sargentii,,,,Jeronimus Sargent' Poplar,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
,,,,,,,,Populus tremuloides,,,,"Prairie Gold' aka ""NEArb'",,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
,,,,,,,,Prunus avium,,,,Mazzard Cherry,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
,,,,,,,,Prunus cerasifera,,,,Newport Plum - Minnesota strain,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
,,,,,,,,Prunus cerasus,,,,Tart Cherry,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
,,,,,,,,Prunus glandulosa,,,,Pink Flowering Almond - 'Rosea Plena',,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
,,,,,,,,Prunus mahleb,,,,Mahaleb Cherry,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
,,,,,,,,Prunus sargentii,,,,Hokkaido Normandale' aka Spring Wonder™,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
,,,,,,,,Prunus x cerasifera,,,,Crimson Pointe™ aka 'Cripoissam',,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
,,,,,,,,Pseudolarix amabilis,,,,Golden Larch,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
,,,,,,,,Pseudotsuga menziesii var. glauca,,,,Rocy Mountian Douglas Fir,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
,,,,,,,,Pyrus,,,,Silver Ball Pear,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
,,,,,,,,Pyrus calleryana,,,,Autumn Blaze Pear,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
,,,,,,,,Pyrus fauriei,,,,"Korean SunTM, 'Westwood' Pear",,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
,,,,,,,,Quercus bicolor,,,,Swamp White Oak,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
,,,,,,,,Quercus coccinea,,,,Scarlet Oak,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
,,,,,,,,Quercus muehlenbergii,,,,Chinkapin Oak,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
,,,,,,,,Quercus palustris,,,,Eastern Pin Oak,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
,,,,,,,,Quercus palustris,,,,Green Pillar® aka 'Pringreen' Pin Oak,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
,,,,,,,,Quercus robur x alba,,,,Skinny Genes' 'JFS-KW2QX',,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
,,,,,,,,Quercus robur x bicolor,,,,"Kindred Spirirt Oak, aka 'Nadler'",,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
,,,,,,,,Quercus x macdanielii,,,,Heritage® aka 'Clemons' Oak,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
