scientific_name,common_name,synonyms,family,genus,growth_habit,height_mature_ft,catalog_source
(x Sorbaronia sp.) x (x Sorbocotoneaster sp.),,,Rosaceae,Sorbaronia,Shrub,5.9,Arnold Arboretum living collection (Arboretum Explorer)
+ Laburnocytisus 'Adamii',,,Fabaceae,Laburnocytisus,Tree,,Arnold Arboretum living collection (Arboretum Explorer)
Abelia chinensis,Chinese Abelia,,Caprifoliaceae,Abelia,Shrub,9.2,Arnold Arboretum living collection (Arboretum Explorer)
Abelia mosanensis,Fragrant Abelia,,Caprifoliaceae,Abelia,Shrub,,Arnold Arboretum living collection (Arboretum Explorer)
Abelia x grandiflora,Glossy Abelia,,Caprifoliaceae,Abelia,Shrub,,Arnold Arboretum living collection (Arboretum Explorer)
Abeliophyllum distichum,Korean Abelialeaf,,Oleaceae,Abeliophyllum,Shrub,7.2,Arnold Arboretum living collection (Arboretum Explorer)
Abeliophyllum distichum 'Roseum',,,Oleaceae,Abeliophyllum,Shrub,5.2,Arnold Arboretum living collection (Arboretum Explorer)
Abies alba,Silver Fir,,Pinaceae,Abies,Tree,,Arnold Arboretum living collection (Arboretum Explorer)
Abies amabilis 'Spreading Star',Cultivar of Cascade Fir,,Pinaceae,Abies,Shrub,40.0,Arnold Arboretum living collection (Arboretum Explorer)
Abies balsamea,Balsam Fir,,Pinaceae,Abies,Tree,4.3,Arnold Arboretum living collection (Arboretum Explorer)
Abies balsamea 'Nana',Dwarf Balsam Fir,|Abies balsamea forma nana|,Pinaceae,Abies,Shrub,,Arnold Arboretum living collection (Arboretum Explorer)
Abies beshanzuensis var. ziyuanensis,Guangxi Fir,|Abies ziyuanensis|,Pinaceae,Abies,Tree,,Arnold Arboretum living collection (Arboretum Explorer)
Abies cephalonica,Greek Fir,,Pinaceae,Abies,Tree,,Arnold Arboretum living collection (Arboretum Explorer)
Abies cephalonica (undetermined hybrid),Hybrid of Grecian fir,,Pinaceae,Abies,Tree,,Arnold Arboretum living collection (Arboretum Explorer)
Abies cf. sachalinensis,,,Pinaceae,Abies,Tree,,Arnold Arboretum living collection (Arboretum Explorer)
Abies cilicica,Cilician Fir,,Pinaceae,Abies,Tree,,Arnold Arboretum living collection (Arboretum Explorer)
Abies cilicica ssp. isaurica,,,Pinaceae,Abies,Tree,,Arnold Arboretum living collection (Arboretum Explorer)
Abies concolor,White Fir,,Pinaceae,Abies,Tree,73.2,Arnold Arboretum living collection (Arboretum Explorer)
Abies concolor 'Candicans',Cultivar of White Fir,|Abies concolor var. candicans|,Pinaceae,Abies,Tree,,Arnold Arboretum living collection (Arboretum Explorer)
Abies concolor 'Compacta',Cultivar of White Fir,,Pinaceae,Abies,Tree,6.0,Arnold Arboretum living collection (Arboretum Explorer)
Abies concolor 'Conica',Conical White Fir,|Abies concolor var. conica|,Pinaceae,Abies,Tree,,Arnold Arboretum living collection (Arboretum Explorer)
Abies concolor 'Violacea',Purplecone White Fir,|Abies concolor var. violacea|,Pinaceae,Abies,Tree,,Arnold Arboretum living collection (Arboretum Explorer)
Abies fabri,Faber's Fir,,Pinaceae,Abies,Tree,7.9,Arnold Arboretum living collection (Arboretum Explorer)
Abies fargesii,Farges Fir,,Pinaceae,Abies,Tree,,Arnold Arboretum living collection (Arboretum Explorer)
Abies fargesii var. fargesii,Farges Fir,,Pinaceae,Abies,Tree,,Arnold Arboretum living collection (Arboretum Explorer)
Abies firma,Momi Fir,,Pinaceae,Abies,Tree,,Arnold Arboretum living collection (Arboretum Explorer)
Abies forrestii,Burma Fir,|Abies delavayi var. smithii|Abies delavayi var. forrestii|,Pinaceae,Abies,Tree,2.0,Arnold Arboretum living collection (Arboretum Explorer)
Abies fraseri,Fraser Fir,,Pinaceae,Abies,Tree,6.6,Arnold Arboretum living collection (Arboretum Explorer)
Abies grandis,Grand Fir,|Abies grandis forma johnsonii|,Pinaceae,Abies,Tree,4.9,Arnold Arboretum living collection (Arboretum Explorer)
Abies holophylla,Needle Fir,,Pinaceae,Abies,Tree,,Arnold Arboretum living collection (Arboretum Explorer)
Abies homolepis var. homolepis,Nikko Fir,,Pinaceae,Abies,Tree,,Arnold Arboretum living collection (Arboretum Explorer)
Abies homolepis var. umbellata,Dimplecone Fir,|Abies x umbellata|Abies umbellata|,Pinaceae,Abies,Tree,,Arnold Arboretum living collection (Arboretum Explorer)
Abies kawakamii,Taiwan Fir,|Abies mariesii var. kawakamii|,Pinaceae,Abies,Tree,2.3,Arnold Arboretum living collection (Arboretum Explorer)
Abies koreana,Korean Fir,,Pinaceae,Abies,Tree,62.6,Arnold Arboretum living collection (Arboretum Explorer)
Abies koreana 'Aurea',Cultivar of Korean Fir,,Pinaceae,Abies,Tree,10.0,Arnold Arboretum living collection (Arboretum Explorer)
Abies koreana 'Prostrate Beauty',Cultivar of Korean Fir,,Pinaceae,Abies,Shrub,2.6,Arnold Arboretum living collection (Arboretum Explorer)
Abies koreana 'Silberlocke',Cultivar of Korean Fir,|Abies koreana 'Horstmanns Silberlocke'|,Pinaceae,Abies,Tree,,Arnold Arboretum living collection (Arboretum Explorer)
Abies lasiocarpa,Subalpine Fir,,Pinaceae,Abies,Tree,,Arnold Arboretum living collection (Arboretum Explorer)
Abies lasiocarpa 'Compacta',Cultivar of Rocky Mt. Fir,|Abies lasiocarpa forma compacta|,Pinaceae,Abies,Tree,15.0,Arnold Arboretum living collection (Arboretum Explorer)
Abies lasiocarpa var. lasiocarpa,Subalpine Fir,,Pinaceae,Abies,Tree,54.8,Arnold Arboretum living collection (Arboretum Explorer)
Abies magnifica 'Glauca',Cultivar of Red Bark Fir,|Abies magnifica forma glauca|,Pinaceae,Abies,Tree,14.8,Arnold Arboretum living collection (Arboretum Explorer)
Abies mariesii,Maries Fir,,Pinaceae,Abies,Tree,,Arnold Arboretum living collection (Arboretum Explorer)
Abies nebrodensis,,,Pinaceae,Abies,Tree,1.3,Arnold Arboretum living collection (Arboretum Explorer)
Abies nephrolepis,Khingan Fir,,Pinaceae,Abies,Tree,39.2,Arnold Arboretum living collection (Arboretum Explorer)
Abies nordmanniana,Nordmann Fir,,Pinaceae,Abies,Tree,18.7,Arnold Arboretum living collection (Arboretum Explorer)
Abies nordmanniana 'Pendula',Cultivar of Nordman Fir,|Abies nordmanniana forma pendula|,Pinaceae,Abies,Tree,,Arnold Arboretum living collection (Arboretum Explorer)
Abies nordmanniana ssp. bornmuelleriana,,|Abies x bornmuelleriana|,Pinaceae,Abies,Tree,,Arnold Arboretum living collection (Arboretum Explorer)
Abies nordmanniana ssp. equi-trojani,,|Abies equi-trojani|,Pinaceae,Abies,Tree,,Arnold Arboretum living collection (Arboretum Explorer)
Abies nordmanniana ssp. nordmanniana,Nordmann Fir,,Pinaceae,Abies,Tree,,Arnold Arboretum living collection (Arboretum Explorer)
Abies pindrow,Pindrow Fir,,Pinaceae,Abies,Tree,6.9,Arnold Arboretum living collection (Arboretum Explorer)
Abies pinsapo 'Glauca',Blue Spanish Fir,|Abies pinsapo var. glauca|,Pinaceae,Abies,Tree,,Arnold Arboretum living collection (Arboretum Explorer)
Abies pinsapo (undetermined hybrid),,,Pinaceae,Abies,Tree,,Arnold Arboretum living collection (Arboretum Explorer)
Abies pinsapo var. marocana,Moroccan Fir,|Abies marocana|Abies maroccana|,Pinaceae,Abies,Tree,,Arnold Arboretum living collection (Arboretum Explorer)
Abies procera,Noble Fir,|Abies nobilis|Abies nobilis|,Pinaceae,Abies,Tree,,Arnold Arboretum living collection (Arboretum Explorer)
Abies procera 'Glauca',Cultivar of Noble Fir,|Abies procera forma glauca|,Pinaceae,Abies,Tree,,Arnold Arboretum living collection (Arboretum Explorer)
Abies procera 'Prostrata',Cultivar of Noble Fir,|Abies procera forma prostrata|,Pinaceae,Abies,Shrub,,Arnold Arboretum living collection (Arboretum Explorer)
Abies recurvata var. recurvata,,,Pinaceae,Abies,Tree,,Arnold Arboretum living collection (Arboretum Explorer)
Abies religiosa,Sacred fir,,Pinaceae,Abies,Tree,,Arnold Arboretum living collection (Arboretum Explorer)
Abies sachalinensis,Sakhalin Fir,,Pinaceae,Abies,Tree,,Arnold Arboretum living collection (Arboretum Explorer)
Abies sachalinensis var. mayriana,Mayr Sakhalin Fir,,Pinaceae,Abies,Tree,,Arnold Arboretum living collection (Arboretum Explorer)
Abies sachalinensis var. sachalinensis,Sakhalin Fir,,Pinaceae,Abies,Tree,13.1,Arnold Arboretum living collection (Arboretum Explorer)
Abies sibirica,Siberian Fir,,Pinaceae,Abies,Tree,,Arnold Arboretum living collection (Arboretum Explorer)
Abies sibirica ssp. semenovii,Tien-shan Fir,,Pinaceae,Abies,Tree,,Arnold Arboretum living collection (Arboretum Explorer)
Abies sp.,Fir,,Pinaceae,Abies,Tree,35.0,Arnold Arboretum living collection (Arboretum Explorer)
Abies spectabilis,Himalayan Fir,|Abies webbiana|,Pinaceae,Abies,Tree,,Arnold Arboretum living collection (Arboretum Explorer)
Abies squamata,Flaky Fir,,Pinaceae,Abies,Tree,21.3,Arnold Arboretum living collection (Arboretum Explorer)
Abies squamata 'Flaky',Cultivar of Flaky Fir,,Pinaceae,Abies,Tree,,Arnold Arboretum living collection (Arboretum Explorer)
Abies veitchii,Veitch Fir,,Pinaceae,Abies,Tree,37.1,Arnold Arboretum living collection (Arboretum Explorer)
Abies veitchii var. sikokiana,Shikoku Fir,,Pinaceae,Abies,Tree,,Arnold Arboretum living collection (Arboretum Explorer)
Abies veitchii var. veitchii,Veitch Fir,|Abies veitchii var. nikkoensis|Abies veitchii var. olivacea|,Pinaceae,Abies,Tree,,Arnold Arboretum living collection (Arboretum Explorer)
Abies x borisii-regis,King Boris Fir,|Abies borisii-regis|,Pinaceae,Abies,Tree,,Arnold Arboretum living collection (Arboretum Explorer)
Acaena anserinifolia,New Zealand Bur,,Rosaceae,Acaena,Herbaceous,,Arnold Arboretum living collection (Arboretum Explorer)
Acer 'Morton UW',Cultivar of Maple,,Sapindaceae,Acer,Tree,5.2,Arnold Arboretum living collection (Arboretum Explorer)
Acer 'White Tigress',,,Sapindaceae,Acer,Tree,,Arnold Arboretum living collection (Arboretum Explorer)
Acer aff. rufinerve,,,Sapindaceae,Acer,Tree,,Arnold Arboretum living collection (Arboretum Explorer)
Acer argutum,Pointed Leaf Maple,,Sapindaceae,Acer,Tree,7.4,Arnold Arboretum living collection (Arboretum Explorer)
Acer barbinerve,,,Sapindaceae,Acer,Intermediate (shrub/tree),,Arnold Arboretum living collection (Arboretum Explorer)
Acer buergerianum,Trident Maple,,Sapindaceae,Acer,Tree,,Arnold Arboretum living collection (Arboretum Explorer)
Acer buergerianum 'Angyo Weeping',Cultivar of trident maple,,Sapindaceae,Acer,Tree,,Arnold Arboretum living collection (Arboretum Explorer)
Acer buergerianum ssp. ningpoense,,|Acer buergerianum var. ningpoense|Acer ningpoense|,Sapindaceae,Acer,Tree,,Arnold Arboretum living collection (Arboretum Explorer)
Acer buergerianum var. trinerve,Trident Maple,,Sapindaceae,Acer,Shrub,,Arnold Arboretum living collection (Arboretum Explorer)
Acer campbellii,,,Sapindaceae,Acer,Tree,5.2,Arnold Arboretum living collection (Arboretum Explorer)
Acer campbellii ssp. wilsonii,,|Acer wilsonii|,Sapindaceae,Acer,Tree,3.3,Arnold Arboretum living collection (Arboretum Explorer)
Acer campestre,Hedge Maple,,Sapindaceae,Acer,Shrub,,Arnold Arboretum living collection (Arboretum Explorer)
Acer campestre 'Nanum',Cultivar of Field Maple,|Acer campestre 'Compactum'|,Sapindaceae,Acer,Shrub,18.0,Arnold Arboretum living collection (Arboretum Explorer)
Acer campestre ssp. leiocarpum,,|Acer campestre var. leiocarpum|,Sapindaceae,Acer,Tree,,Arnold Arboretum living collection (Arboretum Explorer)
Acer capillipes,Japanese Snakebark Maple,,Sapindaceae,Acer,Tree,,Arnold Arboretum living collection (Arboretum Explorer)
Acer cappadocicum,Coliseum Maple,,Sapindaceae,Acer,Tree,,Arnold Arboretum living collection (Arboretum Explorer)
Acer cappadocicum 'Aureum',Cultivar of Coliseum Maple,,Sapindaceae,Acer,Tree,,Arnold Arboretum living collection (Arboretum Explorer)
Acer cappadocicum 'Rubrum',,|Acer cappadocicum forma rubrum|,Sapindaceae,Acer,Tree,,Arnold Arboretum living collection (Arboretum Explorer)
Acer cappadocicum ssp. cappadocicum,Coliseum Maple,|Acer laetum|,Sapindaceae,Acer,Tree,,Arnold Arboretum living collection (Arboretum Explorer)
Acer cappadocicum ssp. lobelii,Calabrian Maple,|Acer lobelii|,Sapindaceae,Acer,Tree,,Arnold Arboretum living collection (Arboretum Explorer)
Acer carpinifolium,Hornbeam Maple,,Sapindaceae,Acer,Tree,,Arnold Arboretum living collection (Arboretum Explorer)
Acer caudatifolium,Kawakami maple,|Acer kawakamii|,Sapindaceae,Acer,Tree,,Arnold Arboretum living collection (Arboretum Explorer)
Acer caudatum ssp. ukurunduense,,|Acer ukurunduense|Acer caudatum|,Sapindaceae,Acer,Intermediate (shrub/tree),,Arnold Arboretum living collection (Arboretum Explorer)
Acer ceriferum,,,Sapindaceae,Acer,Tree,7.5,Arnold Arboretum living collection (Arboretum Explorer)
Acer circinatum,Vine Maple,,Sapindaceae,Acer,Intermediate (shrub/tree),5.0,Arnold Arboretum living collection (Arboretum Explorer)
Acer cissifolium,Vine Leaf Maple,,Sapindaceae,Acer,Tree,10.8,Arnold Arboretum living collection (Arboretum Explorer)
Acer cordatum,,,Sapindaceae,Acer,Tree,2.5,Arnold Arboretum living collection (Arboretum Explorer)
Acer crataegifolium,Hawthorn Maple,,Sapindaceae,Acer,Tree,9.8,Arnold Arboretum living collection (Arboretum Explorer)
Acer davidii,Father David's Maple,,Sapindaceae,Acer,Tree,12.5,Arnold Arboretum living collection (Arboretum Explorer)
Acer davidii ssp. grosseri,Snakebark Maple,|Acer tegmentosum ssp. grosseri|Acer grosseri|Acer grosseri var. hersii|Acer mono horizontale|,Sapindaceae,Acer,Tree,7.5,Arnold Arboretum living collection (Arboretum Explorer)
Acer diabolicum,Devil Maple,|Acer diabolicum forma purpurascens|Acer purpurascens|Acer pulchrum|,Sapindaceae,Acer,Tree,,Arnold Arboretum living collection (Arboretum Explorer)
Acer distylum,Linden Leaved Maple,,Sapindaceae,Acer,Tree,,Arnold Arboretum living collection (Arboretum Explorer)
Acer erianthum,Woolly-flowered Maple,,Sapindaceae,Acer,Tree,5.9,Arnold Arboretum living collection (Arboretum Explorer)
Acer glabrum,Rocky Mountain Maple,|Acer glabrum forma trisectum|Acer glabrum var. tripartitum|,Sapindaceae,Acer,Tree,,Arnold Arboretum living collection (Arboretum Explorer)
Acer glabrum var. douglasii,Rocky Mountain Maple,,Sapindaceae,Acer,Tree,4.3,Arnold Arboretum living collection (Arboretum Explorer)
Acer grandidentatum,Bigtooth Maple,|Acer saccharum ssp. grandidentatum|,Sapindaceae,Acer,Intermediate (shrub/tree),14.6,Arnold Arboretum living collection (Arboretum Explorer)
Acer griseum,Paperbark Maple,,Sapindaceae,Acer,Tree,37.3,Arnold Arboretum living collection (Arboretum Explorer)
Acer heldreichii,Balkan Maple,,Sapindaceae,Acer,Tree,,Arnold Arboretum living collection (Arboretum Explorer)
Acer heldreichii ssp. trautvetteri,Red-bud Maple,|Acer trautvetteri|,Sapindaceae,Acer,Tree,3.6,Arnold Arboretum living collection (Arboretum Explorer)
Acer heldreichii var. macropterum,,,Sapindaceae,Acer,Tree,,Arnold Arboretum living collection (Arboretum Explorer)
Acer henryi,Henry Maple,,Sapindaceae,Acer,Tree,,Arnold Arboretum living collection (Arboretum Explorer)
Acer hyrcanum,Balkan Maple,,Sapindaceae,Acer,Tree,,Arnold Arboretum living collection (Arboretum Explorer)
Acer japonicum,Full Moon Maple,,Sapindaceae,Acer,Tree,6.2,Arnold Arboretum living collection (Arboretum Explorer)
Acer japonicum 'Aconitifolium',Cultivar of Full Moon Maple,|Acer japonicum forma aconitifolium|,Sapindaceae,Acer,Tree,,Arnold Arboretum living collection (Arboretum Explorer)
Acer japonicum 'Green Cascade',Cultivar of Full Moon Maple,,Sapindaceae,Acer,Tree,5.9,Arnold Arboretum living collection (Arboretum Explorer)
Acer japonicum 'Takinogawa',Cultivar of Fullmoon Maple,,Sapindaceae,Acer,Tree,,Arnold Arboretum living collection (Arboretum Explorer)
Acer japonicum 'Yama Kagi',Cultivar of Full Moon Maple,,Sapindaceae,Acer,Tree,,Arnold Arboretum living collection (Arboretum Explorer)
Acer longipes,,,Sapindaceae,Acer,Tree,7.5,Arnold Arboretum living collection (Arboretum Explorer)
Acer macrophyllum,Bigleaf Maple,,Sapindaceae,Acer,Tree,26.2,Arnold Arboretum living collection (Arboretum Explorer)
Acer mandshuricum,Manchurian Maple,,Sapindaceae,Acer,Tree,,Arnold Arboretum living collection (Arboretum Explorer)
Acer maximowiczianum,Nikko Maple,|Acer nikoense|,Sapindaceae,Acer,Tree,,Arnold Arboretum living collection (Arboretum Explorer)
Acer maximowiczianum x griseum,,,Sapindaceae,Acer,Tree,,Arnold Arboretum living collection (Arboretum Explorer)
Acer micranthum,Pagoda Maple,,Sapindaceae,Acer,Intermediate (shrub/tree),3.6,Arnold Arboretum living collection (Arboretum Explorer)
Acer miyabei,Miyabe Maple,,Sapindaceae,Acer,Tree,,Arnold Arboretum living collection (Arboretum Explorer)
Acer miyabei ssp. miaotaiense,,,Sapindaceae,Acer,Tree,10.7,Arnold Arboretum living collection (Arboretum Explorer)
Acer mono,Painted Maple,|Acer pictum|Acer pictum var. parviflorum|,Sapindaceae,Acer,Tree,5.8,Arnold Arboretum living collection (Arboretum Explorer)
Acer mono ssp. okamotoanum,,|Acer okamotoanum|,Sapindaceae,Acer,Tree,5.2,Arnold Arboretum living collection (Arboretum Explorer)
Acer mono var. mayrii,Mayr's Maple,|Acer mayrii|,Sapindaceae,Acer,Tree,,Arnold Arboretum living collection (Arboretum Explorer)
Acer monspessulanum,Montpelier Maple,,Sapindaceae,Acer,Intermediate (shrub/tree),,Arnold Arboretum living collection (Arboretum Explorer)
Acer monspessulanum ssp. monspessulanum,Montpelier maple,|Acer monspessulanum var. ibericum|Acer ibericum|,Sapindaceae,Acer,Tree,6.2,Arnold Arboretum living collection (Arboretum Explorer)
Acer negundo,Boxelder,,Sapindaceae,Acer,Tree,,Arnold Arboretum living collection (Arboretum Explorer)
Acer negundo 'Aureo-marginatum',Goldedge Box Elder,|Acer negundo 'Elegans'|,Sapindaceae,Acer,Tree,,Arnold Arboretum living collection (Arboretum Explorer)
Acer negundo 'Crispum Variegatum',Cultivar of Box Elder,,Sapindaceae,Acer,Tree,,Arnold Arboretum living collection (Arboretum Explorer)
Acer negundo 'Elegans',Cultivar of Box Elder,|Acer negundo 'Aureo-marginatum'|,Sapindaceae,Acer,Tree,,Arnold Arboretum living collection (Arboretum Explorer)
Acer negundo 'Nanum',Cultivar of Box Elder,,Sapindaceae,Acer,Shrub,20.0,Arnold Arboretum living collection (Arboretum Explorer)
Acer negundo 'Violaceum',Violet Box Elder,,Sapindaceae,Acer,Tree,54.2,Arnold Arboretum living collection (Arboretum Explorer)
Acer negundo ssp. interius,Variant of Boxelder,,Sapindaceae,Acer,Tree,,Arnold Arboretum living collection (Arboretum Explorer)
Acer negundo ssp. negundo,Box Elder,,Sapindaceae,Acer,Tree,25.0,Arnold Arboretum living collection (Arboretum Explorer)
Acer oblongum,Flying Moth Tree,|Acer discolor|,Sapindaceae,Acer,Tree,3.6,Arnold Arboretum living collection (Arboretum Explorer)
Acer olivaceum,,,Sapindaceae,Acer,Tree,,Arnold Arboretum living collection (Arboretum Explorer)
Acer oliverianum,,|Acer schneiderianum|,Sapindaceae,Acer,Tree,5.9,Arnold Arboretum living collection (Arboretum Explorer)
Acer opalus,Italian Maple,,Sapindaceae,Acer,Tree,,Arnold Arboretum living collection (Arboretum Explorer)
Acer opalus ssp. obtusatum,Bosnian maple,|Acer opalus var. obtusatum|Acer obtusatum|,Sapindaceae,Acer,Intermediate (shrub/tree),,Arnold Arboretum living collection (Arboretum Explorer)
Acer palmatum,Japanese Maple,|Acer palmatum var. septemlobum|,Sapindaceae,Acer,Tree,4.0,Arnold Arboretum living collection (Arboretum Explorer)
Acer palmatum 'Atropurpureum Crispum',Cultivar of Japanese Maple,,Sapindaceae,Acer,Tree,,Arnold Arboretum living collection (Arboretum Explorer)
Acer palmatum 'Bloodgood',Cultivar of Japanese Maple,,Sapindaceae,Acer,Tree,,Arnold Arboretum living collection (Arboretum Explorer)
Acer palmatum 'Burgundy Lace',Cultivar of Japanese Maple,,Sapindaceae,Acer,Tree,,Arnold Arboretum living collection (Arboretum Explorer)
Acer palmatum 'Dissectum',Cultivar of Japanese Maple,|Acer palmatum forma dissectum|Acer palmatum var. dissectum|,Sapindaceae,Acer,Tree,,Arnold Arboretum living collection (Arboretum Explorer)
Acer palmatum 'Hessei',Cultivar of Japanese Maple,|Acer palmatum var. heptalobum 'Hessei'|,Sapindaceae,Acer,Tree,2.8,Arnold Arboretum living collection (Arboretum Explorer)
Acer palmatum 'Linearilobum',Cultivar of Japanese Maple,|Acer palmatum 'Scolopendrifolium'|,Sapindaceae,Acer,Tree,,Arnold Arboretum living collection (Arboretum Explorer)
Acer palmatum 'Oktoberfest',Cultivar of Japanese Maple,,Sapindaceae,Acer,Tree,,Arnold Arboretum living collection (Arboretum Explorer)
Acer palmatum 'Omurayama',Cultivar of Japanese Maple,,Sapindaceae,Acer,Tree,,Arnold Arboretum living collection (Arboretum Explorer)
Acer palmatum 'Osakazuki',Cultivar of Japanese Maple,,Sapindaceae,Acer,Tree,,Arnold Arboretum living collection (Arboretum Explorer)
Acer palmatum 'Sangokaku',Cultivar of Japanese Maple,,Sapindaceae,Acer,Tree,,Arnold Arboretum living collection (Arboretum Explorer)
Acer palmatum 'Sanguineum',Cultivar of Japanese Maple,|Acer palmatum forma sanguineum|,Sapindaceae,Acer,Tree,,Arnold Arboretum living collection (Arboretum Explorer)
Acer palmatum 'Sherwood Flame',Cultivar of Japanese Maple,,Sapindaceae,Acer,,,Arnold Arboretum living collection (Arboretum Explorer)
Acer palmatum 'Shigitatsu',Cultivar of Japanese Maple,,Sapindaceae,Acer,Tree,,Arnold Arboretum living collection (Arboretum Explorer)
Acer palmatum 'Spring Delight',Cultivar of Japanese Maple,,Sapindaceae,Acer,Tree,3.6,Arnold Arboretum living collection (Arboretum Explorer)
Acer palmatum 'Warwick Red',Cultivar of Japanese Maple,,Sapindaceae,Acer,Tree,2.4,Arnold Arboretum living collection (Arboretum Explorer)
Acer palmatum 'Watnong',Cultivar of Japanese Maple,,Sapindaceae,Acer,Shrub,,Arnold Arboretum living collection (Arboretum Explorer)
Acer palmatum 'Yatsubusa',Cultivar of Japanese Maple,,Sapindaceae,Acer,Tree,,Arnold Arboretum living collection (Arboretum Explorer)
Acer palmatum (variant),Japanese Maple,,Sapindaceae,Acer,Tree,,Arnold Arboretum living collection (Arboretum Explorer)
Acer palmatum forma atropurpureum,Red Leaf Japanese Maple,|Acer palmatum 'Atropurpureum'|,Sapindaceae,Acer,Tree,32.0,Arnold Arboretum living collection (Arboretum Explorer)
Acer palmatum forma chisio,Cultivar of Japanese Maple,,Sapindaceae,Acer,Tree,,Arnold Arboretum living collection (Arboretum Explorer)
Acer palmatum forma dissectum 'Viridis',Cultivar of Japanese Maple,,Sapindaceae,Acer,Tree,,Arnold Arboretum living collection (Arboretum Explorer)
Acer palmatum ssp. amoenum,,|Acer palmatum var. amoenum|Acer palmatum var. heptalobum|Acer palmatum var. septemlobum|Acer palmatum ssp. amoenum 'Heptalobum'|,Sapindaceae,Acer,Tree,8.2,Arnold Arboretum living collection (Arboretum Explorer)
Acer palmatum ssp. palmatum,Japanese Maple,|Acer palmatum var. palmatum|,Sapindaceae,Acer,Tree,,Arnold Arboretum living collection (Arboretum Explorer)
Acer palmatum var. coreanum,,,Sapindaceae,Acer,Tree,,Arnold Arboretum living collection (Arboretum Explorer)
Acer palmatum var. matsumurae,Variant of Japanese Maple,,Sapindaceae,Acer,Tree,,Arnold Arboretum living collection (Arboretum Explorer)
Acer pectinatum ssp. forrestii,,,Sapindaceae,Acer,Tree,,Arnold Arboretum living collection (Arboretum Explorer)
Acer pectinatum ssp. laxiflorum,,|Acer laxiflorum|,Sapindaceae,Acer,Tree,,Arnold Arboretum living collection (Arboretum Explorer)
Acer pectinatum ssp. maximowiczii,,|Acer maximowiczii|,Sapindaceae,Acer,Intermediate (shrub/tree),4.9,Arnold Arboretum living collection (Arboretum Explorer)
Acer pensylvanicum,Moosewood,,Sapindaceae,Acer,Tree,13.1,Arnold Arboretum living collection (Arboretum Explorer)
Acer pensylvanicum 'Erythrocladum',Cultivar of Striped Maple,|Acer pensylvanicum forma erythrocladum|,Sapindaceae,Acer,Tree,,Arnold Arboretum living collection (Arboretum Explorer)
Acer platanoides,Norway Maple,,Sapindaceae,Acer,Tree,,Arnold Arboretum living collection (Arboretum Explorer)
Acer platanoides 'Argutum',Cultivar of Norway Maple,,Sapindaceae,Acer,Tree,40.0,Arnold Arboretum living collection (Arboretum Explorer)
Acer platanoides 'Chas. F. Irish',Cultivar of Norway Maple,|Acer platanoides 'Irish'|,Sapindaceae,Acer,Tree,,Arnold Arboretum living collection (Arboretum Explorer)
Acer platanoides 'Cleveland',Cultivar of Norway Maple,,Sapindaceae,Acer,Tree,,Arnold Arboretum living collection (Arboretum Explorer)
Acer platanoides 'Columnare',Cultivar of Norway Maple,|Acer platanoides forma columnare|,Sapindaceae,Acer,Tree,35.0,Arnold Arboretum living collection (Arboretum Explorer)
Acer platanoides 'Crimson King',Cultivar of Norway Maple,,Sapindaceae,Acer,Tree,,Arnold Arboretum living collection (Arboretum Explorer)
Acer platanoides 'Cucullatum',Cultivar of Norway Maple,|Acer platanoides forma crispum|Acer platanoides 'Crispum'|,Sapindaceae,Acer,Tree,,Arnold Arboretum living collection (Arboretum Explorer)
Acer platanoides 'Dissectum',Cultivar of Norway Maple,,Sapindaceae,Acer,Tree,25.0,Arnold Arboretum living collection (Arboretum Explorer)
Acer platanoides 'Emerald Queen',Cultivar of Norway Maple,,Sapindaceae,Acer,Tree,,Arnold Arboretum living collection (Arboretum Explorer)
Acer platanoides 'Erectum',Cultivar of Norway Maple,|Acer platanoides forma erectum|,Sapindaceae,Acer,Tree,,Arnold Arboretum living collection (Arboretum Explorer)
Acer platanoides 'Faassen's Black',Cultivar of Norway Maple,|Acer platanoides 'Faassens Black'|,Sapindaceae,Acer,Tree,,Arnold Arboretum living collection (Arboretum Explorer)
Acer platanoides 'Globosum',Cultivar of Norway Maple,|Acer platanoides forma globosum|,Sapindaceae,Acer,Tree,6.0,Arnold Arboretum living collection (Arboretum Explorer)
Acer platanoides 'Goldsworth Purple',Cultivar of Norway Maple,,Sapindaceae,Acer,Tree,,Arnold Arboretum living collection (Arboretum Explorer)
Acer platanoides 'Natorp',Cultivar of Norway Maple,,Sapindaceae,Acer,Tree,,Arnold Arboretum living collection (Arboretum Explorer)
Acer platanoides 'Rubrum',Cultivar of Norway Maple,|Acer platanoides forma rubrum|,Sapindaceae,Acer,Tree,,Arnold Arboretum living collection (Arboretum Explorer)
Acer platanoides 'Schwedleri',Cultivar of Norway Maple,|Acer platanoides forma schwedleri|,Sapindaceae,Acer,Tree,,Arnold Arboretum living collection (Arboretum Explorer)
Acer platanoides 'Stand Fast',Cultivar of Norway Maple,,Sapindaceae,Acer,Tree,5.6,Arnold Arboretum living collection (Arboretum Explorer)
Acer platanoides 'Summershade',Cultivar of Norway Maple,,Sapindaceae,Acer,Tree,,Arnold Arboretum living collection (Arboretum Explorer)
