scientific_name,common_name,family,growth_habit,native_status,flower_color,bloom_period,notes,habitat_value,associated_wildlife,water_needs,soil_type,plant_communities,catalog_source
Ribes malvaceum,chaparral currant,Grossulariaceae,Shrub (evergreen),SF Native,Pink,Spring;Winter,,Pollinator,Birds;Bees;Butterflies,None,Sand;Loam,Chaparral;Woodland,"SF Plant Finder (DataSF, CC)"
Ribes menziesii,Canyon gooseberry,Grossulariaceae,Shrub (deciduous),CA Native,White,Spring;Winter,,Cover;Pollinator,Hummingbirds;Bees;Butterflies,None,Clay;Loam,Chaparral;Woodland,"SF Plant Finder (DataSF, CC)"
Ribes sanguineum var. glutinosum,Pink Flowering Currant,Grossulariaceae,Shrub (deciduous),SF Native,Pink,Spring;Winter,,Fruit;Pollinator,Bees;Birds;Hummingbirds,None,Clay;Loam;Sand;Rock,Woodland;Coastal scrub;Dunes,"SF Plant Finder (DataSF, CC)"
Ribes speciosum,Fuchsia-flowered gooseberry,Grossulariaceae,Shrub (evergreen),CA Native,Red,Spring;Winter,,Fruit;Cover;Pollinator,Bees;Birds;Small mammals,None,Clay;Loam,Chaparral,"SF Plant Finder (DataSF, CC)"
Ribes spp.,Red flowering currant,Grossulariaceae,Shrub (evergreen),CA Native,Purple;Pink;White;Yellow;Red,,,Pollinator;Cover;Nesting,Birds,Low,,,"SF Plant Finder (DataSF, CC)"
Rosa banksiae,Lady Banks Rose,Rosaceae,Vine,Exotic,Yellow,Spring,,Pollinator;Cover;Nesting,Birds,Low,,,"SF Plant Finder (DataSF, CC)"
Rosa californica,California Wild Rose,Rosaceae,Shrub (deciduous),SF Native,Pink,Spring;Summer,,Fruit;Pollinator,Bees;Birds;Butterflies;Insects,Low,Clay;Loam;Sand,Coastal scrub;Chaparral;Grassland/prairie;Riparian;Wetland;Woodland,"SF Plant Finder (DataSF, CC)"
Rosa gymnocarpa,Wood Rose/Dwarf Rose,Rosaceae,Shrub (deciduous),SF Native,Pink,Spring,,Fruit;Pollinator,Bees;Birds;Butterflies;Insects,Low,Clay;Loam,Coastal scrub;Chaparral;Grassland/prairie;Woodland;Riparian,"SF Plant Finder (DataSF, CC)"
Rosmarinus officinalis,Rosemary,Lamiaceae,Shrub (evergreen),Exotic,Blue,Spring;Summer,Good ground cover,Pollinator,Bees;Butterflies,None,Clay;Loam,,"SF Plant Finder (DataSF, CC)"
Rubus pentalobus,Bramble,Rosaceae,Shrub (evergreen),Exotic,White,Summer,,Pollinator,,None,Sand;Loam,,"SF Plant Finder (DataSF, CC)"
