scientific_name,common_name,family,growth_habit,native_status,flower_color,bloom_period,notes,habitat_value,associated_wildlife,water_needs,soil_type,plant_communities,catalog_source
Cassia leptophylla,Gold Medallion Tree,Caesalpiniaceae (~Fabales),Tree (evergreen),Exotic,Yellow,Summer,Semi-evergreen; requires extensive early maintenance.,Cover;Nesting,,Low,Loam;Sand,,"SF Plant Finder (DataSF, CC)"
Ceanothus gloriosus,Point Reyes Ceanothus,Rhamnaceae,Shrub (evergreen),CA Native,Blue;Purple,Spring;Winter,,Pollinator,Humminbirds;Bees;Butterflies;Bees,None,Clay;Loam;Sand,Chaparral;Coastal scrub;Woodland,"SF Plant Finder (DataSF, CC)"
Ceanothus griseus horizontalis,Carmel creeper,Rhamnaceae,Shrub (evergreen),CA Native,Blue,Spring;Winter,,Pollinator,Butterflies;Bees;Hummingbirds,None,Sand;Loam,,"SF Plant Finder (DataSF, CC)"
Ceanothus 'Ray Hartman',Ray Hartman Ceanothus,Rhamnaceae,Tree (evergreen),CA Native,Blue,Spring,Pollinators.,,Birds;Hummingbirds;Butterflies,None,Sand;Loam,,"SF Plant Finder (DataSF, CC)"
Ceanothus spp.,California Lilac,Rhamnaceae,Shrub (evergreen),CA Native,,,,Pollinator,Birds;Bees,Low,,,"SF Plant Finder (DataSF, CC)"
Ceanothus thyrsiflorus,California Lilac / Blueblossom,Rhamnaceae,Shrub (evergreen),SF Native,Blue,Spring,"Fragrant flowers. Attracts Cedar Waxwing bird and Echo Blue (Celestrina ladon echo), California Tortoiseshell (Nymphalis californica) butterflies.",Cover;Buds/greens;Pollinator,Bees;Birds;Butterflies;Hummingbirds;Insects,None,Clay;Loam,Chaparral;Coastal scrub;Woodland,"SF Plant Finder (DataSF, CC)"
Ceanothus thyrsiflorus repens,Low Blue Blossom,Rhamnaceae,Shrub (evergreen),CA Native,Blue,,,Pollinator,Butterflies;Bees;Hummingbirds,None,Clay;loam;Sand,,"SF Plant Finder (DataSF, CC)"
Cephalanthus occidentalis,buttonbush,Rubiaceae,Shrub (deciduous),CA Native,White,Fall,,Pollinator;Cover;Nesting,Bees,Moderate,Loam,,"SF Plant Finder (DataSF, CC)"
Cercis occidentalis,Redbud,Fabaceae,Tree (deciduous),CA Native,Pink,Spring,,Pollinator,Bees;Birds;Hummingbirds,None,Clay;Loam;Sand;Rock,Chaparral;Woodland,"SF Plant Finder (DataSF, CC)"
Cercocarpus betuloides,Mountain mahogany,Rosaceae,Shrub (evergreen),CA Native,Yellow,Spring,,Cover,"Bees,Butterflies;Hummingbirds",None,Loam;Sand;Clay,Chaparral;Woodland,"SF Plant Finder (DataSF, CC)"
Cistus salvifolius 'Prostratus',Sageleaf Rockrose,Cistaceae,Shrub (evergreen),Exotic,White,Spring,,,,Low,Sand;Loam,,"SF Plant Finder (DataSF, CC)"
Cistus spp.,rockrose,Cistaceae,Shrub (evergreen),Exotic,white;pink;purple,Spring;Summer,,Pollinator,Birds,Low,Loam;Sand,,"SF Plant Finder (DataSF, CC)"
Cistus 'Sunset',Magenta rockrose,Cistaceae,Shrub (evergreen),Exotic,Magenta,Spring;Summer,,,,Low,,,"SF Plant Finder (DataSF, CC)"
Cistus x skanbergii,Pink rockrose,Cistaceae,Shrub (evergreen),Exotic,Pink,Spring,,,,Low,Sand;Loam,,"SF Plant Finder (DataSF, CC)"
Clematis armandii,Evergreen Clematis,Ranunculaceae,Vine,Exotic,White,Spring;Winter,,Pollinator;Cover;Nesting,Birds;bees;butterflies,Low,,,"SF Plant Finder (DataSF, CC)"
Clematis lasiantha,Pipestems; Chaparral clematis,Ranunculaceae,Vine,CA Native,White,Spring,,Cover,Birds;Butterflies,Low,Clay;Loam,Riparian;Woodland,"SF Plant Finder (DataSF, CC)"
Clematis spp.,Clematis,Ranunculaceae,Vine,Exotic,,,,Pollinator;Cover;Nesting,Birds,Low,,,"SF Plant Finder (DataSF, CC)"
Convolvulus cneorum,Bush morninglory,Convolvulacea,Shrub (evergreen),Exotic,White,Spring;Summer;Fall,,,,Low,Sand;Loam,,"SF Plant Finder (DataSF, CC)"
Coprosma petriei  'Verde Vista',Creeping coprosma,Rubiaceae,Shrub (evergreen),Exotic,,,,,,None,,,"SF Plant Finder (DataSF, CC)"
Cornus sericea,American Dogwood,Cornaceae,Shrub (deciduous),SF Native,White,Spring;Summer,Attracts Sprin Azure / Echo Blue (Celastrina ladon echo) butterfly.,Buds/greens;Cover;Pollinator,Bees;Birds;Butterflies;Insects,Moderate,Clay;Loam;Sand;Rock,Wetland;Riparian,"SF Plant Finder (DataSF, CC)"
Cornus sericea ssp. occidentalis,California Dogwood,Cornaceae,Shrub (deciduous),SF Native,White,Summer,Attracts Cedar Waxwing bird.,Buds/greens,Birds;Insects,Moderate,Clay;Loam;Sand;Rock,Wetland;Riparian,"SF Plant Finder (DataSF, CC)"
Correa 'Dusky Bells',Australian fuschia,Rutaceae,Shrub (evergreen),Exotic,Pink;Red,Spring,,,Hummingbirds,Low,Sand;Loam,,"SF Plant Finder (DataSF, CC)"
Correa 'Ivory Bells',Australian fuschia,Rutaceae,Shrub (evergreen),Exotic,White,Spring,,,Hummingbirds,Low,Sand;Loam,,"SF Plant Finder (DataSF, CC)"
Correa spp.,Australian Fuchsia,Rutaceae,Shrub (evergreen),Exotic,,,,Pollinator,Birds;Bees,Low,,,"SF Plant Finder (DataSF, CC)"
Corylus cornuta,California Hazelnut,Betulaceae,Tree (deciduous),SF Native,Red,Winter,,Fruit,Birds,Low,Clay;Loam;Sand,Coastal scrub;Woodland;Riparian,"SF Plant Finder (DataSF, CC)"
Corymbia ficifolia,Red Flowering Gum,Myrtaceae,Tree (evergreen),Exotic,Red,Summer,"Needs a very large basin, wide sidewalk, pollinators.",,Bees;Birds;Butterflies,Low,,,"SF Plant Finder (DataSF, CC)"
Corymbia maculata,Spotted Gum,Myrtaceae,Tree (evergreen),Exotic,White,,"Experimental, should do well in climate; lots of mature trees doing well now.",,,Low,Clay;Loam;Sand,,"SF Plant Finder (DataSF, CC)"
Cotinus spp.,Smoke Bush,Anacardiaceae,Shrub (evergreen),Exotic,,,,Cover;Nesting,,Low,,,"SF Plant Finder (DataSF, CC)"
Cotoneaster dammeri 'LowFast',Bearberry Cotoneaster,Rosaceae,Shrub (evergreen),Exotic,White,Spring,,Pollinator,,Low,,,"SF Plant Finder (DataSF, CC)"
Crataegus phaenopyrum,Washington Hawthorn,Rosaceae,Tree (deciduous),Exotic,White,Spring,Subject to pests; has thorns; may be susceptible to fire blight; pollinators.,,Birds;Butterflies;Bees,Low,,,"SF Plant Finder (DataSF, CC)"
Crataegus x Lavallei,Lavalle hawthorn,Rosaceae,Tree (deciduous),Exotic,White,,"Appears to be less susceptible to fire blight
and other pests compared to other
Crataegus; pollinators.",,,Low,,,"SF Plant Finder (DataSF, CC)"
Daphne odora,Winter Daphne,Thymelaeaceae,Shrub (evergreen),Exotic,Pink,,All parts of this species are toxic and may be fatal if ingested.,,,Low,,,"SF Plant Finder (DataSF, CC)"
Delosperma cooperi,Cooper's Ice Plant,Aizoaceae,Shrub (evergreen),Exotic,Magenta,Summer;Fall,,Cover,,Low,Sand,,"SF Plant Finder (DataSF, CC)"
Distictis buccinatoria,Blood Red Trumpet Vine,Bignoniaceae,Vine,Exotic,Red,Summer,,Cover;Nesting,Hummingbirds,,,,"SF Plant Finder (DataSF, CC)"
Dodonaea viscosa,Hopseed Bush,Sapindaceae,Shrub (evergreen),Exotic,,,,Cover;Nesting,,Low,,,"SF Plant Finder (DataSF, CC)"
Encelia californica,Bush Sunflower,Asteraceae,Shrub (evergreen),CA Native,Yellow,Spring;Summer;Winter,Sunflower-like flowers. Attracts Red-Winged Blackbird.,Pollinator,Bees;Birds;Butterflies,Low,Clay,Chaparral,"SF Plant Finder (DataSF, CC)"
Ericameria ericoides,Mock Heather,Asteraceae,Shrub (evergreen),SF Native,Yellow,Fall,"Needs dunes and shifting sand, most likely by ocean beach.",Cover,No data,None,Sand,Dunes,"SF Plant Finder (DataSF, CC)"
Eriobotrya deflexa,Bronze Loquat,Asteraceae,Tree (evergreen),Exotic,White,Spring,Needs wind protection. Does not perform well in sandy soils. Dusceptible to fire blight. Pollinators.,,Birds;Butterflies,Low,,,"SF Plant Finder (DataSF, CC)"
Eriodictyon californicum,"California yerba santa,  Yerba santa",Boraginaceae,Shrub (evergreen),CA Native,White;Purple,Summer,,Pollinator;Cover;Nesting,Bees,None,Loam;Sand,Chaparral;Foothill Woodland;Yellow Pine Forest;Northern Oak Woodland;Mixed Evergreen Forest;Redwood Forest,"SF Plant Finder (DataSF, CC)"
Eriogonum fasciculatum,California Buckwheat,Polygonaceae,Shrub (evergreen),CA Native,Pink;White,Spring;Summer;Fall,,Pollinator,"Butterflies;Bees,Birds",None,Clay;Loam;Sand,Coastal scrub;Grassland;Woodland,"SF Plant Finder (DataSF, CC)"
Eriogonum giganteum,California Buckwheat;St. Catherine's Lace?,Polygonaceae,Shrub (evergreen),CA Native,White;Red,Spring;Summer,,Pollinator,Butterflies; Bees,None,Clay;Loam;Sand,Chaparral;Coastal scrub,"SF Plant Finder (DataSF, CC)"
Escallonia 'Compakta',,Escalloniaceae,Shrub (evergreen),Exotic,Pink;Red,Spring;Fall,,,Bees,Low,,,"SF Plant Finder (DataSF, CC)"
Frangula californica,California Coffeeberry,Rhamnaceae,Shrub (evergreen),SF Native,Burgundy,Summer,Attracts Pale Tiger Swallowtail (Papilio eurymedon) and White-Crowned Sparrow.,Cover;Buds/greens;Fruit;Pollinator,Bees;Birds;Butterflies;Insects,None,Clay;Loam;Sand;Rock,Coastal scrub;Woodland,"SF Plant Finder (DataSF, CC)"
Fraxinus latifolia,Oregon Ash,Oleaceae,Tree (deciduous),CA Native,Green,Spring,Attracts Pale Swallowtail (Papilio eurymedon) and Western Tiger Swallowtail (Papilio rutulus).,Fruit;Nesting,Birds;Butterflies,Low,Clay;Loam;Sand,Riparian;Woodland,"SF Plant Finder (DataSF, CC)"
Fremontodendron 'California Glory',Flannel Bush,Malvaceae,Shrub (evergreen),CA Native,Yellow,Spring,,Cover;Buds/greens;Pollinator,Bees;Butterflies;Insects,None,Clay;Loam;Sand,Chaparral;Woodland,"SF Plant Finder (DataSF, CC)"
Fuchsia procumbens,Prostrate fuschia,Onagraceae,Shrub (evergreen),Exotic,Purple;Green;Yellow,Summer;Fall,,Pollinator,,,,,"SF Plant Finder (DataSF, CC)"
Garrya elliptica,Silk Tassel,Garryaceae,Shrub (evergreen),SF Native,White,Winter,"Beautiful plant that gets large, is wind pollinated, and could be trained into a single stem tree.",Fruit;Cover,Bees;Birds,Low,clay;loam,Coastal scrub;Woodland,"SF Plant Finder (DataSF, CC)"
Gaultheria shallon,Salal,Ericaceae,Shrub (evergreen),SF Native,White;Pink,Spring,,Fruit,Birds;Butterflies,Low,Clay;Loam,Wetland;Coastal scrub;Woodland,"SF Plant Finder (DataSF, CC)"
Ginkgo biloba,Maidenhair;Ginkgo Tree,Ginkgoaceae,Tree (deciduous),Exotic,,Spring,"Slow grower. 'Princeton Sentry', 'Saratoga' another variety.",,,Low,Clay;Loam;Sand,,"SF Plant Finder (DataSF, CC)"
Grevillea lanigera 'Coastal Gem',,Proteaceae,Shrub (evergreen),Exotic,Pink;White,Spring;Summer;Fall;Winter,,Pollinator,Birds,Low,Sand;Loam,,"SF Plant Finder (DataSF, CC)"
Grevillea 'Magic Lantern',,Proteaceae,Shrub (evergreen),Exotic,Red,Spring;Fall,,,,Low,Sand,,"SF Plant Finder (DataSF, CC)"
Grevillea spp.,Grevillea,Proteaceae,Shrub (evergreen),Exotic,,,,Pollinator,Birds;Bees,Low,,,"SF Plant Finder (DataSF, CC)"
Hardenbergia violacea,Lilac Vine,Fabaceae,Vine,Exotic,Purple,Spring;Winter,,Cover;Nesting,Bees,Low,,,"SF Plant Finder (DataSF, CC)"
Hebe spp.,Hebe,Scrophulariaceae,Shrub (evergreen),Exotic,Red,,,Pollinator,Birds;Bees,Low,,,"SF Plant Finder (DataSF, CC)"
Helianthemum 'Apricot',Apricot Sunrose,Cistaceae,Shrub (evergreen),Exotic,Orange,Spring,,,,Low,,,"SF Plant Finder (DataSF, CC)"
Helianthemum 'Belgravia Rose',,Cistaceae,Shrub (evergreen),Exotic,Purple;pink,Spring,,,,Low,,,"SF Plant Finder (DataSF, CC)"
Helianthemum nummularium,Sunrose,Cistaceae,Shrub (evergreen),Exotic,Yellow,,,Pollinator,Birds;Bees,Low,,,"SF Plant Finder (DataSF, CC)"
Heteromeles arbutifolia,Toyon,Rosaceae,Tree (evergreen),SF Native,White,Summer,"White flowers in summer, red berries in winter. Attracts Cedar Waxwing, Robins, and Purple Finches.",Cover;Buds/greens;Fruit;Pollinator,Bees;Birds;Butterflies;Hummingbirds;Insects,None,Clay;Loam;Sand;Rock,Chaparral;Coastal scrub;Woodland,"SF Plant Finder (DataSF, CC)"
Holodiscus discolor,Cream Bush,Rosaceae,Shrub (deciduous),SF Native,White,Spring;Summer,"Attracts Spring Azure, Pale Swallowtail, and Lorquin’s Admiral butterflies.",Buds/greens;Cover;Pollinator,Bees;Birds;Butterflies,Low,Clay;Loam,Woodland;Coastal scrub,"SF Plant Finder (DataSF, CC)"
Hymenosporum flavum,Sweetshade,Pittosporaceae,Tree (evergreen),Exotic,Yellow,Summer,"Uneven performer, prefers heat, wind protection, good drainage, pollinators.",,,Low,,,"SF Plant Finder (DataSF, CC)"
Ilex vomitoria,Yaupon,Aquifoliaceae,Shrub (evergreen),Exotic,White,Spring,,Pollinator;Cover;Nesting,Birds; Butterflies,Low,Clay;Sand;Loam,,"SF Plant Finder (DataSF, CC)"
Jacaranda mimosifolia,Jacaranda,Bignoniaceae,Tree (deciduous),Exotic,"Blue,Lavender",Spring;Summer,"Uneven performer, prefers heat, wind protection, good drainage.",,,Low,,,"SF Plant Finder (DataSF, CC)"
Jasminum polyanthum,Pink Jasmine,Oleaceae,Vine,Exotic,White,Spring;Winter,,,,Low,,,"SF Plant Finder (DataSF, CC)"
Juglans hindsii,California black walnut,Juglandaceae,Tree (deciduous),CA Native,,Spring,,Cover;Nesting,Birds,Low,Clay;Loam,Riparian;Woodland,"SF Plant Finder (DataSF, CC)"
Koelreuteria bipinnata,Chinese Flame Tree,Sapindaceae,Tree (deciduous),Exotic,Yellow,,Structural failure concerns.,,,Moderate,Clay;Loam;Sand,,"SF Plant Finder (DataSF, CC)"
Lagunaria patersonii,Primrose Tree,Malvaceae,Tree (evergreen),Exotic,Pink,Spring;Summer,Does well in windy areas. Pollinators.,,,Low,Clay;Loam;Sand,,"SF Plant Finder (DataSF, CC)"
Lampranthus spectabilis,Trailing Ice Plant,Aizoaceae,Shrub (evergreen),Exotic,Magenta;Pink;Purple,Spring;summer,,,,Low,,,"SF Plant Finder (DataSF, CC)"
Lantana montevidensis,Trailing Lantana,Verbenaceae (Vervains),Shrub (evergreen),Exotic,Purple,Spring;Summer;Fall;Winter,,Pollinator,Birds;Bees;Butterflies,Low,,,"SF Plant Finder (DataSF, CC)"
Larrea tridentata,Creosote Bush,Zygophyllaceae,Shrub (evergreen),CA Native,Yellow,Spring;Summer;Fall;Winter,,,,None,Many,,"SF Plant Finder (DataSF, CC)"
Lathyrus vestitus,Wild Pea,Fabaceae,Vine,SF Native,Magenta;Purple,Spring,Climbing,Pollinator,Birds;Hummingbirds;Butterflies,Low,Clay;loam,Chaparral;Woodland;Coastal scrub,"SF Plant Finder (DataSF, CC)"
Laurus nobilis 'Saratoga',Saratoga' Bay Laurel,Lauraceae,Tree (evergreen),Exotic,Yellow,Spring,"Uneven performer, prefers heat, wind protection, gets pests.",,,Low,,,"SF Plant Finder (DataSF, CC)"
Lavandula angustifolia 'Hidcote Superior',English Lavender,Lamiaceae,Shrub (evergreen),Exotic,Indigo,Summer;Fall,,Pollinator,Butterflies;Bees;Hummingbirds,None,Sand;Loam,,"SF Plant Finder (DataSF, CC)"
Lavandula dentata var. candicans,French Lavender,Lamiaceae,Shrub (evergreen),Exotic,Purple,Spring;Summer;Fall;Winter,,Pollinator,Butterflies;Bees;Hummingbirds,None,Sand;Loam,,"SF Plant Finder (DataSF, CC)"
Lavandula 'Goodwin Creek Grey',Goodwin Creek Lavender,Lamiaceae,Shrub (evergreen),Exotic,Purple,Spring;Summer;Fall;Winter,,Pollinator,Butterflies;Bees;Hummingbirds,None,Sand;Loam,,"SF Plant Finder (DataSF, CC)"
Lavandula multifida,Fern Leaf Lavender,Lamiaceae,Shrub (evergreen),Exotic,Indigo,Summer;Fall,,Pollinator,Butterflies;Bees;Hummingbirds,None,Sand;Loam,,"SF Plant Finder (DataSF, CC)"
Lavandula spp.,Lavender,Lamiaceae,Shrub (evergreen),Exotic,Purple,Spring;Summer;Fall;Winter,"Relatively short-lived, it will become leggy if not pruned after flowering.",Pollinator;Cover,Bees;Birds;Butterflies;Hummingbirds,None,Clay;Loam,,"SF Plant Finder (DataSF, CC)"
Lavandula stoechas 'Alba',Spanish White Lavender,Lamiaceae,Shrub (evergreen),Exotic,White,Spring;Fall,,Pollinator,Butterflies;Bees;Hummingbirds,None,Sand;Loam,,"SF Plant Finder (DataSF, CC)"
Lavandula stoechas 'Willow Vale',Spanish Lavender,Lamiaceae,Shrub (evergreen),Exotic,Purple,spring;summer,,Pollinator,Butterflies;Bees;Hummingbirds,None,Sand;Loam,,"SF Plant Finder (DataSF, CC)"
Lavandula x. intermedia 'Grosso',Purple Lavander,Lamiaceae,Shrub (evergreen),Exotic,Indigo,Summer;Fall,,Pollinator,Butterflies;Bees;Hummingbirds,None,Clay;Loam;Sand,,"SF Plant Finder (DataSF, CC)"
Lavatera  assurgentiflora,Tree Mallow,Malvaceae,Shrub (evergreen),CA Native,Red,Spring;Summer;Fall,,Pollinator;Cover;Nesting,Birds;Butterflies,None,Sand;Loam,Coastal scrub,"SF Plant Finder (DataSF, CC)"
Leonotis leonurus,Lion's Tail,Lamiaceae,Shrub (evergreen),Exotic,Orange,Spring;Summer;Fall;Winter,,Pollinator;Cover;Nesting,Birds;Bees,Low,,,"SF Plant Finder (DataSF, CC)"
Lepechinia calycina,"White Pitcher Sage, Woodbalm, Pitcher Sage",Lamiaceae,Shrub (evergreen),SF Native,White,Spring;Summer,,Cover;Nesting,,None,Loam;Sand,"Woodland,Chaparral","SF Plant Finder (DataSF, CC)"
Leucadendron hybrids,Leucadendron,Proteaceae,Shrub (evergreen),Exotic,Burgundy,Spring;Summer;Winter,,Cover;Nesting,,Low,,,"SF Plant Finder (DataSF, CC)"
Leucadendron Salignum,Common Sunshine Conebush,Proteaceae,Shrub (evergreen),Exotic,Red,Winter,,,,None,Sand;Loam,,"SF Plant Finder (DataSF, CC)"
Leucophyllum spp.,Texas Ranger,Scrophulariaceae,Shrub (evergreen),Exotic,Purple,Summer;Fall,,Pollinator,Birds;Bees,Low,,,"SF Plant Finder (DataSF, CC)"
Leucospermum spp.,Pincushion Plant,Proteaceae,Shrub (evergreen),Exotic,Red;Orange;Pink,Spring;Winter,,,,Low,,,"SF Plant Finder (DataSF, CC)"
Lonicera hispidula,California Honeysuckle,Caprifoliaceae,Vine,SF Native,Pink,Summer,Climbing,Fruit,Birds;Hummingbirds,Low,Clay;Loam,Coastal scrub;Woodland;Riparian,"SF Plant Finder (DataSF, CC)"
Lonicera involucrata,Twinberry Honeysuckle,Caprifoliaceae,Shrub (deciduous),SF Native,Yellow,Summer,"Not wind tolerant, but grows in many habitats. Attracts Cedar Waxwing and  Red Admiral.",Fruit;Pollinator;Cover,Bees;Birds;Butterflies;Hummingbirds,Low,Loam;Clay,Coastal scrub;Riparian;Wetland;Woodland,"SF Plant Finder (DataSF, CC)"
Lophostemon confertus,Brisbane Box,Myrtaceae,Tree (evergreen),Exotic,White,Spring;Summer,Fast grower.,,,Low,,,"SF Plant Finder (DataSF, CC)"
Lupinus arboreus,Yellow Bush Lupine,Fabaceae,Shrub (evergreen),SF Native,Yellow,Spring,"Only plant in western sandy areas.  Grows fast, then dies out fast.  Lupines should be planted as plants – unpredictable germination.",Pollinator,Bees;Butterflies;Hummingbirds,None,Clay;Loam;Sand;Rock,Coastal scrub;Grassland/prairie;Dunes,"SF Plant Finder (DataSF, CC)"
Lupinus argenteus,Silvery Lupine,Fabaceae,Shrub (evergreen),CA Native,Blue,Summer,,Pollinator,Birds;Bees;Butterflies,None,Loam;Sand,,"SF Plant Finder (DataSF, CC)"
Lupinus chamissonis,Silver Dune Lupine,Fabaceae,Shrub (evergreen),SF Native,Indigo,Spring,,Pollinator;Cover,Butterflies;Hummingbirds,None,Sand,Dunes,"SF Plant Finder (DataSF, CC)"
Lupinus spp.,Lupine,Fabaceae,Shrub (evergreen),CA Native,,,,Pollinator,Birds;Bees,None,,,"SF Plant Finder (DataSF, CC)"
Lyonothamnus floribundus ssp. asplenifolius,Catalina Ironwood,Rosaceae,Tree (evergreen),CA Native,White,Spring;Summer,"Prefers heat, wind protection prone to transplant shock; very susceptible to
phytophthora.",,,Low,Clay;Loam,,"SF Plant Finder (DataSF, CC)"
Macfadyena unguis-cati,Yellow Trumpet Vine,Bignoniaceae,Vine,Exotic,Yellow,Summer,,Cover;Nesting,,,,,"SF Plant Finder (DataSF, CC)"
Magnolia champaca,Champak;Golden Champaca,Magnoliaceae,Tree (evergreen),Exotic,Yellow,Spring;Summer,"Formerly Michelia champaca; needs wind protection, wide sidewalk, gets powdery mildew and very slow grower.",,,Low,,,"SF Plant Finder (DataSF, CC)"
Magnolia doltsopa,Sweet Michelia,Magnoliaceae,Tree (evergreen),Exotic,White,Spring,"Formerly Michelia doltsopa; uneven performer, grows very slowly, prefers heat, wind protection.",,,Low,,,"SF Plant Finder (DataSF, CC)"
Magnolia grandiflora 'Little Gem',Little Gem Magnolia,Magnoliaceae,Tree (evergreen),Exotic,White,Summer;Fall,,,Birds;Butterflies,Low,,,"SF Plant Finder (DataSF, CC)"
Magnolia grandiflora 'Majestic Beauty',Majestic Magnolia,Magnoliaceae,Tree (evergreen),Exotic,,,,,,Low,,,"SF Plant Finder (DataSF, CC)"
Mahonia repens,Creeping Mahonia,Berberidaceae,Shrub (evergreen),CA Native,Yellow,Spring;Summer,,Fruit,Birds;Butterflies,Low,Clay;Loam;Sand,Chaparral;Woodland,"SF Plant Finder (DataSF, CC)"
Malva assurgentiflora,"Malva Rosa, Island Mallow",Malvaceae,Shrub (evergreen),CA Native,Pink,Spring;Summer;Winter,Attracts Grey Hairstreak (Strymon melinus) and Painted Lady (Vanessa cardui) butterflies.,Buds/greens,Butterflies;Insects,Low,Clay;Loam;Sand,Coastal scrub,"SF Plant Finder (DataSF, CC)"
Malvastrum lateritium,Trailing mallow,Malvaceae,Shrub (evergreen),Exotic,Pink,Summer;Fall,,,,None,clay;loam,,"SF Plant Finder (DataSF, CC)"
Marah fabacea,Wild Cucumber/Manroot,Cucurbitales,Vine,SF Native,White,Spring,Attracts Scrub Jays.,Fruit,Birds,None,Clay;Loam;Sand,Coastal scrub;Dunes;Woodland,"SF Plant Finder (DataSF, CC)"
Marah oregana,Coast Manroot,Cucurbitales,Vine,SF Native,White,Spring,Only one specimen in SF in John McLaren Park.,Fruit,Birds,Low,Clay;Loam;Sand,Woodland,"SF Plant Finder (DataSF, CC)"
Melaleuca linariifolia,Flax-leaf paperbark,Myrtaceae,Tree (evergreen),Exotic,White,,,,,Low,Clay;Loam;Sand,,"SF Plant Finder (DataSF, CC)"
Melaleuca quinquenervia,Broad-leaf paperbark,Myrtaceae,Tree (evergreen),Exotic,White,Summer;Fall,"Grows fast, dense, irregular form, prefers wind protection.",,,Low,Clay;Loam;Sand,,"SF Plant Finder (DataSF, CC)"
Melianthus major,Honey Bush,Melianthaceae,Shrub (evergreen),Exotic,Magenta,Spring;Winter,,Cover;Nesting,,Low,,,"SF Plant Finder (DataSF, CC)"
Metrosideros excelsa,New Zealand Christmas tree,Myrtaceae,Tree (evergreen),Exotic,Red,Spring;Summer;Fall;Winter,Endures wind well and is a common SF street tree; needs a very large basin and wide sidewalk.,Fruit;Pollinator,Bees;Birds;Butterflies;Insects,Low,Loam;Sand,,"SF Plant Finder (DataSF, CC)"
Mimulus aurantiacus,Sticky Monkeyflower,Phrymaceae,Shrub (evergreen),SF Native,Orange,Spring;Summer,"Plant in dry areas, endures wind well. Attracts Nutall's White-crowned Sparrow, Buckeye (Junonia coenia) and Variable Checkerspot (Euphydras chalcedona) butterflies, and Anna's Hummingbird.",Buds/greens;Pollinator,Bees;Birds;Butterflies;Hummingbirds;Insects,None,Clay;Loam;Sand;Rock,Coastal scrub;Woodland;Dunes,"SF Plant Finder (DataSF, CC)"
Morella californica,"California Wax Myrtle, Pacific Bayberry",Myricaceae,Tree (evergreen),SF Native,Yellow,Summer,Endures wind well. May grow as a single trunk standard tree.,Cover;Fruit;Pollinator;Nesting,Bees;Birds;Butterflies,Moderate,Clay;Loam;Sand,Coastal scrub;Riparian;Woodland;Wetland,"SF Plant Finder (DataSF, CC)"
Myoporum parvifolium,Myoporum,Myoporaceae,Shrub (evergreen),Exotic,White,summer,,,,None,Sand;Loam,,"SF Plant Finder (DataSF, CC)"
Myrtus communis,Common Myrtle,Myrtaceae,Shrub (evergreen),Exotic,White,Spring;Summer,,Pollinator;Fruit,Birds,None,Sand;Loam,,"SF Plant Finder (DataSF, CC)"
Myrtus communis compacta,Dwarf Myrtle,Myrtaceae,Shrub (evergreen),Exotic,White,Spring;summer,,Fruit;Pollinator,Birds,None,Sand;Loam,,"SF Plant Finder (DataSF, CC)"
Nandina domestica,Heavenly Bamboo,Berberidaceae,Shrub (evergreen),Exotic,Pink;White,Spring;Summer,,,,Low,,,"SF Plant Finder (DataSF, CC)"
Nolina bigelovii,Bear Grass,Ruscaceae,Shrub (evergreen),CA Native,,Summer,,,,None,Sand;Loam,,"SF Plant Finder (DataSF, CC)"
Oemleria cerasiformis,"Indian plum,  Oso berry",Rosaceae,Shrub (deciduous),SF Native,White,Spring;Summer,,Fruit;pollinator,,Low,Loam;Sand,Coastal scrub,"SF Plant Finder (DataSF, CC)"
Olea europaea,Fruitless Olive,Oleaceae,Tree (evergreen),Exotic,,Spring; Summer,,Cover;Nesting,Birds,Moderate,Clay;Loam;Sand,,"SF Plant Finder (DataSF, CC)"
Passiflora caerulea,Passion Vine,Passifloraceae,Vine,Exotic,White;Purple,Spring;summer,,Pollinator;Cover;Nesting,Butterflies,None,Sand;Loam,,"SF Plant Finder (DataSF, CC)"
Philadelphus lewisii,Native mock orange,Hydrangeaceae,Shrub (deciduous),CA Native,White,Spring;Summer,,Cover;Pollinator,Bees;Birds;Butterflies,Low,Clay;Loam,Woodland,"SF Plant Finder (DataSF, CC)"
Philotheca verrucosa 'Starbright',Fairy Wax Flower,Rutaceae,Shrub (evergreen),Exotic,Pink,Spring;Winter,,,,None,Clay;Loam;Sand;Rock,,"SF Plant Finder (DataSF, CC)"
Phlomis fruticosa,Jerusalem Sage,Lamiaceae,Shrub (evergreen),Exotic,Yellow,Spring;Summer,,,,Low,,,"SF Plant Finder (DataSF, CC)"
Phlomis lanata,Small Jerusalem Sage,Lamiaceae,Shrub (evergreen),Exotic,Yellow,Spring;Summer;Fall;Winter,,,,None,Clay;Sand;Loam,,"SF Plant Finder (DataSF, CC)"
Physocarpus capitatus,Pacific ninebark,Rosaceae,Shrub (deciduous),CA Native,White,Spring;Summer,,Cover,Birds,Low,Clay;Loam,Riparian;Woodland,"SF Plant Finder (DataSF, CC)"
Pinus contorta var. contorta,Shore Pine,Pinaceae,Tree (evergreen),CA Native,Brown,Spring,,,Bees;Butterflies,Moderate,Loam,Riparian,"SF Plant Finder (DataSF, CC)"
