scientific_name,family,genus,growth_habit,conservation_status,catalog_source
Breonia perrieri,Rubiaceae,Breonia,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Breviea sericea,Sapotaceae,Breviea,Tree,Near Threatened,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Brexia madagascariensis,Celastraceae,Brexia,Tree,Vulnerable,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Breynia cernua,Phyllanthaceae,Breynia,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Breynia collaris,Phyllanthaceae,Breynia,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Breynia discigera,Phyllanthaceae,Breynia,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Breynia disticha,Phyllanthaceae,Breynia,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Breynia fruticosa,Phyllanthaceae,Breynia,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Breynia racemosa,Phyllanthaceae,Breynia,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Breynia retusa,Phyllanthaceae,Breynia,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Breynia rostrata,Phyllanthaceae,Breynia,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Breynia septata,Phyllanthaceae,Breynia,Tree,Endangered,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Breynia vestita,Phyllanthaceae,Breynia,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Breynia vitis-idaea,Phyllanthaceae,Breynia,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Bridelia atroviridis,Phyllanthaceae,Bridelia,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Bridelia brideliifolia,Phyllanthaceae,Bridelia,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Bridelia cathartica,Phyllanthaceae,Bridelia,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Bridelia curtisii,Phyllanthaceae,Bridelia,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Bridelia ferruginea,Phyllanthaceae,Bridelia,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Bridelia glauca,Phyllanthaceae,Bridelia,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Bridelia grandis,Phyllanthaceae,Bridelia,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Bridelia insulana,Phyllanthaceae,Bridelia,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Bridelia macrocarpa,Phyllanthaceae,Bridelia,Tree,Near Threatened,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Bridelia micrantha,Phyllanthaceae,Bridelia,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Bridelia mollis,Phyllanthaceae,Bridelia,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Bridelia montana,Phyllanthaceae,Bridelia,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Bridelia moonii,Phyllanthaceae,Bridelia,Tree,Vulnerable,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Bridelia ndellensis,Phyllanthaceae,Bridelia,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Bridelia ovata,Phyllanthaceae,Bridelia,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Bridelia pervilleana,Phyllanthaceae,Bridelia,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Bridelia pustulata,Phyllanthaceae,Bridelia,Tree,Near Threatened,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Bridelia retusa,Phyllanthaceae,Bridelia,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Bridelia scleroneura,Phyllanthaceae,Bridelia,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Bridelia stipularis,Phyllanthaceae,Bridelia,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Bridelia taitensis,Phyllanthaceae,Bridelia,Tree,Vulnerable,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Bridelia tomentosa,Phyllanthaceae,Bridelia,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Brongniartia alamosana,Fabaceae,Brongniartia,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Brosimum acutifolium,Moraceae,Brosimum,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Brosimum alicastrum,Moraceae,Brosimum,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Brosimum gaudichaudii,Moraceae,Brosimum,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Brosimum glaziovii,Moraceae,Brosimum,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Brosimum guianense,Moraceae,Brosimum,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Brosimum lactescens,Moraceae,Brosimum,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Brosimum parinarioides,Moraceae,Brosimum,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Brosimum potabile,Moraceae,Brosimum,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Brosimum rubescens,Moraceae,Brosimum,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Brosimum utile,Moraceae,Brosimum,Tree,Endangered,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Broussonetia papyrifera,Moraceae,Broussonetia,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Brownea coccinea,Fabaceae,Brownea,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Brownea grandiceps,Fabaceae,Brownea,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Brownea macrophylla,Fabaceae,Brownea,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Browneopsis excelsa,Fabaceae,Browneopsis,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Browningia candelaris,Cactaceae,Browningia,Tree,Data Deficient,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Browningia hertlingiana,Cactaceae,Browningia,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Brownlowia argentata,Malvaceae,Brownlowia,Tree,Data Deficient,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Brownlowia elata,Malvaceae,Brownlowia,Tree,Vulnerable,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Brownlowia peltata,Malvaceae,Brownlowia,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Brownlowia tabularis,Malvaceae,Brownlowia,Tree,Vulnerable,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Brownlowia tersa,Malvaceae,Brownlowia,Tree,Near Threatened,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Brucea antidysenterica,Simaroubaceae,Brucea,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Brucea guineensis,Simaroubaceae,Brucea,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Brucea javanica,Simaroubaceae,Brucea,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Brugmansia arborea,Solanaceae,Brugmansia,Tree,Extinct in the Wild,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Brugmansia aurea,Solanaceae,Brugmansia,Tree,Extinct in the Wild,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Brugmansia insignis,Solanaceae,Brugmansia,Tree,Extinct in the Wild,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Brugmansia sanguinea,Solanaceae,Brugmansia,Tree,Extinct in the Wild,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Brugmansia suaveolens,Solanaceae,Brugmansia,Tree,Extinct in the Wild,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Brugmansia versicolor,Solanaceae,Brugmansia,Tree,Extinct in the Wild,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Bruguiera cylindrica,Rhizophoraceae,Bruguiera,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Bruguiera exaristata,Rhizophoraceae,Bruguiera,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Bruguiera gymnorhiza,Rhizophoraceae,Bruguiera,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Bruguiera parviflora,Rhizophoraceae,Bruguiera,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Bruguiera sexangula,Rhizophoraceae,Bruguiera,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Bruinsmia styracoides,Styracaceae,Bruinsmia,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Brunellia comocladiifolia,Brunelliaceae,Brunellia,Tree,Endangered,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Brunellia propinqua,Brunelliaceae,Brunellia,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Brunellia sibundoya,Brunelliaceae,Brunellia,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Brunellia stuebelii,Brunelliaceae,Brunellia,Tree,Endangered,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Brunfelsia australis,Solanaceae,Brunfelsia,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Brunfelsia clandestina,Solanaceae,Brunfelsia,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Brunfelsia densifolia,Solanaceae,Brunfelsia,Tree,Critically Endangered,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Brunfelsia grandiflora,Solanaceae,Brunfelsia,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Brunfelsia lactea,Solanaceae,Brunfelsia,Tree,Endangered,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Brunfelsia nitida,Solanaceae,Brunfelsia,,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Brunfelsia pauciflora,Solanaceae,Brunfelsia,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Brunfelsia portoricensis,Solanaceae,Brunfelsia,Tree,Endangered,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Brunfelsia uniflora,Solanaceae,Brunfelsia,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Brya ebenus,Fabaceae,Brya,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Buchanania amboinensis,Anacardiaceae,Buchanania,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Buchanania arborescens,Anacardiaceae,Buchanania,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Buchanania axillaris,Anacardiaceae,Buchanania,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Buchanania engleriana,Anacardiaceae,Buchanania,Tree,Data Deficient,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Buchanania insignis,Anacardiaceae,Buchanania,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Buchanania lancifolia,Anacardiaceae,Buchanania,Tree,Data Deficient,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Buchanania macrocarpa,Anacardiaceae,Buchanania,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Buchanania microphylla,Anacardiaceae,Buchanania,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Buchanania obovata,Anacardiaceae,Buchanania,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Buchanania palawensis,Anacardiaceae,Buchanania,Tree,Vulnerable,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Buchanania vitiensis,Anacardiaceae,Buchanania,Tree,Vulnerable,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Buchholzia coriacea,Capparaceae,Buchholzia,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Buddleja alternifolia,Scrophulariaceae,Buddleja,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Buddleja americana,Scrophulariaceae,Buddleja,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Buddleja asiatica,Scrophulariaceae,Buddleja,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Buddleja auriculata,Scrophulariaceae,Buddleja,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Buddleja cordata,Scrophulariaceae,Buddleja,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Buddleja coriacea,Scrophulariaceae,Buddleja,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Buddleja incana,Scrophulariaceae,Buddleja,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Buddleja madagascariensis,Scrophulariaceae,Buddleja,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Buddleja officinalis,Scrophulariaceae,Buddleja,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Buddleja parviflora,Scrophulariaceae,Buddleja,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Buddleja saligna,Scrophulariaceae,Buddleja,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Buddleja salviifolia,Scrophulariaceae,Buddleja,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Buddleja sessiliflora,Scrophulariaceae,Buddleja,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Buddleja skutchii,Scrophulariaceae,Buddleja,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Bunchosia argentea,Malpighiaceae,Bunchosia,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Bunchosia armeniaca,Malpighiaceae,Bunchosia,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Bunchosia biocellata,Malpighiaceae,Bunchosia,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Bunchosia glandulifera,Malpighiaceae,Bunchosia,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Bunchosia glandulosa,Malpighiaceae,Bunchosia,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Bunchosia nitida,Malpighiaceae,Bunchosia,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Bunchosia odorata,Malpighiaceae,Bunchosia,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Bunchosia palmeri,Malpighiaceae,Bunchosia,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Bunchosia swartziana,Malpighiaceae,Bunchosia,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Burasaia australis,Menispermaceae,Burasaia,Tree,Vulnerable,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Burasaia gracilis,Menispermaceae,Burasaia,Tree,Vulnerable,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Burasaia madagascariensis,Menispermaceae,Burasaia,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Burchellia bubalina,Rubiaceae,Burchellia,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Burckella erythrophylla,Sapotaceae,Burckella,Tree,Endangered,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Burckella macropoda,Sapotaceae,Burckella,Tree,Near Threatened,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Burckella obovata,Sapotaceae,Burckella,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Burckella polymera,Sapotaceae,Burckella,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Burckella poolei,Sapotaceae,Burckella,Tree,Data Deficient,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Burkea africana,Fabaceae,Burkea,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Burretiodendron tonkinense,Malvaceae,Burretiodendron,Tree,Near Threatened,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Bursaria spinosa,Pittosporaceae,Bursaria,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Bursera aptera,Burseraceae,Bursera,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Bursera arida,Burseraceae,Bursera,Tree,Vulnerable,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Bursera ariensis,Burseraceae,Bursera,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Bursera bipinnata,Burseraceae,Bursera,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Bursera copallifera,Burseraceae,Bursera,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Bursera excelsa,Burseraceae,Bursera,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Bursera fagaroides,Burseraceae,Bursera,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Bursera filicifolia,Burseraceae,Bursera,Tree,Vulnerable,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Bursera fragrantissima,Burseraceae,Bursera,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Bursera frenningiae,Burseraceae,Bursera,Tree,Vulnerable,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Bursera glabrifolia,Burseraceae,Bursera,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Bursera graveolens,Burseraceae,Bursera,Tree,Vulnerable,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Bursera hindsiana,Burseraceae,Bursera,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Bursera lancifolia,Burseraceae,Bursera,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Bursera laxiflora,Burseraceae,Bursera,Tree,Near Threatened,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Bursera linanoe,Burseraceae,Bursera,Tree,Vulnerable,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Bursera longipes,Burseraceae,Bursera,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Bursera microphylla,Burseraceae,Bursera,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Bursera morelensis,Burseraceae,Bursera,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Bursera multijuga,Burseraceae,Bursera,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Bursera penicillata,Burseraceae,Bursera,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Bursera simaruba,Burseraceae,Bursera,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Bursera tecomaca,Burseraceae,Bursera,Tree,Endangered,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Bursera tomentosa,Burseraceae,Bursera,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Burttia prunoides,Connaraceae,Burttia,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Bussea massaiensis,Fabaceae,Bussea,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Bussea occidentalis,Fabaceae,Bussea,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Bussea sakalava,Fabaceae,Bussea,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Butea monosperma lutea,Fabaceae,Butea,Tree,Data Deficient,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Butia eriospatha,Arecaceae,Butia,Tree,Endangered,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Butia paraguayensis,Arecaceae,Butia,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Butia yatay,Arecaceae,Butia,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Buxus hildebrandtii,Buxaceae,Buxus,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Buxus macowanii,Buxaceae,Buxus,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Buxus microphylla,Buxaceae,Buxus,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Buxus natalensis,Buxaceae,Buxus,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Buxus obtusifolia,Buxaceae,Buxus,Tree,Vulnerable,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Buxus portoricensis,Buxaceae,Buxus,Tree,Vulnerable,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Buxus rolfei,Buxaceae,Buxus,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Buxus sempervirens,Buxaceae,Buxus,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Buxus sinica,Buxaceae,Buxus,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Buxus vahlii,Buxaceae,Buxus,Tree,Endangered,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Byrsonima aerugo,Malpighiaceae,Byrsonima,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Byrsonima coccolobifolia,Malpighiaceae,Byrsonima,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Byrsonima crassifolia,Malpighiaceae,Byrsonima,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Byrsonima densa,Malpighiaceae,Byrsonima,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Byrsonima gardneriana,Malpighiaceae,Byrsonima,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Byrsonima incarnata,Malpighiaceae,Byrsonima,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Byrsonima lucida,Malpighiaceae,Byrsonima,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Byrsonima sericea,Malpighiaceae,Byrsonima,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Byrsonima spicata,Malpighiaceae,Byrsonima,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Byrsonima verbascifolia,Malpighiaceae,Byrsonima,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Byrsonima wadsworthii,Malpighiaceae,Byrsonima,Tree,Vulnerable,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Cabralea canjerana,Meliaceae,Cabralea,Tree,Near Threatened,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Cadaba aphylla,Capparaceae,Cadaba,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Cadaba farinosa,Capparaceae,Cadaba,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Cadaba glandulosa,Capparaceae,Cadaba,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Cadaba longifolia,Capparaceae,Cadaba,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Cadaba natalensis,Capparaceae,Cadaba,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Cadia ellisiana,Fabaceae,Cadia,Tree,Near Threatened,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Caesalpinia cassioides,Fabaceae,Caesalpinia,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Caesalpinia monensis,Fabaceae,Caesalpinia,Tree,Critically Endangered,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Caesalpinia pulcherrima,Fabaceae,Caesalpinia,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Cajanus scarabaeoides,Fabaceae,Cajanus,,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Cakile lanceolata,Brassicaceae,Cakile,,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Calamus caesius,Arecaceae,Calamus,,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Calamus egregius,Arecaceae,Calamus,,Vulnerable,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Calamus inermis,Arecaceae,Calamus,,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Calatola mollis,Metteniusaceae,Calatola,Tree,Critically Endangered,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Caldcluvia paniculata,Cunoniaceae,Caldcluvia,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Callaeum macropterum,Malpighiaceae,Callaeum,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Calliandra angustifolia,Fabaceae,Calliandra,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
