scientific_name,family,genus,growth_habit,conservation_status,catalog_source
Abutilon herzogianum,Malvaceae,Abutilon,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Abutilon incanum,Malvaceae,Abutilon,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Abutilon menziesii,Malvaceae,Abutilon,,Critically Endangered,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Abutilon permolle,Malvaceae,Abutilon,,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Abutilon sandwicense,Malvaceae,Abutilon,,Critically Endangered,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Acacia acuminata,Fabaceae,Acacia,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Acacia adsurgens,Fabaceae,Acacia,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Acacia ampliceps,Fabaceae,Acacia,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Acacia ancistrocarpa,Fabaceae,Acacia,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Acacia aneura,Fabaceae,Acacia,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Acacia argyrodendron,Fabaceae,Acacia,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Acacia aulacocarpa,Fabaceae,Acacia,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Acacia auriculiformis,Fabaceae,Acacia,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Acacia beauverdiana,Fabaceae,Acacia,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Acacia binervata,Fabaceae,Acacia,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Acacia binervia,Fabaceae,Acacia,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Acacia brachystachya,Fabaceae,Acacia,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Acacia burrowii,Fabaceae,Acacia,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Acacia calcicola,Fabaceae,Acacia,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Acacia cambagei,Fabaceae,Acacia,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Acacia cana,Fabaceae,Acacia,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Acacia celsa,Fabaceae,Acacia,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Acacia cincinnata,Fabaceae,Acacia,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Acacia cognata,Fabaceae,Acacia,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Acacia colei,Fabaceae,Acacia,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Acacia colletioides,Fabaceae,Acacia,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Acacia concurrens,Fabaceae,Acacia,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Acacia confusa,Fabaceae,Acacia,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Acacia cowleana,Fabaceae,Acacia,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Acacia crassicarpa,Fabaceae,Acacia,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Acacia cuthbertsonii,Fabaceae,Acacia,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Acacia cyclops,Fabaceae,Acacia,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Acacia cyperophylla,Fabaceae,Acacia,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Acacia dealbata,Fabaceae,Acacia,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Acacia difficilis,Fabaceae,Acacia,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Acacia disparrima,Fabaceae,Acacia,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Acacia doratoxylon,Fabaceae,Acacia,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Acacia eriopoda,Fabaceae,Acacia,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Acacia estrophiolata,Fabaceae,Acacia,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Acacia excelsa,Fabaceae,Acacia,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Acacia falcata,Fabaceae,Acacia,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Acacia falciformis,Fabaceae,Acacia,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Acacia fasciculifera,Fabaceae,Acacia,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Acacia harpophylla,Fabaceae,Acacia,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Acacia hirta,Fabaceae,Acacia,,Data Deficient,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Acacia implexa,Fabaceae,Acacia,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Acacia kempeana,Fabaceae,Acacia,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Acacia koa,Fabaceae,Acacia,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Acacia koaia,Fabaceae,Acacia,Tree,Vulnerable,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Acacia latifolia,Fabaceae,Acacia,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Acacia leptocarpa,Fabaceae,Acacia,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Acacia leptopetala,Fabaceae,Acacia,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Acacia ligulata,Fabaceae,Acacia,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Acacia loderi,Fabaceae,Acacia,Tree,Near Threatened,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Acacia longifolia,Fabaceae,Acacia,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Acacia longissima,Fabaceae,Acacia,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Acacia mangium,Fabaceae,Acacia,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Acacia microbotrya,Fabaceae,Acacia,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
Acacia midgleyi,Fabaceae,Acacia,Tree,Least Concern,IUCN Red List via GBIF; tree habit from BGCI GlobalTreeSearch
