scientific_name,common_name,family,genus,usda_hardiness_zone,rhs_hardiness_rating,height_mature_ft,native_status,habitat,taxonomic_note,conservation_status,tso_url,catalog_source
Abelia 'Maurice Foster',,Caprifoliaceae,Abelia,6b,H5,6.6,China,Mountain forests,,,https://www.treesandshrubsonline.org/articles/abelia/abelia-maurice-foster/,Trees and Shrubs Online (IDS)
Abelia chinensis,Chinese Abelia,Caprifoliaceae,Abelia,7,H5,6.6,"China, Japan, Taiwan",Mountain forests to 1500 m asl.,,Least concern (LC),https://www.treesandshrubsonline.org/articles/abelia/abelia-chinensis/,Trees and Shrubs Online (IDS)
Abelia schumannii,,Caprifoliaceae,Abelia,7,H5,4.9,China,Mountain forests in deep valleys.,,Least concern (LC),https://www.treesandshrubsonline.org/articles/abelia/abelia-schumannii/,Trees and Shrubs Online (IDS)
Abelia uniflora,,Caprifoliaceae,Abelia,6,H5,4.9,China,Mountain forests,,Least concern (LC),https://www.treesandshrubsonline.org/articles/abelia/abelia-uniflora/,Trees and Shrubs Online (IDS)
Abelia × grandiflora,Common Abelia,Caprifoliaceae,Abelia,5b,H6,6.6,,"Garden origin, with possible hybrid forms occurring naturally in southern China",,,https://www.treesandshrubsonline.org/articles/abelia/abelia-x-grandiflora/,Trees and Shrubs Online (IDS)
Abeliophyllum distichum,미선나무 (miseonnamu),Oleaceae,Abeliophyllum,4-8,H5,4.9,"North Korea, South Korea","Understorey of open deciduous or mixed montane woodland, with canopy trees including Pinus densiflora , Quercus myrsinifolia and Q. acutissima.",,Endangered (EN),https://www.treesandshrubsonline.org/articles/abeliophyllum/abeliophyllum-distichum/,Trees and Shrubs Online (IDS)
Abies alba,Silver Fir,Pinaceae,Abies,4-7,H7,196.9,"Albania, Andorra, Austria, Bosnia and Herzegovina, Bulgaria, Croatia, Czechia, France, Germany, Greece, Hungary, Italy, Kosovo, Liechtenstein, North Macedonia, Montenegro, Poland, Romania, Serbia, Slovenia, Spain, Switzerland, Ukraine","On well-drained soils from 300 (in Bavaria) to 2000 (in the Pyrenees and Apennines) m asl, though most common at 500–1500 m asl. Forming mixed forests primarily with Fagus sylvatica at lower elevations, becoming the first conifer to compete significantly with that species when F. sylvatica becomes less vigorous with altitiude. Co-dominant with Picea abies in coniferous forests of higher elevations",,Least concern (LC),https://www.treesandshrubsonline.org/articles/abies/abies-alba/,Trees and Shrubs Online (IDS)
Abies amabilis,Pacific Silver Fir,Pinaceae,Abies,5-8,H6,105.0,"Canada, United States","In temperate rainforest with cool, humid summers, usually in mountains but from sea level to c . 350 m asl in SE Alaska, to 1500 m in British Columbia, and higher still on the western slopes of the Cascades. It has a broad range of associates but among the most common are Picea sitchensis, Pseudotsuga menziesii, Thuja plicata , and Tsuga heterophylla .",,Least concern (LC),https://www.treesandshrubsonline.org/articles/abies/abies-amabilis/,Trees and Shrubs Online (IDS)
Abies balsamea,Balsam Fir,Pinaceae,Abies,2-5,H7,124.7,"Canada, United States","Over a vast range it occurs in a suite of habitat types, from lowland plains to mountains, and in coastal areas, 0–1200 m asl, most common on acidic, silty or sandy podzol soils. Near the cost the climate is cool-maritime, and inland cold-continental, characterised by very cold winters.","For some time this variety was thought to be a hybrid between A. balsamea and A. fraseri , and while it is possible that some hybrid forms do occur where the two species meet in the Southern Appalachians, this has not been proven. Furthermore trees matching var. phanerolepis have been found to occur in natural populations of A. balsamea well to the north of the northern limits of A. fraseri . ( Fa",Least concern (LC),https://www.treesandshrubsonline.org/articles/abies/abies-balsamea/,Trees and Shrubs Online (IDS)
Abies beshanzuensis,Baishan Fir,Pinaceae,Abies,8,H4,,China,"Secondary angiosperm forest at 1500–1700 m asl. The warm-temperate climate has some degree of maritime influence and experiences humid summers and cool, moist winters.",,Critically endangered (CR),https://www.treesandshrubsonline.org/articles/abies/abies-beshanzuensis/,Trees and Shrubs Online (IDS)
Abies borisii-regis,King Boris Fir,Pinaceae,Abies,5-7,H7,,"Albania, Bulgaria, Greece, North Macedonia","A mid-elevation species found at 700–1500 m asl, usually in the company of Picea abies, but occasionally in pure stands and locally with other associates including Pinus heldreichii, Pinus peuce and Pinus sylvestris. At lower elevations it occurs in mixed forests with Fagus .","Farjon ( 1990 ) treated the King Boris Fir as a true species and this position was followed by Grimshaw & Bayton (2009) in New Trees . By 2017, with its hybrid origin proved beyond reasonable doubt, Farjon had determined that it ‘seems appropriate to recognize this taxon as of hybrid origin in the way we write its name’ and he adopted the nothospecies rendering A. × borisii-regis ( Farjon 2017 ), ",Not evaluated (NE),https://www.treesandshrubsonline.org/articles/abies/abies-borisii-regis/,Trees and Shrubs Online (IDS)
Abies bracteata,Santa Lucia Fir,Pinaceae,Abies,7,H6,,United States,"In canyon bottoms and on rocky slopes, (180–)600–1570 m asl, in rocky, clay- or loam-rich soils, often in proximity to ground water or intermittent streams. Most precipitation falls in the winter months. Associating variously with Arbutus menziesii, Calocedrus decurrens, Pinus coulteri, P. lambertiana, P. ponderosa, Pseudotsuga menziesii, Quercus spp., Lithocarpus densiflorus ; rarely in pure stan",,Near threatened (NT),https://www.treesandshrubsonline.org/articles/abies/abies-bracteata/,Trees and Shrubs Online (IDS)
Abies cephalonica,Greek Fir,Pinaceae,Abies,5-7,H6,,Greece,"In high mountains, (600–)800–2000(–2100) m asl usually on rocky, well drained, calcareous soils, associating with Fagus orientalis and Quercus spp. at lower elevations, usually forming pure forests or associating with Juniperus oxycedrus at higher elevations.","There is evidence of ‘past and perhaps present’ introgression of Abies alba into A. cephalonica populations in the northern part of the latter’s range, and there ‘appears to be a north-south cline of character states’ with pure A. cephalonica restricted to southern populations in Cephalonia, Euboea and the southernmost Peloponnese ( Farjon 2017 ). These two species have, in the past, given rise to",Least concern (LC),https://www.treesandshrubsonline.org/articles/abies/abies-cephalonica/,Trees and Shrubs Online (IDS)
Abies chensiensis,Qinling Lengshan,Pinaceae,Abies,6,H5,,China,"Temperate forests, 2300–3000 m asl. Commonly on steep rocky slopes and in river gorges, often nearly to the riversides, with a diverse range of broad-leaf associates including Quercus aliena and Betula albosinensis . At higher elevations it occurs with then gives way to forms of A. fargesii .","Abies chensiensis belongs to a group of closely related species distributed in western China. Its near allies are treated here as A. ernestii , A. salouenensis , and A. recurvata . See ‘ Abies chensiensis and its relatives ’ for further discussion as to their relationships.",Least concern (LC),https://www.treesandshrubsonline.org/articles/abies/abies-chensiensis/,Trees and Shrubs Online (IDS)
Abies cilicica,Cilician Fir,Pinaceae,Abies,5,H6,44.3,"Lebanon, Syria, Türkiye","In the high mountains around the northeast Mediterranean basin at 1000–2100 m asl, often in rocky, well drained, calcareous soils. The climate is characterised by hot, dry summers and mild, moist winters. Annual precipitation is typically 1000–1500 mm, mostly falling in winter. It usually occurs in mixed forests, most often with Cedrus libani , but other associates can include Acer spp., Carpinus ","The differences between this subspecies and subsp. cilicica have been described as ‘minor and probably variable’ ( Farjon 2017 ) and some authorities do not consider that subsp. isaurica merits distinction. Liu suggested that it ‘may be an ecotype’ ( Liu 1971 ) and this is probably the best way to think of it. It is generally recognised, however, based on the minor differences that do exist, taken",Near threatened (NT),https://www.treesandshrubsonline.org/articles/abies/abies-cilicica/,Trees and Shrubs Online (IDS)
Abies colimensis,Colima Fir,Pinaceae,Abies,7-8,H5,,Mexico,"North and northeast facing mountain slopes at 2350–3150 m asl. At its lower altitudinal limit it occurs with Abies flinckii, Arbutus xalapensis, Pinus pseudostrobus , and species of Quercus and Ceanothus . Toward its upper altitudinal limit it begins to associate with Pinus hartwegii , together with Penstemon, Ribes, Salix, and Prunus species.",,Not evaluated (NE),https://www.treesandshrubsonline.org/articles/abies/abies-colimensis/,Trees and Shrubs Online (IDS)
Abies concolor,Colorado Fir,Pinaceae,Abies,"3-7 As discussed above, Abies concolor is generally considered to represent one end of a cline which, at its other end, is expressed as A. grandis , and the name A. concolor var. lowiana has been applied to material that seemingly covers intermediate forms in southern Oregon, California, and extreme north west Mexico. Abies concolor var. concolor (hereafter simply A. concolor ) has a discreet distribution, primarily in the Great Basin, from north east Nevada and south east Idaho south into extreme south east California, and in the Rocky Mountains as far south as Mexico’s Sonora State. The climate is montane-continental, characterised by warm, dry summers and cold winters, with much precipitation falling as snow ( Debreczy & Rácz 2011 ). As such, A. concolor has never been a runaway success in oceanic climates, but it excels in a continental regime, and where it thrives it is a truly beautiful conifer. Several American authors have extolled its virtues, including Slavin (1932) , Jacobson (1996) , and Dirr (2011) , who have all noted it is one of the best firs for general landscape use in large swathes of the north east and midwestern states, combining remarkable adaptibility with its beauty. It is similarly successful in continental Europe, including southern Scandinavia, and there are numerous examples in European arboreta such as the following examples listed on monumentaltrees.com: a street-tree in Kurpark, Bad Orb, Germany (36 × 3.12 m in 2013); the Botanic Garden of the Schlosspark Sanssouci, Potsdam, Germany (30 × 2.43 m in 2018); the Pinetum de Dennenhorst, Lunteren, the Netherlands (29 × 2.42 m dbh in 2019); the Arboretum Mlynany, Vieska and Zitavou, Slovakia (26.7 × 2.61 m in 2013); the Arboretum der Stadt Linz, Froschberg, Austria (18 × 2.2 m in 2016) ( monumentaltrees.com ). The five examples listed above all have images attached to their records on monumentaltrees.com that appear to confirm their identity as A. concolor which, generally speaking, can be distinguished as a mature tree by its more evenly glaucous foliage – the epithet concolor refers to the leaves similarly coloured on both surfaces – but caution should be exercised when consulting lists that do not distinguish between the two varieties. For example, two remarkable trees listed on monumentaltrees.com from Jönköping, Sweden, of 43 × 5.65 m and 40.5 × 5.24 m, are almost certainly attributable to var. lowiana but not listed such, and while large trees of A. concolor are rare in the UK and Ireland, they are not unheard of. Liu noted several useful characters, including the leaves somewhat keeled above, and the bark of old trees ‘[thickened and breaking] into deep longitudinal furrows, corky, hard and horny’ ( Liu 1971 ). Nevertheless there have been problems with identification in the past, and some of these persist to the present day. Alan Mitchell suggested that A. concolor rarely does well in south east England, that it is better in the south west, but potentially outstanding in areas such as Northumberland, Argyll and Perthshire, from where he cites several trees exceeding 38 m height ( Mitchell 1972 ). However, based on our evolved understanding of the two taxa, it seems reasonable now to suggest that these very large trees are probably referable to var. lowiana . Other trees listed by Mitchell ( 1972 ) include trees of c . 20–25 m in the Scottish Highlands – this sort of size range is much more in keeping with what we have come to expect of A. concolor in the UK – and we might qualify Mitchell’s comments on this taxon further by suggesting that rather than being poor in the south east, it demonstrates considerable variation in size and vigour based both on provenance and on the local environmental conditions in which it is planted. Abies concolor var. concolor foliage. Spring Mountains, Nevada, November 2009. Image Jeff Bisbee. "" data-alt=""Abies concolor var. concolor""> Abies concolor var. concolor foliage. Spring Mountains, Nevada, November 2009. Image Jeff Bisbee. Abies concolor var. concolor in the Spring Mountains, Nevada, November 2009. Image Jeff Bisbee. "" data-alt=""Abies concolor var. concolor""> Abies concolor var. concolor in the Spring Mountains, Nevada, November 2009. Image Jeff Bisbee. Abies concolor var. concolor in the Spring Mountains, Nevada, November 2009. Image Jeff Bisbee. "" data-alt=""Abies concolor var. concolor""> Abies concolor var. concolor in the Spring Mountains, Nevada, November 2009. Image Jeff Bisbee. Abies concolor var. concolor bole. Spring Mountains, Nevada, December 2005. Image Jeff Bisbee. "" data-alt=""Abies concolor var. concolor""> Abies concolor var. concolor bole. Spring Mountains, Nevada, December 2005. Image Jeff Bisbee. Abies concolor var. concolor seed cone. Spring Mountains, Nevada, December 2005. Image Jeff Bisbee. "" data-alt=""Abies concolor var. concolor""> Abies concolor var. concolor seed cone. Spring Mountains, Nevada, December 2005. Image Jeff Bisbee. Abies concolor var. concolor in Bryce Canyon, Utah. January 2018. Image Jeff Bisbee. "" data-alt=""Abies concolor var. concolor""> Abies concolor var. concolor in Bryce Canyon, Utah. January 2018. Image Jeff Bisbee. var. lowiana (Gord.) Lemm. Common Names Low's Fir Sierra White Fir Pacific White Fir California White Fir Sapin de Low Low Tanne Synonyms Abies lowiana (Gordon) A. Murray Abies concolor subsp. lowiana E. Murray Abies concolor var. baja-california Silba Abies concolor Lowiana Group As a western vicariant of A. concolor distributed in the Southern Cascades, the Coast and Sierra Nevada Ranges, var. lowiana has been characterised by several authors as intermediate between A. concolor (to the south and east) and A. grandis (to the north), and is probably no more than an expression on the cline that exists between the two ( Debreczy & Rácz 2011 ; Rushforth 1987 ). Unsurprisingly it exhibits affinities with both, appearing more grandis -like in the north, and more concolor -like in the south, though cultivated trees are ‘usually quite distinct from both’ ( Mitchell 1972 ). From the description given for var. concolor , var. lowiana differs in several respects, notably: Tree 40–60(–70) m tall, (1–)2–2.5 m dbh. Branchlets orange-yellow, smooth, glabrous or slightly pubescent when young, usually grey and fully glabrous later. Leaves may be either pectinately outspreading in shade branchlets (as in A. grandis ) or rising either side of the shoot to form a ‘V’, always at least somewhat glaucous on both sides (unlike A. grandis ), with two faint stomatal bands beneath and with incomplete central stomatal bands on the upper surface (unlike A. grandis ); more assurgent and usually with stomata evenly distributed on both sides of the needle in upper and fertile branches ( Debreczy & Rácz 2011 ; Hunt 1993 ).","H6 USDA Hardiness Zone: 3-7 As discussed above, Abies concolor is generally considered to represent one end of a cline which, at its other end, is expressed as A. grandis , and the name A. concolor var. lowiana has been applied to material that seemingly covers intermediate forms in southern Oregon, California, and extreme north west Mexico. Abies concolor var. concolor (hereafter simply A. concolor ) has a discreet distribution, primarily in the Great Basin, from north east Nevada and south east Idaho south into extreme south east California, and in the Rocky Mountains as far south as Mexico’s Sonora State. The climate is montane-continental, characterised by warm, dry summers and cold winters, with much precipitation falling as snow ( Debreczy & Rácz 2011 ). As such, A. concolor has never been a runaway success in oceanic climates, but it excels in a continental regime, and where it thrives it is a truly beautiful conifer. Several American authors have extolled its virtues, including Slavin (1932) , Jacobson (1996) , and Dirr (2011) , who have all noted it is one of the best firs for general landscape use in large swathes of the north east and midwestern states, combining remarkable adaptibility with its beauty. It is similarly successful in continental Europe, including southern Scandinavia, and there are numerous examples in European arboreta such as the following examples listed on monumentaltrees.com: a street-tree in Kurpark, Bad Orb, Germany (36 × 3.12 m in 2013); the Botanic Garden of the Schlosspark Sanssouci, Potsdam, Germany (30 × 2.43 m in 2018); the Pinetum de Dennenhorst, Lunteren, the Netherlands (29 × 2.42 m dbh in 2019); the Arboretum Mlynany, Vieska and Zitavou, Slovakia (26.7 × 2.61 m in 2013); the Arboretum der Stadt Linz, Froschberg, Austria (18 × 2.2 m in 2016) ( monumentaltrees.com ). The five examples listed above all have images attached to their records on monumentaltrees.com that appear to confirm their identity as A. concolor which, generally speaking, can be distinguished as a mature tree by its more evenly glaucous foliage – the epithet concolor refers to the leaves similarly coloured on both surfaces – but caution should be exercised when consulting lists that do not distinguish between the two varieties. For example, two remarkable trees listed on monumentaltrees.com from Jönköping, Sweden, of 43 × 5.65 m and 40.5 × 5.24 m, are almost certainly attributable to var. lowiana but not listed such, and while large trees of A. concolor are rare in the UK and Ireland, they are not unheard of. Liu noted several useful characters, including the leaves somewhat keeled above, and the bark of old trees ‘[thickened and breaking] into deep longitudinal furrows, corky, hard and horny’ ( Liu 1971 ). Nevertheless there have been problems with identification in the past, and some of these persist to the present day. Alan Mitchell suggested that A. concolor rarely does well in south east England, that it is better in the south west, but potentially outstanding in areas such as Northumberland, Argyll and Perthshire, from where he cites several trees exceeding 38 m height ( Mitchell 1972 ). However, based on our evolved understanding of the two taxa, it seems reasonable now to suggest that these very large trees are probably referable to var. lowiana . Other trees listed by Mitchell ( 1972 ) include trees of c . 20–25 m in the Scottish Highlands – this sort of size range is much more in keeping with what we have come to expect of A. concolor in the UK – and we might qualify Mitchell’s comments on this taxon further by suggesting that rather than being poor in the south east, it demonstrates considerable variation in size and vigour based both on provenance and on the local environmental conditions in which it is planted. Abies concolor var. concolor foliage. Spring Mountains, Nevada, November 2009. Image Jeff Bisbee. "" data-alt=""Abies concolor var. concolor""> Abies concolor var. concolor foliage. Spring Mountains, Nevada, November 2009. Image Jeff Bisbee. Abies concolor var. concolor in the Spring Mountains, Nevada, November 2009. Image Jeff Bisbee. "" data-alt=""Abies concolor var. concolor""> Abies concolor var. concolor in the Spring Mountains, Nevada, November 2009. Image Jeff Bisbee. Abies concolor var. concolor in the Spring Mountains, Nevada, November 2009. Image Jeff Bisbee. "" data-alt=""Abies concolor var. concolor""> Abies concolor var. concolor in the Spring Mountains, Nevada, November 2009. Image Jeff Bisbee. Abies concolor var. concolor bole. Spring Mountains, Nevada, December 2005. Image Jeff Bisbee. "" data-alt=""Abies concolor var. concolor""> Abies concolor var. concolor bole. Spring Mountains, Nevada, December 2005. Image Jeff Bisbee. Abies concolor var. concolor seed cone. Spring Mountains, Nevada, December 2005. Image Jeff Bisbee. "" data-alt=""Abies concolor var. concolor""> Abies concolor var. concolor seed cone. Spring Mountains, Nevada, December 2005. Image Jeff Bisbee. Abies concolor var. concolor in Bryce Canyon, Utah. January 2018. Image Jeff Bisbee. "" data-alt=""Abies concolor var. concolor""> Abies concolor var. concolor in Bryce Canyon, Utah. January 2018. Image Jeff Bisbee. var. lowiana (Gord.) Lemm. Common Names Low's Fir Sierra White Fir Pacific White Fir California White Fir Sapin de Low Low Tanne Synonyms Abies lowiana (Gordon) A. Murray Abies concolor subsp. lowiana E. Murray Abies concolor var. baja-california Silba Abies concolor Lowiana Group As a western vicariant of A. concolor distributed in the Southern Cascades, the Coast and Sierra Nevada Ranges, var. lowiana has been characterised by several authors as intermediate between A. concolor (to the south and east) and A. grandis (to the north), and is probably no more than an expression on the cline that exists between the two ( Debreczy & Rácz 2011 ; Rushforth 1987 ). Unsurprisingly it exhibits affinities with both, appearing more grandis -like in the north, and more concolor -like in the south, though cultivated trees are ‘usually quite distinct from both’ ( Mitchell 1972 ). From the description given for var. concolor , var. lowiana differs in several respects, notably: Tree 40–60(–70) m tall, (1–)2–2.5 m dbh. Branchlets orange-yellow, smooth, glabrous or slightly pubescent when young, usually grey and fully glabrous later. Leaves may be either pectinately outspreading in shade branchlets (as in A. grandis ) or rising either side of the shoot to form a ‘V’, always at least somewhat glaucous on both sides (unlike A. grandis ), with two faint stomatal bands beneath and with incomplete central stomatal bands on the upper surface (unlike A. grandis ); more assurgent and usually with stomata evenly distributed on both sides of the needle in upper and fertile branches ( Debreczy & Rácz 2011 ; Hunt 1993 ).",,"Mexico, United States",,"Based on examination of herbarium sheets during the 1980s covering ‘much of the range’ of A. concolor s.l. , Farjon concluded that there is ‘no taxonomically sound basis upon which to recognise [var. lowiana ] as a distinct species or as an infraspecific taxon’ ( Farjon 2017 ). Debreczy & Rácz (2011) take a different view, recognising the entity lowiana at species rank. This position is also adopt",,https://www.treesandshrubsonline.org/articles/abies/abies-concolor/,Trees and Shrubs Online (IDS)
Abies delavayi,Delavay Fir,Pinaceae,Abies,7-8,H6,68.9,"Myanmar, China, India","Mountain forests at 2400–4300 m asl, characterised by cool summers and very high precipitation (1000–3000 mm annually). Occasionally in pure stands at altitude but usually mixed with other conifers, including Tsuga spp. at lower elevations, and Picea spp. at higher elevations.",,Least concern (LC),https://www.treesandshrubsonline.org/articles/abies/abies-delavayi/,Trees and Shrubs Online (IDS)
Abies densa,Sikkim Fir,Pinaceae,Abies,7,H5,,"Bhutan, China, India, Nepal",High mountain cloud forest between 2450 and 4000 m asl.,,Least concern (LC),https://www.treesandshrubsonline.org/articles/abies/abies-densa/,Trees and Shrubs Online (IDS)
Abies durangensis,Durango Fir,Pinaceae,Abies,7,H6,,Mexico,"Cool and humid high mountain valleys and steep canyons at 1600–2900(–3400) m asl, locally forming pure stands but also commonly associating with Pinus cooperi, P. durangensis, and P. strobiformis. Broadleaf associates include Quercus castanea, Q. rugosa, and Prunus serotina .","Debreczy, Rácz & Salazar described Abies neodurangensis in 1995, distinguishing it at species rank based on relatively minor differences in cone and foliage morphology, but with a very distinct phenology (seed cones ripening in late spring). It has a very restricted distribution a mere 22 km from the nearest stands of A. durangensis ( Debreczy & Rácz 2011 ). It is probably not in cultivation.",Least concern (LC),https://www.treesandshrubsonline.org/articles/abies/abies-durangensis/,Trees and Shrubs Online (IDS)
Abies ernestii,Western River Fir,Pinaceae,Abies,6,H7,196.9,China,"River valleys and gorges in mountains, 2500–3800 m asl, usually in mixed forests with an extensive range of broadleaf associates. Toward its upper limit it grows with Abies fargesii and Larix potaninii .","Abies ernestii belongs to that group of closely related firs affiliated with A. chensiensis . Their distinctiveness has been amply demonstrated (e.g. Shao et al . 2020 ; Rushforth 1984 ) but they continue to be subject to significant divergencies in taxonomic treatment. Here we have elected to treat them in the simplest possible way, as distinct but closely related species: A. chensiensis , A. ern",,https://www.treesandshrubsonline.org/articles/abies/abies-ernestii/,Trees and Shrubs Online (IDS)
Abies fabri,Faber Fir,Pinaceae,Abies,7-8,H5,,China,"Temperate forest at 1500–4000 m asl, in near-pure stands in the type locality on Mt. Emei, elsewhere associated with Pinus tabuliformis and Tsuga chinensis .","Shao et al . (2020) investigated species delimitation within the A. delavayi complex and found A. fabri to be fall within a broad interpretation of A. delavayi . However, all living material of A. fabri (including subsp. minensis ) studied during research for this revision for Trees and Shrubs Online supports maintaining it as a distinct species. A. fabri s.l. can be amply distinguished from all k",Vulnerable (VU),https://www.treesandshrubsonline.org/articles/abies/abies-fabri/,Trees and Shrubs Online (IDS)
Abies fanjingshanensis,Fan Jing Lengshan,Pinaceae,Abies,5-8,H6,,China,"Restricted to a single locality in cool-temperate montane forest at 2100–2300 m asl. Scattered in mixed forest or co-dominant with Tsuga chinensis and Acer flabellatum. Woody associates include Taxus chinensis, Rhododendron hypoglaucum, and Enkianthus chinensis .",,Endangered (EN),https://www.treesandshrubsonline.org/articles/abies/abies-fanjingshanensis/,Trees and Shrubs Online (IDS)
Abies fansipanensis,Fan Si Pan Fir,Pinaceae,Abies,8,H4,,Vietnam,"Montane sub-tropical forest at 2600–2800(–3000) m asl, where old Abies emerge above a sub-canopy of Acer and Sorbus species, itself above an understorey of Rhododendron spp. and bamboos of the genus Borinda .",,Critically endangered (CR),https://www.treesandshrubsonline.org/articles/abies/abies-fansipanensis/,Trees and Shrubs Online (IDS)
Abies fargesii,Farges Fir,Pinaceae,Abies,6-8,H7,,China,"Mountain forests, 1500–3900 m asl. At lower elevations it may be seen in association with conifers including A. chensiensis, A. ernestii, Picea purpurea, and P. wilsonii . Higher up it occurs with Larix potaninii, Juniperus and Rhododendron spp .",,Least concern (LC),https://www.treesandshrubsonline.org/articles/abies/abies-fargesii/,Trees and Shrubs Online (IDS)
Abies ferreana,Zhongdian Fir,Pinaceae,Abies,6b,H6,65.6,China,"Mixed or coniferous temperate forests, 3300–4000 m asl.","Abies ferreana belongs to a confusing group of firs allied to A. forrestii; their diversity is introduced and contextualised in the article ‘ Abies forrestii and its relatives ’. A variety, var. longibracteata L.K. Fu & Nan Li, has been described based on bracts more prominently exserted with an acuminate (cf. rounded or emarginate) apex ( Fu & Li 1997 ) but in a new approach this is treated as a ",Endangered (EN),https://www.treesandshrubsonline.org/articles/abies/abies-ferreana/,Trees and Shrubs Online (IDS)
Abies firma,Momi Fir,Pinaceae,Abies,6-9,H6,,Japan,"Warm-temperate forests of low to medium elevations, (50–) 300–1000 (–1200) m asl, usually in humid environments such as river valleys. It avoids Honshu's western snowbelt. The climate is characterised by mild winters and hot, humid summers, cooler in the north. It is a component of mixed forests with a broad range of associates across its large range, including Fagus crenata, F. japonica, Castanea",,Least concern (LC),https://www.treesandshrubsonline.org/articles/abies/abies-firma/,Trees and Shrubs Online (IDS)
Abies flinckii,Flinck Fir,Pinaceae,Abies,,,29.5,Mexico,"Warm-temperate or sub-tropical montane forests at 1300–3000 m asl, with many pine species including Pinus devoniana, P. maximinoi, P. pseudostrobus , and, in places, P. lumholtzii . Common broadleaf associates include Tilia americana (""var. mexicana "") and several Quercus species, and more locally Arbutus xalapensis . At its upper altitudinal limit on the Nevado de Colima it associates with the na",,Not evaluated (NE),https://www.treesandshrubsonline.org/articles/abies/abies-flinckii/,Trees and Shrubs Online (IDS)
Abies fordei,Tibetan Silver Fir,Pinaceae,Abies,7-8,H6,16.4,China,"Slopes of river valleys at 2750–4400 m asl, often with Picea linzhiensis, Betula utilis and Salix spp.","Farjon ( 2017 ) treats A. fordei as synonymous with A. densa but its affinities with that species are weak at best. The geographic barrier between their two accepted ranges (the Yarlung Tsangpo / Brahmaputra watershed) is also a considerable obstacle. Silba was more logical in treating it at subspecific rank within A. fabri , but it seems better to regard it as a species in its own right, at least",Not evaluated (NE),https://www.treesandshrubsonline.org/articles/abies/abies-fordei/,Trees and Shrubs Online (IDS)
Abies forrestii,Forrest Fir,Pinaceae,Abies,6b,H7,131.2,China,"Coniferous or mixed forests, 2500–4200 m asl, often with Pinus densata at lower elevations, occurring with Picea likiangensis , Pinus armandii , and Tsuga chinensis at higher elevations. It is replaced at altitude on Yulongxue Shan by A. georgei, and perhaps by other closely related species in other areas.","Farjon continues to recognise three varieties of A. forrestii in addition to the type (var. ferreana , var. georgei , var. smithii ) ( Farjon 1990 ; 2017 ) but we consider it more logical to follow the approach adopted by Flora of China ( Fu, Li & Mill 1999 ) and by Debreczy & Rácz ( 2011 ) in recognising these as A. ferreana and A. georgei , with var. smithii reduced to synonymy with A. georgei .",Least concern (LC),https://www.treesandshrubsonline.org/articles/abies/abies-forrestii/,Trees and Shrubs Online (IDS)
Abies fraseri,Fraser Fir,Pinaceae,Abies,5,H6,,United States,"Sub-populations are restricted to the Southern Appalachians at 1200–2150 m asl, the best stands usually on north facing slopes. The climate is characterised by cool, humid summers and cold winters with heavy snowfall. Occurring as pure stands at the highest points, but usually with Picea rubens, Betula papyrifera and Rhododendron catawbiense . Lower-elevation associates include Tsuga caroliniana, ",,Endangered (EN),https://www.treesandshrubsonline.org/articles/abies/abies-fraseri/,Trees and Shrubs Online (IDS)
Abies gamblei,,Pinaceae,Abies,5-7,H7,,India,"Sub-alpine coniferous forests above c . 3000 m asl (in India, but perhaps at lower elevations in drier valleys further west)",,Not evaluated (NE),https://www.treesandshrubsonline.org/articles/abies/abies-gamblei/,Trees and Shrubs Online (IDS)
Abies georgei,chang bao leng shan,Pinaceae,Abies,6b,H6,131.2,China,"Mixed forests in mountains, 2500–4200 m asl.",Abies georgei is one of several firs in southwest China affiliated with A. forrestii ; an overview of this group is given in the article ‘ Abies forrestii and its relatives ’.,Least concern (LC),https://www.treesandshrubsonline.org/articles/abies/abies-georgei/,Trees and Shrubs Online (IDS)
Abies gracilis,,Pinaceae,Abies,2,H7,,Russia,"Restricted to a remarkably isolated population of c . 30,000 trees in coastal lowlands.",,Data deficient (DD),https://www.treesandshrubsonline.org/articles/abies/abies-gracilis/,Trees and Shrubs Online (IDS)
Abies grandis,Grand Fir,Pinaceae,Abies,6-7,H7,177.2,"Canada, United States","Temperate rainforest from sea-level to c . 1800 m asl. In lowlands near the coast it associates with other large-growing conifers including Abies amabilis, A. procera, Picea sitchensis, Pseudotsuga menziesii, Thuja plicata and Tsuga heterophylla .",,Least concern (LC),https://www.treesandshrubsonline.org/articles/abies/abies-grandis/,Trees and Shrubs Online (IDS)
