scientific_name,common_name,family,genus,usda_hardiness_zone,rhs_hardiness_rating,height_mature_ft,native_status,habitat,taxonomic_note,conservation_status,tso_url,catalog_source
Acer pilosum,Soft-haired Maple,Sapindaceae,Acer,5,H7,16.4,China,Forests between 1000 and 2000 m asl.,,Data deficient (DD),https://www.treesandshrubsonline.org/articles/acer/acer-pilosum/,Trees and Shrubs Online (IDS)
Acer pinnatinervium,,Sapindaceae,Acer,9–10. Conservation status Not evaluated. Illustration NT88.,,32.8,"CHINA: southwest Xizang, Yunnan; INDIA; THAILAND. Habitat Mixed forest between 500 and 2400 m asl. USDA Hardiness Zone 9–10. Conservation status Not evaluated. Illustration NT88.",Mixed forest between 500 and 2400 m asl. USDA Hardiness Zone 9–10. Conservation status Not evaluated. Illustration NT88.,,Not evaluated. Illustration NT88.,https://www.treesandshrubsonline.org/articles/acer/acer-pinnatinervium/,Trees and Shrubs Online (IDS)
Acer platanoides × amplum,Norway Maple,Sapindaceae,Acer,7-8,H5,13.1,"introduced to cultivation in 2013, ‘Ample Surprise’ has red new growth which later turns a bronze green, before turning scarlet and orange in autumn ( Pieroni Dante 2019; Bluebell Arboretum 2020 ) .",In cultivation only.,,Not evaluated (NE),https://www.treesandshrubsonline.org/articles/acer/acer-platanoides-x-amplum/,Trees and Shrubs Online (IDS)
Acer pseudoplatanus,Sycamore,Sapindaceae,Acer,3-4,H7,114.8,"Albania, Andorra, Austria, Azerbaijan, Bosnia and Herzegovina, Bulgaria, Croatia, Czechia, France, Georgia, Germany, Greece, Hungary, Italy, Liechtenstein, Luxembourg, North Macedonia, Moldova, Montenegro, Poland, Portugal, Romania, Russia, Serbia, Slovakia, Slovenia, Spain, Switzerland, Türkiye, Ukraine",Mixed deciduous forests between 700 and 2000 m asl.,,Least concern (LC),https://www.treesandshrubsonline.org/articles/acer/acer-pseudoplatanus/,Trees and Shrubs Online (IDS)
Acer pseudosieboldianum,Keijo Maple,Sapindaceae,Acer,"4–5. Conservation status Not evaluated. Illustration NT101. Cross-reference B206, K99. Taxonomic note A number of segregates were named by Nakai but are disregarded by van Gelderen et al . (1994); they occasionally appear in catalogues.",,,"CHINA: Heilongjiang, southeast Jilin, eastern Liaoning; NORTH KOREA; RUSSIAN FEDERATION. Habitat Forests between 700 and 900 m asl. USDA Hardiness Zone 4–5. Conservation status Not evaluated. Illustration NT101. Cross-reference B206, K99. Taxonomic note A number of segregates were named by Nakai but are disregarded by van Gelderen et al . (1994); they occasionally appear in catalogues.","Forests between 700 and 900 m asl. USDA Hardiness Zone 4–5. Conservation status Not evaluated. Illustration NT101. Cross-reference B206, K99. Taxonomic note A number of segregates were named by Nakai but are disregarded by van Gelderen et al . (1994); they occasionally appear in catalogues.",A number of segregates were named by Nakai but are disregarded by van Gelderen et al . (1994); they occasionally appear in catalogues.,"Not evaluated. Illustration NT101. Cross-reference B206, K99. Taxonomic note A number of segregates were named by Nakai but are disregarded by van Gelderen et al . (1994); they occasionally appear in catalogues.",https://www.treesandshrubsonline.org/articles/acer/acer-pseudosieboldianum/,Trees and Shrubs Online (IDS)
Acer pubinerve,,Sapindaceae,Acer,7-8,H5,,China,"The Flora of China gives 'Forests at around 100 m asl', but see main text.",,Least concern (LC),https://www.treesandshrubsonline.org/articles/acer/acer-pubinerve/,Trees and Shrubs Online (IDS)
Acer pycnanthum,Japanese Red Maple,Sapindaceae,Acer,5,H6,,Japan,"Wet, lowland sites.",,Vulnerable (VU),https://www.treesandshrubsonline.org/articles/acer/acer-pycnanthum/,Trees and Shrubs Online (IDS)
Acer rubescens,,Sapindaceae,Acer,7-8,H5,,Taiwan,Montane forest between 1800 and 2200 m asl.,"Grimshaw & Bayton (2009 ) noted that Acer rubescens has been confused with A. kawakamii (syn. A. caudatifolium ) in horticulture on account of both these taxa sharing the synonym A. morrisonense. However, study of the type specimen of A. morrisonense H.L. Li non Hayata, treated as a synonym of this species by Grimshaw & Bayton (2009 ), has shown that this material is referrable to another, as yet ",Not evaluated (NE),https://www.treesandshrubsonline.org/articles/acer/acer-rubescens/,Trees and Shrubs Online (IDS)
Acer rubrum,Red Maple,Sapindaceae,Acer,4-10,H6,,"Canada, United States","Mixed deciduous forest and margins of boreal forests. It occurs on both dry and wet sites, along rivers and lakes, in marshes, swamps as well as on sandy plains, dunes and rocky, mountain slopes between 0 and 1370 m asl.","Weakley (2012) treats Acer rubrum var. drummondii at nothospecific rank, indicating that it is of hybrid origin derived from A. rubrum and A. saccharinum , though this interpretation is not widely accepted and its varietal status is followed here. Weakley also recognises A. rubrum var. trilobum. This and the type are separated by degrees of leaf size and lobing, the nominate variety with leaves us",Least concern (LC),https://www.treesandshrubsonline.org/articles/acer/acer-rubrum/,Trees and Shrubs Online (IDS)
Acer rufinerve,Grey-budded Maple,Sapindaceae,Acer,5-6,H5,,Japan,Temperate deciduous forests between 300 and 2000 m asl.,,Least concern (LC),https://www.treesandshrubsonline.org/articles/acer/acer-rufinerve/,Trees and Shrubs Online (IDS)
