scientific_name,common_name,growth_habit,leaf_retention,usda_hardiness_zone,catalog_source,catalog_source_url,mda_hardiness_zone,mda_categories,mda_cultivar_notes
Stephanandra incise,,Shrub,,4,Minnesota Department of Agriculture Cold Hardiness List,https://www.mda.state.mn.us/cold-hardiness-list,4,Shrubs,Crispa Cutleaf Stephanandra
Symphoricarpos albus,Snowberry,Shrub,,3,Minnesota Department of Agriculture Cold Hardiness List,https://www.mda.state.mn.us/cold-hardiness-list,3,Shrubs,White Snowberry
Symphoricarpos orbiculatus,Snowberry,Shrub,,4,Minnesota Department of Agriculture Cold Hardiness List,https://www.mda.state.mn.us/cold-hardiness-list,4,Shrubs,Red Snowberry
Symphoricarpos × doorenbosii,Snowberry,Shrub,,3-4,Minnesota Department of Agriculture Cold Hardiness List,https://www.mda.state.mn.us/cold-hardiness-list,3-4,Shrubs,"Candy™ Coralberry aka 'Kolmean', Galaxy™ Snowberry aka 'Kolmgala', Sweet™ Coralberry aka 'Kolmagics'; Pinky Promise™, 'Kolmpica' PPAF"
Syringa meyeri,Lilac,Shrub,,3,Minnesota Department of Agriculture Cold Hardiness List,https://www.mda.state.mn.us/cold-hardiness-list,3,Shrubs,Dwarf Korean Lilac - 'Palibin'
Syringa patula,Lilac,Shrub,,3,Minnesota Department of Agriculture Cold Hardiness List,https://www.mda.state.mn.us/cold-hardiness-list,3,Shrubs,'Miss Kim'; Dream Cloud™
Syringa pekinensis,Tree Lilac,Tree,,3-5,Minnesota Department of Agriculture Cold Hardiness List,https://www.mda.state.mn.us/cold-hardiness-list,3-5,Deciduous (non-fruit),'Morton' - China Snow® Peking Lilac; Beijing Gold® aka 'Zhang Zhiming' Pekin Tree Lilac; Summer Charm® aka 'DTR124'
Syringa reticulata,Tree Lilac,Tree,,3-4,Minnesota Department of Agriculture Cold Hardiness List,https://www.mda.state.mn.us/cold-hardiness-list,3-4,Deciduous (non-fruit),"Golden Eclipse Lilac; Ivory Silk® Lilac, 'Ivory Pillar', 'Snowcap' aka 'Elliot', 'Summer Storm' PPAF, Snowdance™ aka 'Bailance'"
Syringa vulgaris,Lilac,Shrub,,2-4,Minnesota Department of Agriculture Cold Hardiness List,https://www.mda.state.mn.us/cold-hardiness-list,2-4,Shrubs,"'President Grevy'; Common Purple Lilac, New Age White, aka 'G13103' PPAF, 'Yankee Doodle'; New Age Lavender, aka 'G13099' PPAF"
Syringa × chinensis,Lilac,Shrub,,4,Minnesota Department of Agriculture Cold Hardiness List,https://www.mda.state.mn.us/cold-hardiness-list,4,Shrubs,Lilac Sunday
