scientific_name,common_name,growth_habit,leaf_retention,usda_hardiness_zone,catalog_source,catalog_source_url,mda_hardiness_zone,mda_categories,mda_cultivar_notes
Acer saccharinum,Silver Maple,Tree,,3,Minnesota Department of Agriculture Cold Hardiness List,https://www.mda.state.mn.us/cold-hardiness-list,3,Deciduous (non-fruit),"Silver Maple - 'Silver Cloud', 'Silver Queen'"
Acer saccharum,Sugar Maple,Tree,,3-4,Minnesota Department of Agriculture Cold Hardiness List,https://www.mda.state.mn.us/cold-hardiness-list,3-4,Deciduous (non-fruit),"Black Maple; PA Source Sugar Maple, Apollo® aka 'Barrett Cole', Crescendo™ aka 'Morton', 'Commemoration', Green Mountain® Maple , 'Autumn Fest' 'JFS-KW8' ,; Sugar Maple 'Fall Fiesta', 'Bailista' , 'Legacy', 'Wright Brothers', Inferno™ aka 'Jeferno', 'Jefcan'"
Acer shirasawanum,Maple,Tree,,5,Minnesota Department of Agriculture Cold Hardiness List,https://www.mda.state.mn.us/cold-hardiness-list,5,Deciduous (non-fruit),'Autumn Moon'
Acer tartaricum,Tartarian Maple,Tree,,3,Minnesota Department of Agriculture Cold Hardiness List,https://www.mda.state.mn.us/cold-hardiness-list,3,Deciduous (non-fruit),"Hot Wings aka 'Gar Ann' PP15023 - Tartarian Maple is now a Specially Regulated Plant in Minnesota; Sellers shall affix a label directly to the plant or container packaging that is being sold that advises buyers to only plant Norway maple and its cultivars in landscapes where the seedlings will be controlled by mowing or other means. Norway maple seed is wind dispersed, and trees should be planted at least 100 yards from natural areas."
Acer tegmenttosum,Maple,Tree,,3,Minnesota Department of Agriculture Cold Hardiness List,https://www.mda.state.mn.us/cold-hardiness-list,3,Deciduous (non-fruit),Manchustriped Maple
Acer triflorum,Maple,Tree,,3,Minnesota Department of Agriculture Cold Hardiness List,https://www.mda.state.mn.us/cold-hardiness-list,3,Deciduous (non-fruit),Three Flowered Maple
Acer truncatum,Maple,Tree,,4,Minnesota Department of Agriculture Cold Hardiness List,https://www.mda.state.mn.us/cold-hardiness-list,4,Deciduous (non-fruit),"Crimson Sunset® 'JFS-KW202' , Norwegian Sunset® - Norway Maple is now a Specially Regulated Plant in Minnesota; Sellers shall affix a label directly to the plant or container packaging that is being sold that advises buyers to only plant Norway maple and its cultivars in landscapes where the seedlings will be controlled by mowing or other means. Norway maple seed is wind dispersed and trees should be planted at least 100 yards from natural areas."
Acer × freemanii,Maple,Tree,,3-4,Minnesota Department of Agriculture Cold Hardiness List,https://www.mda.state.mn.us/cold-hardiness-list,3-4,Deciduous (non-fruit),"Freeman Maple - Autumn Blaze® aka 'Jeffersred', Firefall™, 'Bailston' aka Matador™ , Armstrong Gold™ aka 'JFS-KW78' , Autumn Fantasy', 'Marmo'; Freeman Maple - Sienna Glen® aka 'Sienna'"
Acer × pseudosieboldianum,Maple Hybrid,Tree,,3-4,Minnesota Department of Agriculture Cold Hardiness List,https://www.mda.state.mn.us/cold-hardiness-list,3-4,Deciduous (non-fruit),"Korean Maple; Northern Glow® Hybrid Maple - Arctic Jade® Hybrid Maple ('IsIAJ'), Ice Dragon™ Hybrid Maple ('IsIID'), North Wind® Hybrid Maple ('IsINW'); Northern Spotlight® aka 'KorDak'"
Actinidia arguta,Hardy Kiwi,Vine,,3-5,Minnesota Department of Agriculture Cold Hardiness List,https://www.mda.state.mn.us/cold-hardiness-list,3-5,Fruit,'Issai' - Hardy Kiwi; var. arguta
Actinidia kolomikta,Kiwi,Vine,,3,Minnesota Department of Agriculture Cold Hardiness List,https://www.mda.state.mn.us/cold-hardiness-list,3,Fruit,Arctic Beauty
Aesculus glabra,Buckeye or Horsechestnut,Tree,,3,Minnesota Department of Agriculture Cold Hardiness List,https://www.mda.state.mn.us/cold-hardiness-list,3,Deciduous (non-fruit),Ohio Buckeye
Aesculus hippocastanum,Buckeye or Horsechestnut,Tree,,4,Minnesota Department of Agriculture Cold Hardiness List,https://www.mda.state.mn.us/cold-hardiness-list,4,Deciduous (non-fruit),'European Horse Chestnut 'Baumanii'
Aesculus × carnea,Buckeye or Horsechestnut,Tree,,5,Minnesota Department of Agriculture Cold Hardiness List,https://www.mda.state.mn.us/cold-hardiness-list,5,Deciduous (non-fruit),"Ruby Horsechestnut - 'Briotii', 'Fort McNair"
Alnus flava,Buckeye or Horsechestnut,Tree,,4,Minnesota Department of Agriculture Cold Hardiness List,https://www.mda.state.mn.us/cold-hardiness-list,4,Deciduous (non-fruit),Yellow Buckeye
Alnus glutinosa,Alder,Tree,,4,Minnesota Department of Agriculture Cold Hardiness List,https://www.mda.state.mn.us/cold-hardiness-list,4,Deciduous (non-fruit),European or Black Alder - Restricted Noxious Weed in Minnesota - may no longer be grown or sold in Minnesota
Alnus hirsuta,Alder,Tree,,4,Minnesota Department of Agriculture Cold Hardiness List,https://www.mda.state.mn.us/cold-hardiness-list,4,Deciduous (non-fruit),Prairie Horizon® aka 'Harbin' Alder
Alnus incana,Alder,Tree,,2,Minnesota Department of Agriculture Cold Hardiness List,https://www.mda.state.mn.us/cold-hardiness-list,2,Deciduous (non-fruit),Speckled Alder
Alnus rugosa,Alder,Tree,,2,Minnesota Department of Agriculture Cold Hardiness List,https://www.mda.state.mn.us/cold-hardiness-list,2,Deciduous (non-fruit),Hazel Alder
Alnus viridis,Alder,Tree,,2,Minnesota Department of Agriculture Cold Hardiness List,https://www.mda.state.mn.us/cold-hardiness-list,2,Deciduous (non-fruit),Green Alder - 'Crispa'
Alnus × spaethii,Alder,Tree,,4,Minnesota Department of Agriculture Cold Hardiness List,https://www.mda.state.mn.us/cold-hardiness-list,4,Deciduous (non-fruit),Spaeth's Alder
Amelanchier alinifolia,Serviceberry or Juneberry,Shrub,,2,Minnesota Department of Agriculture Cold Hardiness List,https://www.mda.state.mn.us/cold-hardiness-list,2,Fruit,"Regent Saskatoon Serviceberry, Standing Ovation™ Serviceberry aka 'Obelisk'"
Amelanchier canadensis,Serviceberry or Juneberry,Shrub,,4,Minnesota Department of Agriculture Cold Hardiness List,https://www.mda.state.mn.us/cold-hardiness-list,4,Fruit,Shadblow Serviceberry
Amelanchier laevis,Serviceberry or Juneberry,Shrub,,4,Minnesota Department of Agriculture Cold Hardiness List,https://www.mda.state.mn.us/cold-hardiness-list,4,Fruit,"Allegheny Serviceberry, Lustre® Serviceberry - aka 'Rogers', 'Cumulus', Spring Flurry®"
Amelanchier lamarckii,Juneberry,Shrub,,4,Minnesota Department of Agriculture Cold Hardiness List,https://www.mda.state.mn.us/cold-hardiness-list,4,Fruit,Juneberry
Amelanchier × grandiflora,Serviceberry or Juneberry,Shrub,,3-4,Minnesota Department of Agriculture Cold Hardiness List,https://www.mda.state.mn.us/cold-hardiness-list,3-4,Fruit,"'Autumn Brilliance', 'Princess Diana', 'Cole's Select'; 'Robin Hill'"
Ampelopsis brevipedunculata,Porcelain Berry,Vine,,4,Minnesota Department of Agriculture Cold Hardiness List,https://www.mda.state.mn.us/cold-hardiness-list,4,Vines,Porcelain berry vine
Andromeda polifolia,Bog Rosemary,Shrub,,3,Minnesota Department of Agriculture Cold Hardiness List,https://www.mda.state.mn.us/cold-hardiness-list,3,Shrubs,'Nana'
Arctostaphylos uva-ursi,Bearberry,Shrub,,3,Minnesota Department of Agriculture Cold Hardiness List,https://www.mda.state.mn.us/cold-hardiness-list,3,Shrubs,'Massachusetts'
Aristolochia durior,Dutchmans Pipe,Vine,,4,Minnesota Department of Agriculture Cold Hardiness List,https://www.mda.state.mn.us/cold-hardiness-list,4,Vines,Dutchman's Pipe
Aronia arbutifolia,Chokeberry,Shrub,,5,Minnesota Department of Agriculture Cold Hardiness List,https://www.mda.state.mn.us/cold-hardiness-list,5,Shrubs,'Erecta'
Aronia melanocarpa,Chockberry (treeform),Tree,,3,Minnesota Department of Agriculture Cold Hardiness List,https://www.mda.state.mn.us/cold-hardiness-list,3,Deciduous (non-fruit); Shrubs,"'Autumn Magic', 'Glossy Black', 'Morton', Iroquois Beauty™, Ground Hug™ aka'UCONNAM012', Low Scape™ Mound Black Chokeberry 'UCONNAM165' PPAF, Low Scape™ Hedger Black Chokeberry 'UCONNAM166' PPAF; Autumn Magic Black"
Berberis thunbergii,Barberry,Shrub,,4-5,Minnesota Department of Agriculture Cold Hardiness List,https://www.mda.state.mn.us/cold-hardiness-list,4-5,Shrubs,"Cabernet® aka'Moretti Select'; Common Barberry, specific cultivars of this plant are NOT allowed for sale in MN; Midruzam', 'Red Torch', Concorde', 'Crimson Pygmy', Golden Nugget™ aka 'Monlers','Goruzam' PP16,203 aka Golden Ruby® , 'Helmond Pillar', Lambrusco™ aka 'BailElla', Limoncello™ aka 'BailErin', Lustre Green™ aka 'Anderson' , Moscato™ aka 'BailAnna', 'Orange Rocket' PP18,411, Rosy Rocket', Sunjoy Mini Maroon® aka 'NCBT1', Sunjoy Todo™ aka 'NCBX1', 'Sunjoy® aka 'Maria' PP18,082, 'Toscana™ aka 'BailJulia'; Orange Torch'"
Berberis × mentorensis,Barberry,Shrub,,5,Minnesota Department of Agriculture Cold Hardiness List,https://www.mda.state.mn.us/cold-hardiness-list,5,Shrubs,Mentor Barberry
Betula alleghaniensis,Birch,Tree,,3,Minnesota Department of Agriculture Cold Hardiness List,https://www.mda.state.mn.us/cold-hardiness-list,3,Deciduous (non-fruit),Yellow Birch
Betula lenta,Birch,Tree,,3,Minnesota Department of Agriculture Cold Hardiness List,https://www.mda.state.mn.us/cold-hardiness-list,3,Deciduous (non-fruit),Sweet Birch
Betula nigra,River Birch,Tree,,3-4,Minnesota Department of Agriculture Cold Hardiness List,https://www.mda.state.mn.us/cold-hardiness-list,3-4,Deciduous (non-fruit),"Dura-Heat aka 'BNMTF' , Fox Valley® aka 'Little King', Heritage® aka 'Cully', 'Shiloh Splash', 'Summer Cascade'; Northern Tribute® aka 'Dickinson'"
Betula papyrifera,Paper Birch,Tree,,2-3,Minnesota Department of Agriculture Cold Hardiness List,https://www.mda.state.mn.us/cold-hardiness-list,2-3,Deciduous (non-fruit),"Prairie Dream aka 'Varen', 'Renci'; Renaissance Oasis® aka 'Oenci'"
Betula pendula,Birch,Tree,,2,Minnesota Department of Agriculture Cold Hardiness List,https://www.mda.state.mn.us/cold-hardiness-list,2,Deciduous (non-fruit),Weeping Cutleaf Birch aka 'Dalecarlica'
Betula platyphylla,Birch,Tree,,3,Minnesota Department of Agriculture Cold Hardiness List,https://www.mda.state.mn.us/cold-hardiness-list,3,Deciduous (non-fruit),"Asian White Birch - Dakota Pinnacle® Birch aka 'Fargo', 'Parkland Pillar' aka 'Jefpark'"
Betula populifolia,Birch,Tree,,4,Minnesota Department of Agriculture Cold Hardiness List,https://www.mda.state.mn.us/cold-hardiness-list,4,Deciduous (non-fruit),Whitespire Birch
Betula utilis,Birch,Tree,,5,Minnesota Department of Agriculture Cold Hardiness List,https://www.mda.state.mn.us/cold-hardiness-list,5,Deciduous (non-fruit),Himalayan birch
Betula utils,Birch,Tree,,4,Minnesota Department of Agriculture Cold Hardiness List,https://www.mda.state.mn.us/cold-hardiness-list,4,Deciduous (non-fruit),White Satin Birch aka 'Madison'
Buddleia davidii,Butterfly Bush,Shrub,,4-5,Minnesota Department of Agriculture Cold Hardiness List,https://www.mda.state.mn.us/cold-hardiness-list,4-5,Shrubs,"'Dapper® Lavender' Buddaplav' PP 33,625, 'African Queen', 'Black Knight', 'Honeycomb', 'Moonshadow', 'Nanho Blue', 'Pink Delight', 'Potter's Purple', 'Summer Rose', 'Windy Hill', Butterfly Bush - Pugster Blue® aka 'SMNBDBT', Pugster Periwinkle® aka 'SMNBDO', Pugster Pink® aka 'SMNBDPT', Pugster Amethyst® aka 'SMNBDL', Dapper® White 'Dapconwhi' PP 33,566, Funky Fuchsia™ 'PIIBD-II' PP26,278, Groovy Grape™ 'PIIBD-I' PP26,305, Psychedelic Sky™ 'PIIBD-III' PP26,306, 'Purple Haze' PP24,514, Pugster Pinker™ aka 'SMNHPPH; RoyalRazz™' aka 'SRPbudroy'"
Buxus microphylla,Boxwood,Shrub,,4-6,Minnesota Department of Agriculture Cold Hardiness List,https://www.mda.state.mn.us/cold-hardiness-list,4-6,Shrubs,"'Baby Gem', 'Green Beauty', 'Sunnyside'; 'Green Velvet'; 'Little Missy', 'Winter Gem'; 'Peergold'; 'Winter Gem', 'Green Mountain'; 'Wintergreen' Littleleaf Boxwood aka 'Koreana'"
Buxus sempervirens,Boxwood,Shrub,,5-6,Minnesota Department of Agriculture Cold Hardiness List,https://www.mda.state.mn.us/cold-hardiness-list,5-6,Shrubs,"'Arctic Emerald', 'Graham Blandy', 'Suffruticosa'; 'Pendula'"
Callicarpa dichotoma,,Shrub,,5,Minnesota Department of Agriculture Cold Hardiness List,https://www.mda.state.mn.us/cold-hardiness-list,5,Shrubs,"'Dark Star', 'Early Amethyst', 'Issai', 'Profusion'"
Calycanthus floridus,,Shrub,,5,Minnesota Department of Agriculture Cold Hardiness List,https://www.mda.state.mn.us/cold-hardiness-list,5,Shrubs,"'Athens', 'Michael Lindsey'"
Campsis radicans,Trumpetvine,Vine,,5,Minnesota Department of Agriculture Cold Hardiness List,https://www.mda.state.mn.us/cold-hardiness-list,5,Vines,"Yellow Trumpet Vine, 'Flava', 'Stromboli' First Editions® Atomic Red™"
Campsis radicans-,Trumpetvine,Vine,,4,Minnesota Department of Agriculture Cold Hardiness List,https://www.mda.state.mn.us/cold-hardiness-list,4,Vines,Trumpetvine
Campsis × tagliabuana,Trumpetvine,Vine,,5,Minnesota Department of Agriculture Cold Hardiness List,https://www.mda.state.mn.us/cold-hardiness-list,5,Vines,"Mme Galen', Summer Jazz™ Sunrise Gold 'Takarazuka Yellow' PP 23,918, Summer Jazz™ Fire 'Takarazuka Fresa' PP 23,917"
Caragana aborescens,PeaShrub,Shrub,,2,Minnesota Department of Agriculture Cold Hardiness List,https://www.mda.state.mn.us/cold-hardiness-list,2,Shrubs,Restricted Noxious Weed in Minnesota - may no longer be grown or sold in Minnesota except for the sterile 'Jefarb' (Green Spires®)
Caragana arborescens,Peashrub,Tree,,2,Minnesota Department of Agriculture Cold Hardiness List,https://www.mda.state.mn.us/cold-hardiness-list,2,Deciduous (non-fruit),Siberia Peashrub 'Green Spires'
Caragana frutex,PeaShrub,Shrub,,2,Minnesota Department of Agriculture Cold Hardiness List,https://www.mda.state.mn.us/cold-hardiness-list,2,Shrubs,Glove Peashrub aka 'Globosa'
Caragana pygmaea,PeaShrub,Shrub,,3,Minnesota Department of Agriculture Cold Hardiness List,https://www.mda.state.mn.us/cold-hardiness-list,3,Shrubs,Pygmy Peashrub
Carpinus betulus,Hornbeam or,Tree,,5,Minnesota Department of Agriculture Cold Hardiness List,https://www.mda.state.mn.us/cold-hardiness-list,5,Deciduous (non-fruit),"'Columnaris', 'Frans Fontaine', 'Fastigiata', 'Globosa', 'Pendula', 'Purpurea'"
Carpinus caroliniana,Hornbeam or Blue Beech,Tree,,3,Minnesota Department of Agriculture Cold Hardiness List,https://www.mda.state.mn.us/cold-hardiness-list,3,Deciduous (non-fruit),Firespire™ aka 'J.N. Upright'
Carya illinoensis,Pecan,Tree,,5,Minnesota Department of Agriculture Cold Hardiness List,https://www.mda.state.mn.us/cold-hardiness-list,5,Deciduous (non-fruit),"'Cape Fear', 'Cheyenne', 'Choctaw', 'Desirable', 'Elliott', 'Kiowa', 'Mahan', 'Maramec', 'Mohawk', 'Navajo', 'Pawnee', 'Silverback', 'Stuart', 'Western', 'Wichita'"
Carya ovata,Hickory,Tree,,4,Minnesota Department of Agriculture Cold Hardiness List,https://www.mda.state.mn.us/cold-hardiness-list,4,Deciduous (non-fruit),Shagbark Hickory
Caryopteris × clandonensis,,Shrub,,5,Minnesota Department of Agriculture Cold Hardiness List,https://www.mda.state.mn.us/cold-hardiness-list,5,Shrubs,"'Blue Mist', 'Dark Knight', 'Minbleu', 'Blayer Splatz'"
Catalpa bignoniodes,Catalpa,Tree,,5,Minnesota Department of Agriculture Cold Hardiness List,https://www.mda.state.mn.us/cold-hardiness-list,5,Deciduous (non-fruit),Aurea'
Catalpa bungei,Catalpa,Tree,,4,Minnesota Department of Agriculture Cold Hardiness List,https://www.mda.state.mn.us/cold-hardiness-list,4,Deciduous (non-fruit),Umbrella Catalpa
Catalpa ovata,Catalpa,Tree,,4,Minnesota Department of Agriculture Cold Hardiness List,https://www.mda.state.mn.us/cold-hardiness-list,4,Deciduous (non-fruit),Chinese Catalpa
Catalpa speciosa,Catalpa,Tree,,4,Minnesota Department of Agriculture Cold Hardiness List,https://www.mda.state.mn.us/cold-hardiness-list,4,Deciduous (non-fruit),Northern Catalpa
Catalpa × erubescens,Catalpa,Tree,,4,Minnesota Department of Agriculture Cold Hardiness List,https://www.mda.state.mn.us/cold-hardiness-list,4,Deciduous (non-fruit),Purple Catalpa - 'Purpurea'
Ceanothus americanus,,Shrub,,3,Minnesota Department of Agriculture Cold Hardiness List,https://www.mda.state.mn.us/cold-hardiness-list,3,Shrubs,New Jersey Tea
Celastrus scandens,Bittersweet,Vine,,2,Minnesota Department of Agriculture Cold Hardiness List,https://www.mda.state.mn.us/cold-hardiness-list,2,Vines,Autumn Revolution™ aka 'Bailumn' Bittersweet
Celtis occidentalis,Hackberry,Tree,,4,Minnesota Department of Agriculture Cold Hardiness List,https://www.mda.state.mn.us/cold-hardiness-list,4,Deciduous (non-fruit),"Chicagoland®, 'Prairie Pride', 'Magnifica', Prairie Sentinel"
Cephalanthus occidentalis,Buttonbush,Shrub,,4,Minnesota Department of Agriculture Cold Hardiness List,https://www.mda.state.mn.us/cold-hardiness-list,4,Shrubs,"Buttonbush, Fiber Optics™ 'Bailoptics'"
Cercidiphyllum japonicum,Katsuratree,Tree,,4,Minnesota Department of Agriculture Cold Hardiness List,https://www.mda.state.mn.us/cold-hardiness-list,4,Deciduous (non-fruit),"'Biringer' PP21,711"
Cercis canadensis,Redbud,Tree,,4-5,Minnesota Department of Agriculture Cold Hardiness List,https://www.mda.state.mn.us/cold-hardiness-list,4-5,Deciduous (non-fruit),"'Burgundy Hearts', 'Greswan', 'Hearts of Gold', Lavender Twist® aka 'Covey', The Rising Sun™ aka 'JN2' PP21,451 Carolina Sweetheart® 'NCCI' PP 27,712, Flamethrower® 'NC2016-2', Golder Falls® 'NC2015-12' PP 31,658, 'Pink Pom Poms' PP 27,630; MN Strain"
Chaenomeles japonica,Quince,Shrub,,5,Minnesota Department of Agriculture Cold Hardiness List,https://www.mda.state.mn.us/cold-hardiness-list,5,Shrubs,"'Minerva', 'Rubra', 'Sargentii'"
Chaenomeles speciosa,Quince,Shrub,,5,Minnesota Department of Agriculture Cold Hardiness List,https://www.mda.state.mn.us/cold-hardiness-list,5,Shrubs,"'Alba', 'Apple Blossom', 'Contorta', 'Crimson Beauty', 'Nivalis', 'Rubra', 'Spitfire'; 'Toyo Nishiki', Double Take Peach™"
Chaenomeles superba,Quince,Shrub,,5,Minnesota Department of Agriculture Cold Hardiness List,https://www.mda.state.mn.us/cold-hardiness-list,5,Shrubs,"'Crimson and Gold', 'Hollandia', 'Jet Trail', 'Texas Scarlet'"
Chamaecyparis lawsoniana,Falsecypress,Tree,,6,Minnesota Department of Agriculture Cold Hardiness List,https://www.mda.state.mn.us/cold-hardiness-list,6,Deciduous (non-fruit),"'Minlem', Amaize n'"
Chamaecyparis nootkatensis,Falsecypress,Tree,,5,Minnesota Department of Agriculture Cold Hardiness List,https://www.mda.state.mn.us/cold-hardiness-list,5,Deciduous (non-fruit),'Pendula' Weeping Nootka Cypress
Chamaecyparis obtusa,Falsecypress,Tree,,5,Minnesota Department of Agriculture Cold Hardiness List,https://www.mda.state.mn.us/cold-hardiness-list,5,Deciduous (non-fruit); Shrubs,"'Hinoki', 'Nana Gracilis'; Night Light™ 'Conschlecht' PP 24,666"
Chamaecyparis pisifera,Falsecypress,Tree,,4,Minnesota Department of Agriculture Cold Hardiness List,https://www.mda.state.mn.us/cold-hardiness-list,4,Deciduous (non-fruit),"Golden Mops', 'Kings Gold'"
Chamaecyparis thyoides,Cedar,Tree,,4,Minnesota Department of Agriculture Cold Hardiness List,https://www.mda.state.mn.us/cold-hardiness-list,4,Deciduous (non-fruit),Atlantic White Cedar - 'Heartburn'
Chionanthus virginicus,Fringetree,Tree,,4,Minnesota Department of Agriculture Cold Hardiness List,https://www.mda.state.mn.us/cold-hardiness-list,4,Deciduous (non-fruit),White Fringetree
Cladrastis kentuckea,Yellowwood,Tree,,5,Minnesota Department of Agriculture Cold Hardiness List,https://www.mda.state.mn.us/cold-hardiness-list,5,Deciduous (non-fruit),'Perkins Pink'
Clematis alpina,Clematis,Vine,,4,Minnesota Department of Agriculture Cold Hardiness List,https://www.mda.state.mn.us/cold-hardiness-list,4,Vines,"Evithree' Anna Louise™, 'Hyde Hall'™, 'Pink Flamingo'"
Clematis lanuginosa,Clematis,Vine,,4,Minnesota Department of Agriculture Cold Hardiness List,https://www.mda.state.mn.us/cold-hardiness-list,4,Vines,'Candida'
Clematis macropetala,Clematis,Vine,,3-4,Minnesota Department of Agriculture Cold Hardiness List,https://www.mda.state.mn.us/cold-hardiness-list,3-4,Vines,"'Albena Plena'; 'Blue Bird', 'Markham's Pink', 'Lagoon'"
Clematis montana,Clematis,Vine,,5,Minnesota Department of Agriculture Cold Hardiness List,https://www.mda.state.mn.us/cold-hardiness-list,5,Vines,"'Elizabeth', 'Grandaflora', 'Mayleen', 'Freda', 'Rubens',"
Clematis paniculata,Clematis,Vine,,4,Minnesota Department of Agriculture Cold Hardiness List,https://www.mda.state.mn.us/cold-hardiness-list,4,Vines,Sweet Autumn Clematis
Clematis recta,Clematis,Vine,,3,Minnesota Department of Agriculture Cold Hardiness List,https://www.mda.state.mn.us/cold-hardiness-list,3,Vines,'Purpurea'
Clematis tangutica,Clematis,Vine,,3,Minnesota Department of Agriculture Cold Hardiness List,https://www.mda.state.mn.us/cold-hardiness-list,3,Vines,'Bill MacKenzie'
Clematis terniflora,Clematis,Vine,,4,Minnesota Department of Agriculture Cold Hardiness List,https://www.mda.state.mn.us/cold-hardiness-list,4,Vines,Sweet autumn clematis
Clematis texensis,Clematis,Vine,,4,Minnesota Department of Agriculture Cold Hardiness List,https://www.mda.state.mn.us/cold-hardiness-list,4,Vines,"Duchess of Albany', 'Grevetye Beauty', 'Princess Diana', 'Etoile Rose', 'Pagoda', 'Sir Trevor Lawrence'"
Clematis viticella,Clematis,Vine,,3,Minnesota Department of Agriculture Cold Hardiness List,https://www.mda.state.mn.us/cold-hardiness-list,3,Vines,"'Betty Corning', 'Etoile Violette', 'Polish Spirit', 'Walenburg'; 'Purpurea Plena Elegans'"
Clethra alnifolia,Summersweet,Shrub,,4,Minnesota Department of Agriculture Cold Hardiness List,https://www.mda.state.mn.us/cold-hardiness-list,4,Shrubs,"'Hummingbird', 'Ruby Spice', 'September Beauty', 'Sixteen Candles', 'Caleb' Vanilla Spice®, Surartina™ aka 'Crystalina', Einstein™ - aka 'Novacleein'"
Comptonia peregrina,Sweetfern,Shrub,,2,Minnesota Department of Agriculture Cold Hardiness List,https://www.mda.state.mn.us/cold-hardiness-list,2,Shrubs,Sweetfern
Cornus alba,Dogwood,Shrub,,2-3,Minnesota Department of Agriculture Cold Hardiness List,https://www.mda.state.mn.us/cold-hardiness-list,2-3,Shrubs,"'Argenteo-marginata', 'Minbat', 'Buds Yellow', 'Bailhalo', 'Elegantissima', 'Sibirica'; First Editions® Neon Burst™ 'ByBoughen', 'Prairie Fire'"
Cornus alternifolia,Dogwood,Tree,,3,Minnesota Department of Agriculture Cold Hardiness List,https://www.mda.state.mn.us/cold-hardiness-list,3,Deciduous (non-fruit),"Golden Shadows® aka 'W. Stackman' PP11.287, Pagoda Dogwood"
Cornus bailei,Dogwood,Shrub,,2,Minnesota Department of Agriculture Cold Hardiness List,https://www.mda.state.mn.us/cold-hardiness-list,2,Shrubs,Red Twig Dogwood
Cornus florida,Dogwood,Tree,,5,Minnesota Department of Agriculture Cold Hardiness List,https://www.mda.state.mn.us/cold-hardiness-list,5,Deciduous (non-fruit),"Flowering Dogwood - 'American Beauty Red', 'Pendula', 'Satomi'"
Cornus hessei,Dogwood,Shrub,,4,Minnesota Department of Agriculture Cold Hardiness List,https://www.mda.state.mn.us/cold-hardiness-list,4,Shrubs,Garden Glow™
Cornus kousa,Dogwood,Tree,,5,Minnesota Department of Agriculture Cold Hardiness List,https://www.mda.state.mn.us/cold-hardiness-list,5,Deciduous (non-fruit); Shrubs,Chinese or Kousa Dogwood; Galilean® aka 'Galzam'; Kousa Dogwood
Cornus mas,Dogwood,Tree,,4,Minnesota Department of Agriculture Cold Hardiness List,https://www.mda.state.mn.us/cold-hardiness-list,4,Deciduous (non-fruit); Shrubs,"Cornelian cherry; Cornelian cherry, 'Golden Glory'"
Cornus obliqua,Dogwood,Shrub,,4,Minnesota Department of Agriculture Cold Hardiness List,https://www.mda.state.mn.us/cold-hardiness-list,4,Shrubs,Red Rover® Silky Dogwood
Cornus pumila,Dogwood,Shrub,,4,Minnesota Department of Agriculture Cold Hardiness List,https://www.mda.state.mn.us/cold-hardiness-list,4,Shrubs,Dwarf Red Tipped Dogwood
Cornus racemosa,Dogwood,Shrub,,3-4,Minnesota Department of Agriculture Cold Hardiness List,https://www.mda.state.mn.us/cold-hardiness-list,3-4,Shrubs,"Gray Dogwood; Huron® 'Hurzam', Muskingum® aka 'Muzam'"
Cornus sanguinea,Dogwood,Shrub,,4-5,Minnesota Department of Agriculture Cold Hardiness List,https://www.mda.state.mn.us/cold-hardiness-list,4-5,Shrubs,"'Compressa', 'Midwinter Fire', 'Winter Beauty'; Winter Flame', Arctic Sun™ aka 'Cato'"
Cornus sericea,Dogwood,Shrub,,2-4,Minnesota Department of Agriculture Cold Hardiness List,https://www.mda.state.mn.us/cold-hardiness-list,2-4,Shrubs,"'Cardinal' Red Osier Dogwood, 'Flaviramea', Firedance™ aka 'Bailadeline' Dogwood, Isanti Dogwood; 'Kelseyi' Dwarf Dogwood; Alleman's Compact Dogwood; Arctic Fire™ aka 'Farrow' Dogwood; Hedgerow's Gold Dogwood; Silver and Gold Dogwood"
Cornus stolonifera,Dogwood,Shrub,,2,Minnesota Department of Agriculture Cold Hardiness List,https://www.mda.state.mn.us/cold-hardiness-list,2,Shrubs,Arctic Fire® Yellow
Corylus americana,Hazelnut,Shrub,,3-4,Minnesota Department of Agriculture Cold Hardiness List,https://www.mda.state.mn.us/cold-hardiness-list,3-4,Shrubs,'Purpleleaf Bailey Select'; American Hazelnut
Corylus avellana,Hazelnut,Shrub,,5,Minnesota Department of Agriculture Cold Hardiness List,https://www.mda.state.mn.us/cold-hardiness-list,5,Shrubs,"Contorted Hazel, 'Contorta'"
Corylus colurna,Filbert,Tree,,4,Minnesota Department of Agriculture Cold Hardiness List,https://www.mda.state.mn.us/cold-hardiness-list,4,Deciduous (non-fruit),Turkish Filbert
Cotinus coggygria,Smokebush,Shrub,,4-5,Minnesota Department of Agriculture Cold Hardiness List,https://www.mda.state.mn.us/cold-hardiness-list,4-5,Shrubs,"'Atropurpureus', 'Daydream', 'Purple Supreme', 'Purpureus', Royal Purple', 'Pink Champagne'; Grace Smokebush, Golden Spirit aka 'Ancot' Smokebush, 'Nordine', 'Velvet Cloak', Smokebush - Winecraft Black®"
Cotoneaster adpressus,Cotoneaster,Shrub,,4,Minnesota Department of Agriculture Cold Hardiness List,https://www.mda.state.mn.us/cold-hardiness-list,4,Shrubs,Tom Thumb Creeping Cotoneaster
Cotoneaster apiculatus,Cotoneaster,Shrub,,4,Minnesota Department of Agriculture Cold Hardiness List,https://www.mda.state.mn.us/cold-hardiness-list,4,Shrubs,Cranberry Cotoneaster
